,Spectrum,Date,Time,"NO (350,3000) 191C","NO (350,3000) 191C average","NO (350,3000) 191C stdev",NO2 (150) 191C (1of2),NO2 (150) 191C (1of2) average,NO2 (150) 191C (1of2) stdev,NO2 (2000) 191C (2of2),NO2 (2000) 191C (2of2) average,NO2 (2000) 191C (2of2) stdev,"N2O (100,200,300) 191C (1of2)","N2O (100,200,300) 191C (1of2) average","N2O (100,200,300) 191C (1of2) stdev",NH3 (300) 191C (1of2),NH3 (300) 191C (1of2) average,NH3 (300) 191C (1of2) stdev,NH3 (3000) 191C (2of2),NH3 (3000) 191C (2of2) average,NH3 (3000) 191C (2of2) stdev,HNCO (400) 191C,HNCO (400) 191C average,HNCO (400) 191C stdev,H2O% (25) 191C,H2O% (25) 191C average,H2O% (25) 191C stdev,"Formaldehyde (70,500) 191C","Formaldehyde (70,500) 191C average","Formaldehyde (70,500) 191C stdev",CO2 low% (4) 191C (2of2),CO2 low% (4) 191C (2of2) average,CO2 low% (4) 191C (2of2) stdev,CO2% (20) 191C (1of2) R4,CO2% (20) 191C (1of2) R4 average,CO2% (20) 191C (1of2) R4 stdev,CO (500) 191C (1of3),CO (500) 191C (1of3) average,CO (500) 191C (1of3) stdev,CO% (1) 191C (2of3),CO% (1) 191C (2of3) average,CO% (1) 191C (2of3) stdev,"Propylene (200,1000) 191C","Propylene (200,1000) 191C average","Propylene (200,1000) 191C stdev",Diesel C1 (4500) 191C,Diesel C1 (4500) 191C average,Diesel C1 (4500) 191C stdev,"Ethylene (100,3000) 191C","Ethylene (100,3000) 191C average","Ethylene (100,3000) 191C stdev",CH4 (250) 191C (1of2),CH4 (250) 191C (1of2) average,CH4 (250) 191C (1of2) stdev,CH4 (3000) 191C (2of2),CH4 (3000) 191C (2of2) average,CH4 (3000) 191C (2of2) stdev,Ethane (1000) 191C,Ethane (1000) 191C average,Ethane (1000) 191C stdev,Acetylene (1000) 191C,Acetylene (1000) 191C average,Acetylene (1000) 191C stdev,HNO2 (20) 191C,HNO2 (20) 191C average,HNO2 (20) 191C stdev,N2O (1040) 191C (2of2),N2O (1040) 191C (2of2) average,N2O (1040) 191C (2of2) stdev,CO% (10) 191C (3of3),CO% (10) 191C (3of3) average,CO% (10) 191C (3of3) stdev,MeOH (1000) 191C,MeOH (1000) 191C average,MeOH (1000) 191C stdev,Formic Acid (100) 191C,Formic Acid (100) 191C average,Formic Acid (100) 191C stdev,SO2 (300) 191C,SO2 (300) 191C average,SO2 (300) 191C stdev,Temp (C),Temp (C) average,Temp (C) stdev,Pressure (Atm),Pressure (Atm) average,Pressure (Atm) stdev,NO2 autorange,NO2 autorange average,NO2 autorange stdev,CO autorange,CO autorange average,CO autorange stdev,CH4 autorange,CH4 autorange average,CH4 autorange stdev,NH3 autorange,NH3 autorange average,NH3 autorange stdev,NOx autorange,NOx autorange average,NOx autorange stdev,CO autorange dry,CO autorange dry average,CO autorange dry stdev,CO2% autorange dry,CO2% autorange dry average,CO2% autorange dry stdev,NO dry,NO dry average,NO dry stdev,NO2 autorange dry,NO2 autorange dry average,NO2 autorange dry stdev,NOx autorange dry,NOx autorange dry average,NOx autorange dry stdev,FIDeq THC ppmC,FIDeq THC ppmC average,FIDeq THC ppmC stdev,FIDeq NMHC ppmC,FIDeq NMHC ppmC average,FIDeq NMHC ppmC stdev,FIDeq NMNEHC ppmC,FIDeq NMNEHC ppmC average,FIDeq NMNEHC ppmC stdev,N2O autorange,N2O autorange average,N2O autorange stdev,CO2% autorange,CO2% autorange average,CO2% autorange stdev,FTIR NMHC ppmC,FTIR NMHC ppmC average,FTIR NMHC ppmC stdev,FTIR NMNEHC ppmC,FTIR NMNEHC ppmC average,FTIR NMNEHC ppmC stdev,Igram DC,Igram DC average,Igram DC stdev,Igram PP,Igram PP average,Igram PP stdev,phase Angle,phase Angle average,phase Angle stdev,laser PP,laser PP average,laser PP stdev,laser DC,laser DC average,laser DC stdev,Bad Scan counter,Bad Scan counter average,Bad Scan counter stdev,Centerburst Location,Centerburst Location average,Centerburst Location stdev,Linearizer Check,Linearizer Check average,Linearizer Check stdev,SNR 2500,SNR 2500 average,SNR 2500 stdev,sBeam @ 2500,sBeam @ 2500 average,sBeam @ 2500 stdev
0,TESTANMA_5115.LAB,6/3/2020,13:17:58.000,567.235800,538.757935,16.020939,22.811266,24.162312,0.884533,27.844180,26.819012,1.486164,0.339267,0.544746,0.144960,0.482089,0.260313,0.158211,1.757240,0.579577,0.757846,-6.745556,-1.135974,4.985805,3.159977,3.841058,0.381199,1.627710,1.806844,0.396371,7.381998,7.262356,0.082954,7.802927,7.470413,0.191024,118.324661,143.543167,14.113935,0.013704,0.013912,0.000254,-1.254706,-0.749200,0.996805,11.041046,12.278273,1.213174,2.436391,2.622815,0.288061,2.011071,2.177428,0.118372,3.188723,1.263688,2.418517,0.155685,-0.467656,0.588997,-1.377987,-0.213349,0.762067,2.383441,2.388836,1.309598,-0.151713,-2.280161,2.400079,0.024261,0.008982,0.013752,1.791305,-0.033219,1.064183,-0.322308,-0.092560,0.131234,0.194076,0.196674,0.299977,190.638992,190.647430,0.018902,0.974300,0.974741,0.001295,22.811266,24.162312,0.884533,118.324661,143.543167,14.113935,2.011071,2.177428,0.118372,0.482089,0.260313,0.158211,592.430507,565.309143,15.439974,122.185701,149.325150,15.188008,8.057543,7.768308,0.167979,585.745216,560.233765,14.381390,23.555618,25.130220,1.001472,611.762049,587.848022,13.696370,15.175021,20.371616,3.611250,12.962844,17.976446,3.562565,12.651474,18.911760,3.962041,0.339267,0.544746,0.144960,7.802927,7.470413,0.191024,16.666179,19.892752,2.906219,16.354809,20.828068,3.232592,3.499579,3.505006,0.003239,5.256574,5.240747,0.011875,89.387131,89.313904,0.042698,6.250731,6.219082,0.035283,-3.852747,-3.859780,0.003932,0.000000,0.000000,0.000000,563.219543,563.221313,0.004513,0.003550,0.001931,0.001000,NaN,NaN,NaN,1.353129,1.345134,0.004595
1,TESTANMA_5115.LAB,6/3/2020,13:17:58.200,563.384550,544.639282,18.956192,22.421488,23.646481,1.015732,24.449828,26.301395,1.806945,0.420247,0.493321,0.131093,0.366170,0.318158,0.123465,0.418760,0.581589,0.757291,-1.809102,-0.657758,4.726344,3.544411,3.747622,0.386172,1.267963,1.639567,0.415457,7.449402,7.304095,0.115469,7.866244,7.555211,0.257826,126.346586,138.921707,15.417593,0.013036,0.013651,0.000354,-1.504771,-0.788302,1.027626,11.197298,11.931845,1.227966,2.698048,2.600329,0.273784,2.015571,2.132271,0.130349,0.960380,1.520423,2.271608,0.172190,-0.443442,0.617457,-0.809031,-0.473043,0.679468,3.435424,2.360825,1.279012,1.160772,-1.270492,2.607710,0.018550,0.011301,0.014292,0.914617,0.282040,1.064945,-0.240186,-0.132884,0.141100,0.862852,0.395221,0.353550,190.638992,190.638992,0.000000,0.974300,0.975071,0.000704,22.421488,23.646481,1.015732,126.346586,138.921707,15.417593,2.015571,2.132271,0.130349,0.366170,0.318158,0.123465,589.241461,570.646606,18.549208,131.030312,144.391205,16.545729,8.155756,7.848798,0.239983,584.079284,565.790649,17.507145,23.243958,24.569914,1.136041,610.890022,592.812866,16.991673,16.573881,19.125267,3.636478,14.356753,16.779766,3.574996,14.012373,17.666653,4.395591,0.420247,0.493321,0.131093,7.866244,7.555211,0.257826,16.666848,18.899494,3.009534,16.322468,19.786377,3.747649,3.499751,3.503436,0.003554,5.241047,5.241918,0.011473,89.387131,89.335548,0.047672,6.250731,6.235370,0.023324,-3.852747,-3.858022,0.004815,0.000000,0.000000,0.000000,563.221775,563.221680,0.004450,0.002447,0.002036,0.001026,NaN,NaN,NaN,1.347905,1.345989,0.004643
2,TESTANMA_5115.LAB,6/3/2020,13:17:58.400,559.593461,550.626343,17.729412,22.037799,23.070339,0.926959,21.108500,25.147667,2.873997,0.499962,0.455413,0.076014,0.252061,0.337068,0.097142,-0.898811,0.309084,1.012467,3.050238,0.398717,4.874505,3.922839,3.733203,0.375838,0.913836,1.368552,0.336818,7.515753,7.348501,0.148462,7.928572,7.673204,0.268685,134.243198,135.956573,14.368119,0.012380,0.013354,0.000638,-1.750930,-0.910560,1.112715,11.351110,11.412836,0.491060,2.955618,2.583546,0.240704,2.020001,2.117495,0.139645,-1.233153,1.710866,1.891345,0.188437,-0.320402,0.679763,-0.248963,-0.613086,0.485936,4.470973,2.595261,1.568568,2.452754,0.345836,1.500417,0.012928,0.015153,0.010422,0.051623,0.472303,0.867761,-0.159347,-0.165559,0.118589,1.521180,0.598840,0.622262,190.638992,190.638992,0.000000,0.974300,0.974814,0.000704,22.037799,23.070339,0.926959,134.243198,135.956573,14.368119,2.020001,2.117495,0.139645,0.252061,0.337068,0.097142,586.102233,576.291931,17.977249,139.736759,141.284180,15.411458,8.252434,7.970490,0.263293,582.439376,571.938843,16.700214,22.937167,23.966267,1.010774,610.031616,598.601257,16.929232,17.950888,17.938002,2.477446,15.728887,15.608757,2.360632,15.352013,16.249561,3.529912,0.499962,0.455413,0.076014,7.928572,7.673204,0.268685,16.667506,17.651058,2.081844,16.290632,18.291864,3.217788,3.499921,3.501942,0.003005,5.225762,5.237763,0.013038,89.387131,89.355164,0.043773,6.250731,6.246577,0.005689,-3.852747,-3.856264,0.004815,0.000000,0.000000,0.000000,563.223971,563.223267,0.003400,0.001362,0.001913,0.001071,NaN,NaN,NaN,1.342763,1.345736,0.004808
3,TESTANMA_5116.LAB,6/3/2020,13:17:58.600,560.669899,556.204224,14.867395,22.775985,22.816772,0.750749,18.575739,23.258162,3.539405,0.343178,0.418542,0.076992,0.050371,0.298306,0.161091,-1.021800,0.174951,1.156045,-8.680250,-2.526423,5.097118,4.017300,3.737283,0.379508,0.516275,1.118305,0.420677,7.737645,7.448259,0.210842,7.965808,7.782691,0.249752,134.831661,132.746964,11.756165,0.012943,0.013162,0.000572,1.516429,-0.812456,1.327100,11.183826,11.408470,0.493454,1.843464,2.473825,0.413104,1.745744,2.012038,0.184666,-3.828757,0.287741,2.845433,-0.028718,-0.090414,0.482783,-0.684890,-0.672669,0.469259,3.955355,2.896894,1.674414,-6.880659,-0.976665,3.609197,0.025609,0.015897,0.011131,0.328557,0.582098,0.789392,0.094806,-0.139813,0.160780,-0.770132,0.459622,0.847532,190.638992,190.638992,0.000000,0.974300,0.974557,0.000575,22.775985,22.816772,0.750749,134.831661,132.746964,11.756165,1.745744,2.012038,0.184666,0.050371,0.298306,0.161091,587.401239,581.917847,15.557841,140.474912,137.946869,12.678034,8.299214,8.084889,0.255309,584.136530,577.773743,14.194467,23.729311,23.703167,0.811399,611.986702,604.487488,14.957049,23.141714,18.204212,3.011548,21.221396,15.990967,3.136873,21.278831,16.171795,3.381888,0.343178,0.418542,0.076992,7.965808,7.782691,0.249752,22.846801,17.946140,2.741157,22.904237,18.126966,2.872078,3.499951,3.500903,0.002470,5.223021,5.234273,0.014396,89.387131,89.371155,0.035740,6.250731,6.248655,0.004645,-3.852747,-3.854506,0.003932,0.000000,0.000000,0.000000,563.224365,563.223694,0.003361,0.001167,0.001916,0.001068,315.548767,NaN,NaN,1.341841,1.345391,0.005057
4,TESTANMA_5117.LAB,6/3/2020,13:17:58.800,566.526173,563.481995,3.405733,22.472539,22.503815,0.313660,23.337477,23.063145,3.493347,0.444364,0.409403,0.068640,0.585006,0.347139,0.207524,0.106594,0.072397,1.129197,1.672263,-2.502481,5.121290,4.147260,3.758358,0.402859,1.499920,1.165141,0.452991,7.558449,7.528649,0.134648,8.027272,7.918164,0.086974,138.280361,130.405304,8.042912,0.013687,0.013150,0.000558,0.305717,-0.537652,1.401075,9.701103,10.894876,0.676306,1.860416,2.358787,0.497810,1.927116,1.943900,0.117247,6.355657,1.088570,3.928734,-0.133989,0.070721,0.144193,0.603701,-0.503434,0.738522,5.001941,3.849427,1.005776,-6.314201,-1.946609,4.348924,0.017305,0.019731,0.005212,-0.374439,0.542333,0.840460,-0.041284,-0.133664,0.164565,-0.429379,0.275720,0.934550,190.551657,190.621521,0.039060,0.964646,0.972369,0.004317,22.472539,22.503815,0.313660,138.280361,130.405304,8.042912,1.927116,1.943900,0.117247,0.585006,0.347139,0.207524,594.000653,589.835205,3.327850,144.264186,135.538376,8.898767,8.374603,8.227910,0.123931,591.039443,585.487976,3.316228,23.444758,23.382160,0.304811,619.702829,612.874634,3.894609,20.803304,18.728962,3.227056,18.683476,16.590672,3.343562,18.951454,16.449230,3.576006,0.444364,0.409403,0.068640,8.027272,7.918164,0.086974,19.758093,18.521086,2.763903,20.026071,18.379642,2.994936,3.498820,3.499605,0.000463,5.226362,5.234553,0.014182,89.387131,89.387131,0.000000,6.250731,6.250731,0.000000,-3.852747,-3.852747,0.000000,0.000000,0.000000,0.000000,563.224837,563.222900,0.002216,0.001792,0.002064,0.000965,298.600565,NaN,NaN,1.343339,1.345796,0.004720
5,TESTANMA_5119.LAB,6/3/2020,13:17:59.000,563.995649,562.833923,2.759946,22.381467,22.417856,0.263167,24.998256,22.493959,2.649547,0.485445,0.438639,0.062119,0.362622,0.323246,0.194576,-1.067057,-0.492463,0.700834,2.144010,-0.724568,4.813829,4.105521,3.947466,0.241265,0.977967,1.035192,0.373307,7.635550,7.579360,0.111337,8.052522,7.968083,0.075118,136.746218,134.089600,4.613800,0.013961,0.013202,0.000629,0.519357,-0.182839,1.398722,10.098232,10.706314,0.752505,2.043666,2.280242,0.513248,1.550184,1.851723,0.201869,4.979092,1.446644,4.237459,-0.475821,-0.055580,0.271522,-0.036707,-0.235178,0.564546,2.871427,3.947024,0.837569,-3.396225,-2.595512,4.255201,0.014759,0.017830,0.004868,-0.504315,0.083209,0.571633,-0.116161,-0.092434,0.127030,-0.171493,0.202606,0.956574,190.537247,190.601166,0.052033,0.963054,0.970120,0.005751,22.381467,22.417856,0.263167,136.746218,134.089600,4.613800,1.550184,1.851723,0.201869,0.362622,0.323246,0.194576,589.248544,589.198853,2.995087,142.602224,139.621689,5.123213,8.397266,8.295855,0.097481,588.144512,585.967896,3.529492,23.339700,23.338978,0.288977,614.480150,613.418274,3.890183,19.661210,19.626200,2.543077,17.956007,17.589304,2.666192,18.907650,17.700464,2.955682,0.485445,0.438639,0.062119,8.052522,7.968083,0.075118,18.610451,18.909939,2.567485,19.562094,19.021099,2.789241,3.498634,3.499415,0.000636,5.226913,5.228621,0.007106,89.387131,89.387131,0.000000,6.250731,6.250731,0.000000,-3.852747,-3.852747,0.000000,0.000000,0.000000,0.000000,563.224915,563.223999,0.001278,0.001895,0.001733,0.000500,295.804199,NaN,NaN,1.343586,1.343887,0.002345
6,TESTANMA_5120.LAB,6/3/2020,13:17:59.200,563.713524,562.899719,2.780200,22.450243,22.423605,0.263580,22.267810,22.057556,2.416292,0.645956,0.483781,0.109417,0.076859,0.265384,0.219979,1.256820,-0.324851,1.006711,-3.190970,-1.000942,4.929929,4.137482,4.066081,0.095055,2.619465,1.305493,0.813612,7.694580,7.628395,0.092125,8.141868,8.023209,0.082472,135.878817,135.996048,1.598662,0.013307,0.013256,0.000623,0.668156,0.251746,1.210171,11.473770,10.761608,0.805868,1.652063,2.071045,0.513547,1.944046,1.837418,0.189512,1.800499,1.614668,4.230007,-0.566046,-0.203227,0.314083,-0.310778,-0.135527,0.474764,2.773239,3.814587,0.979084,-0.797423,-2.987151,3.898188,0.009801,0.016080,0.005988,-0.340777,-0.167870,0.346547,0.137261,-0.016945,0.129405,1.323454,0.294726,1.053338,190.537247,190.580826,0.053423,0.963054,0.967871,0.005905,22.450243,22.423605,0.263580,135.878817,135.996048,1.598662,1.944046,1.837418,0.189512,0.076859,0.265384,0.219979,588.937006,589.137939,2.997098,141.743374,141.764282,1.783638,8.493280,8.363359,0.092971,588.043541,586.760620,3.443402,23.419165,23.374020,0.285172,614.355339,614.111328,3.626930,20.793246,20.470072,1.894314,18.654795,18.448912,1.963770,19.786886,18.855366,2.180961,0.645956,0.483781,0.109417,8.141868,8.023209,0.082472,21.460485,19.868668,2.410702,22.592576,20.275122,2.679992,3.496503,3.498766,0.001403,5.223981,5.225207,0.001646,89.387131,89.387131,0.000000,6.250731,6.250731,0.000000,-3.852747,-3.852747,0.000000,0.000000,0.000000,0.000000,563.226196,563.224915,0.000835,0.001281,0.001499,0.000324,327.047394,NaN,NaN,1.341708,1.342648,0.000852
7,TESTANMA_5121.LAB,6/3/2020,13:17:59.400,565.415811,564.064209,2.210039,22.414119,22.498871,0.158758,23.131567,22.462170,2.386844,0.502568,0.484302,0.109520,0.161466,0.247265,0.225024,-0.725312,-0.290151,0.984731,1.081800,-1.394629,4.592592,4.113907,4.104294,0.051501,1.941643,1.511054,0.819737,7.742584,7.673761,0.077473,8.080547,8.053603,0.065037,136.394260,136.426270,1.263283,0.013283,0.013437,0.000394,0.844124,0.770757,0.461357,11.567095,10.804805,0.849950,2.181852,1.916292,0.203094,1.998458,1.833110,0.184502,0.744257,2.010150,3.982378,-0.089101,-0.258735,0.244342,0.067401,-0.072255,0.476943,4.925746,3.905542,1.072018,-7.048150,-4.887332,2.721636,0.015083,0.016511,0.005778,-0.012636,-0.180722,0.337444,-0.154308,-0.015937,0.128031,0.196655,0.029821,0.805083,190.594457,190.571930,0.044220,0.964228,0.965856,0.004773,22.414119,22.498871,0.158758,136.394260,136.426270,1.263283,1.998458,1.833110,0.184502,0.161466,0.247265,0.225024,592.755675,590.468628,2.781602,142.246133,142.266174,1.377255,8.427234,8.398319,0.071132,589.674455,588.207703,2.587244,23.375744,23.461737,0.154907,618.187225,615.742432,3.133865,24.348714,21.749638,1.927747,22.150410,19.733215,1.835819,22.328613,20.250687,1.506795,0.502568,0.484302,0.109520,8.080547,8.053603,0.065037,24.242953,21.383757,2.272410,24.421155,21.901226,2.050719,3.496702,3.498122,0.001477,5.223648,5.224785,0.001737,89.387131,89.387131,0.000000,6.250731,6.250731,0.000000,-3.852747,-3.852747,0.000000,0.000000,0.000000,0.000000,563.226093,563.225281,0.000810,0.001675,0.001562,0.000321,333.934860,314.187134,16.867767,1.341409,1.342377,0.001008
8,TESTANMA_5122.LAB,6/3/2020,13:17:59.600,564.061876,564.742554,1.195276,21.571199,22.257914,0.385453,22.958944,23.338812,1.010946,0.590435,0.533754,0.082309,0.316258,0.300442,0.196467,-0.380361,-0.161863,0.904063,-3.084945,-0.275568,2.640219,4.087639,4.118361,0.024131,1.970141,1.801827,0.609570,7.629367,7.652106,0.069916,7.975698,8.055582,0.061767,135.695655,136.599075,1.027776,0.013183,0.013484,0.000328,1.572785,0.782028,0.484248,11.674768,10.902994,0.929332,2.660515,2.079702,0.380801,1.543418,1.792645,0.225979,2.929655,3.361832,2.294273,-0.048058,-0.262603,0.239903,0.055271,0.075778,0.332141,2.498919,3.614254,1.239834,-5.016343,-4.514468,2.498868,0.010902,0.013570,0.003122,-0.808331,-0.408100,0.287880,-0.061468,-0.047192,0.112352,0.841930,0.352233,0.723271,190.740738,190.592255,0.086245,0.967231,0.964443,0.001712,21.571199,22.257914,0.385453,135.695655,136.599075,1.027776,1.543418,1.792645,0.225979,0.316258,0.300442,0.196467,588.131994,590.614807,2.592939,141.479242,142.467026,1.095016,8.315638,8.401604,0.065573,588.101927,589.000793,1.329224,22.490311,23.213934,0.406519,613.197961,615.984741,2.799994,27.032644,22.527824,3.074461,25.334884,20.555914,3.132921,25.431000,21.081120,2.802329,0.590435,0.533754,0.082309,7.975698,8.055582,0.061767,26.915087,22.197414,3.383796,27.011203,22.722620,3.104601,3.497544,3.497641,0.001068,5.218270,5.223835,0.003424,89.387131,89.387131,0.000000,6.250731,6.250731,0.000000,-3.852747,-3.852747,0.000000,0.000000,0.000000,0.000000,563.224015,563.225220,0.000922,0.002897,0.001908,0.000600,352.660916,321.609558,24.191944,1.340613,1.342131,0.001283
9,TESTANMA_5123.LAB,6/3/2020,13:17:59.800,564.894153,564.416199,0.711317,22.162514,22.195910,0.366780,21.340319,22.939381,1.349471,0.471258,0.539132,0.075613,0.084531,0.200347,0.132234,1.304745,0.077767,1.124842,-1.525768,-0.915174,2.429326,4.029154,4.094741,0.040812,1.442312,1.790306,0.617200,7.647021,7.669820,0.048058,7.928360,8.035799,0.084687,134.796836,135.902359,0.744906,0.013266,0.013400,0.000317,1.047361,0.930357,0.409728,10.957814,11.154336,0.651390,2.195433,2.146706,0.361558,1.580487,1.723318,0.227576,3.625229,2.815747,1.633256,-0.137555,-0.263316,0.239430,0.875492,0.130136,0.443660,1.621633,2.938193,1.215352,-3.961086,-4.043845,2.287855,0.017096,0.013528,0.003060,-0.601285,-0.453469,0.298913,-0.286777,-0.096290,0.154762,0.069632,0.452035,0.614741,190.740738,190.630081,0.103677,0.967231,0.964959,0.002128,22.162514,22.195910,0.366780,134.796836,135.902359,0.744906,1.580487,1.723318,0.227576,0.084531,0.200347,0.132234,588.678301,589.550293,1.838039,140.456037,141.705414,0.823130,8.261219,8.378927,0.091661,588.610259,588.514954,0.686210,23.092964,23.143578,0.386534,613.392936,614.722778,2.018022,25.513958,23.469952,3.135053,23.775422,21.574305,3.199000,24.050532,22.100935,2.761068,0.471258,0.539132,0.075613,7.928360,8.035799,0.084687,24.356123,23.117020,3.173393,24.631233,23.643654,2.769662,3.498259,3.497529,0.000934,5.208311,5.220225,0.007354,89.387131,89.387131,0.000000,6.250731,6.250731,0.000000,-3.852747,-3.852747,0.000000,0.000000,0.000000,0.000000,563.219484,563.224182,0.002752,0.002948,0.002139,0.000749,354.054746,332.700378,23.713079,1.340704,1.341604,0.001201
