,Spectrum,Date,Time,"NO (350,3000) 191C","NO (350,3000) 191C average","NO (350,3000) 191C stdev",NO2 (150) 191C (1of2),NO2 (150) 191C (1of2) average,NO2 (150) 191C (1of2) stdev,NO2 (2000) 191C (2of2),NO2 (2000) 191C (2of2) average,NO2 (2000) 191C (2of2) stdev,"N2O (100,200,300) 191C (1of2)","N2O (100,200,300) 191C (1of2) average","N2O (100,200,300) 191C (1of2) stdev",NH3 (300) 191C (1of2),NH3 (300) 191C (1of2) average,NH3 (300) 191C (1of2) stdev,NH3 (3000) 191C (2of2),NH3 (3000) 191C (2of2) average,NH3 (3000) 191C (2of2) stdev,HNCO (400) 191C,HNCO (400) 191C average,HNCO (400) 191C stdev,H2O% (25) 191C,H2O% (25) 191C average,H2O% (25) 191C stdev,"Formaldehyde (70,500) 191C","Formaldehyde (70,500) 191C average","Formaldehyde (70,500) 191C stdev",CO2 low% (4) 191C (2of2),CO2 low% (4) 191C (2of2) average,CO2 low% (4) 191C (2of2) stdev,CO2% (20) 191C (1of2) R4,CO2% (20) 191C (1of2) R4 average,CO2% (20) 191C (1of2) R4 stdev,CO (500) 191C (1of3),CO (500) 191C (1of3) average,CO (500) 191C (1of3) stdev,CO% (1) 191C (2of3),CO% (1) 191C (2of3) average,CO% (1) 191C (2of3) stdev,"Propylene (200,1000) 191C","Propylene (200,1000) 191C average","Propylene (200,1000) 191C stdev",Diesel C1 (4500) 191C,Diesel C1 (4500) 191C average,Diesel C1 (4500) 191C stdev,"Ethylene (100,3000) 191C","Ethylene (100,3000) 191C average","Ethylene (100,3000) 191C stdev",CH4 (250) 191C (1of2),CH4 (250) 191C (1of2) average,CH4 (250) 191C (1of2) stdev,CH4 (3000) 191C (2of2),CH4 (3000) 191C (2of2) average,CH4 (3000) 191C (2of2) stdev,Ethane (1000) 191C,Ethane (1000) 191C average,Ethane (1000) 191C stdev,Acetylene (1000) 191C,Acetylene (1000) 191C average,Acetylene (1000) 191C stdev,HNO2 (20) 191C,HNO2 (20) 191C average,HNO2 (20) 191C stdev,N2O (1040) 191C (2of2),N2O (1040) 191C (2of2) average,N2O (1040) 191C (2of2) stdev,CO% (10) 191C (3of3),CO% (10) 191C (3of3) average,CO% (10) 191C (3of3) stdev,MeOH (1000) 191C,MeOH (1000) 191C average,MeOH (1000) 191C stdev,Formic Acid (100) 191C,Formic Acid (100) 191C average,Formic Acid (100) 191C stdev,SO2 (300) 191C,SO2 (300) 191C average,SO2 (300) 191C stdev,Temp (C),Temp (C) average,Temp (C) stdev,Pressure (Atm),Pressure (Atm) average,Pressure (Atm) stdev,NO2 autorange,NO2 autorange average,NO2 autorange stdev,CO autorange,CO autorange average,CO autorange stdev,CH4 autorange,CH4 autorange average,CH4 autorange stdev,NH3 autorange,NH3 autorange average,NH3 autorange stdev,NOx autorange,NOx autorange average,NOx autorange stdev,CO autorange dry,CO autorange dry average,CO autorange dry stdev,CO2% autorange dry,CO2% autorange dry average,CO2% autorange dry stdev,NO dry,NO dry average,NO dry stdev,NO2 autorange dry,NO2 autorange dry average,NO2 autorange dry stdev,NOx autorange dry,NOx autorange dry average,NOx autorange dry stdev,FIDeq THC ppmC,FIDeq THC ppmC average,FIDeq THC ppmC stdev,FIDeq NMHC ppmC,FIDeq NMHC ppmC average,FIDeq NMHC ppmC stdev,FIDeq NMNEHC ppmC,FIDeq NMNEHC ppmC average,FIDeq NMNEHC ppmC stdev,N2O autorange,N2O autorange average,N2O autorange stdev,CO2% autorange,CO2% autorange average,CO2% autorange stdev,FTIR NMHC ppmC,FTIR NMHC ppmC average,FTIR NMHC ppmC stdev,FTIR NMNEHC ppmC,FTIR NMNEHC ppmC average,FTIR NMNEHC ppmC stdev,Igram DC,Igram DC average,Igram DC stdev,Igram PP,Igram PP average,Igram PP stdev,phase Angle,phase Angle average,phase Angle stdev,laser PP,laser PP average,laser PP stdev,laser DC,laser DC average,laser DC stdev,Bad Scan counter,Bad Scan counter average,Bad Scan counter stdev,Centerburst Location,Centerburst Location average,Centerburst Location stdev,Linearizer Check,Linearizer Check average,Linearizer Check stdev,SNR 2500,SNR 2500 average,SNR 2500 stdev,sBeam @ 2500,sBeam @ 2500 average,sBeam @ 2500 stdev
0,TESTANMA_18714.LAB,6/3/2020,18:20:55.000,342.727130,279.097870,35.581795,20.447774,18.220387,1.282224,24.173905,19.938168,2.685324,0.803892,0.687414,0.113321,0.558463,0.205328,0.208333,-1.239361,-0.847149,0.996048,-9.973388,-1.918951,5.687597,2.775466,3.219659,0.248845,1.669245,1.471506,0.451348,6.614361,6.279592,0.212552,6.715746,6.426044,0.181731,95.710901,126.853249,17.411848,0.009951,0.012049,0.001198,1.645541,1.273817,0.831369,8.290619,6.985959,0.793273,0.768345,2.318151,0.944141,0.896781,0.725322,0.265984,-2.120736,1.219750,1.930820,2.018787,0.673018,0.812674,-0.109663,-0.720057,0.764696,5.589422,3.183015,1.844211,-0.451527,1.675889,1.907024,0.038662,0.025095,0.010101,1.323599,0.713670,0.586120,0.417901,0.064890,0.199689,-0.531087,0.569829,1.159175,190.537247,190.700043,0.091004,0.986188,0.983969,0.001290,20.447774,18.220387,1.282224,95.710901,126.853249,17.411848,0.896781,0.725322,0.265984,0.558463,0.205328,0.208333,368.764326,300.501251,38.166805,98.443157,131.110840,18.264425,6.907460,6.639521,0.172785,352.510951,288.309082,35.902199,21.031496,18.823957,1.273318,379.291430,310.419342,38.508465,22.102824,17.881664,5.094827,21.116365,17.083811,4.847152,17.078790,15.737775,4.527386,0.803892,0.687414,0.113321,6.715746,6.426041,0.181733,24.894640,20.044786,5.044444,20.857066,18.698751,4.607810,3.623762,3.637202,0.007542,5.277159,5.248330,0.016174,89.586929,89.682823,0.053609,6.254194,6.232037,0.012386,-3.846154,-3.830329,0.008846,0.000000,0.000000,0.000000,562.962219,562.991638,0.018002,0.002854,0.003460,0.000373,NaN,NaN,NaN,1.329908,1.332105,0.003316
1,TESTANMA_18714.LAB,6/3/2020,18:20:55.200,337.527373,293.726715,42.402008,19.930345,18.605927,1.475612,22.791908,21.001789,2.512875,0.796574,0.744985,0.060782,0.395449,0.256283,0.219428,-0.849739,-0.553602,0.586462,-4.821201,-2.366679,5.838995,2.978004,3.154028,0.263189,1.846794,1.694994,0.196963,6.542694,6.352412,0.230880,6.577208,6.481993,0.175193,101.897571,120.226601,19.678934,0.010610,0.011612,0.001255,1.729583,1.246418,0.808903,8.420209,7.318054,0.996442,1.495644,2.018090,0.912761,0.544447,0.640910,0.235536,-0.706374,0.774990,2.094310,0.580587,0.655599,0.813750,-0.279629,-0.716087,0.767472,5.022925,4.101487,1.139712,-2.366992,0.848052,2.619924,0.024016,0.024079,0.009850,0.782902,0.642069,0.541012,0.263244,0.130519,0.200291,-0.403903,0.400132,1.241292,190.581106,190.668121,0.100648,0.991313,0.985508,0.003487,19.930345,18.605927,1.475612,101.897571,120.226601,19.678934,0.544447,0.640910,0.235536,0.395449,0.256283,0.219428,362.480643,316.434143,44.961720,105.043411,124.189964,20.624601,6.778736,6.692713,0.164764,347.874701,303.199463,42.935154,20.540737,19.208466,1.470640,373.590957,326.640259,45.511185,20.227274,17.563623,4.830489,19.628382,16.858624,4.656398,18.467208,15.547424,4.350471,0.796574,0.744985,0.060782,6.577209,6.481990,0.175196,23.042175,20.001410,5.010714,21.881001,18.690212,4.600372,3.624063,3.633806,0.009052,5.271193,5.254266,0.018347,89.586929,89.658852,0.065657,6.254194,6.237576,0.015170,-3.846154,-3.834285,0.010834,0.000000,0.000000,0.000000,562.970297,562.985229,0.018980,0.002776,0.003341,0.000486,NaN,NaN,NaN,1.330820,1.331423,0.003115
2,TESTANMA_18714.LAB,6/3/2020,18:20:55.400,332.351299,307.808563,40.871212,19.415272,18.902124,1.455591,21.416205,21.187119,2.499789,0.789290,0.770107,0.041757,0.233177,0.265430,0.216778,-0.461892,-0.701756,0.381245,0.307520,-1.590851,5.896298,3.179619,3.124781,0.246945,2.023534,1.763659,0.244603,6.471354,6.431774,0.172238,6.439302,6.516605,0.134213,108.056064,114.973656,18.442833,0.011266,0.011383,0.001175,1.813243,1.191162,0.743724,8.549210,7.602511,1.123190,2.219631,1.849045,0.730504,0.193719,0.506931,0.265772,0.701547,0.545397,2.008219,-0.851063,0.513151,1.023013,-0.448821,-0.674876,0.777053,4.459007,4.405308,0.937121,-4.273733,-0.957109,2.353417,0.009438,0.022625,0.011592,0.244668,0.565992,0.569972,0.109291,0.160160,0.178756,-0.277298,-0.077052,0.800732,190.624766,190.644928,0.092783,0.996415,0.988067,0.005729,19.415272,18.902124,1.455591,108.056064,114.973656,18.442833,0.193719,0.506931,0.265772,0.233177,0.265430,0.216778,356.225578,331.116028,43.190384,111.613604,118.724327,19.317614,6.650597,6.726471,0.122662,343.259567,317.660645,41.512344,20.052212,19.508663,1.456061,367.916446,341.714355,43.847008,18.360266,17.135609,4.594260,18.147176,16.577986,4.493032,19.849302,15.551686,4.355719,0.789290,0.770107,0.041757,6.439302,6.516604,0.134214,21.198147,19.701328,4.851193,22.900273,18.675024,4.582777,3.624362,3.630440,0.008743,5.265254,5.259470,0.016627,89.586929,89.634872,0.065657,6.254194,6.243115,0.015170,-3.846154,-3.838242,0.010834,0.000000,0.000000,0.000000,562.978337,562.979492,0.014513,0.002698,0.003160,0.000530,NaN,NaN,NaN,1.331727,1.330576,0.001917
3,TESTANMA_18715.LAB,6/3/2020,18:20:55.600,326.872653,320.630768,32.380531,19.754497,19.377865,1.197939,18.104646,20.861502,2.821880,0.797679,0.789239,0.017810,-0.001869,0.263537,0.219615,1.125840,-0.428476,0.913152,-0.323550,-1.919650,5.737055,3.290180,3.113972,0.235873,1.905486,1.766871,0.246764,6.389129,6.474433,0.107097,6.436239,6.529826,0.118516,108.391190,109.781494,14.946289,0.011326,0.011082,0.000863,1.114292,1.359744,0.554598,9.011739,8.126524,1.023848,1.516945,1.623571,0.582708,0.103037,0.459718,0.318731,-0.078809,0.128855,1.838929,-1.336587,0.189325,1.325732,0.263375,-0.522493,0.887181,3.163631,4.352526,1.010518,-5.239483,-2.228194,2.651282,-0.001318,0.019642,0.015690,0.223448,0.647876,0.452171,-0.036009,0.153567,0.186712,-0.181156,-0.382013,0.151764,190.638992,190.624557,0.076187,0.998077,0.990959,0.006517,19.754497,19.377865,1.197939,108.391190,109.781494,14.946289,0.103037,0.459718,0.318731,-0.001869,0.263537,0.219615,349.790781,344.361145,34.176441,112.078095,113.339844,15.658591,6.655226,6.739409,0.107173,337.991694,330.888397,32.913700,20.426787,19.998623,1.201780,361.689272,355.376953,34.710663,16.296043,17.561222,4.342272,16.182702,17.055531,4.243236,18.855877,16.676880,4.332603,0.797679,0.789239,0.017810,6.436239,6.529826,0.118516,18.489115,20.199162,4.490721,21.162290,19.820511,4.275936,3.624460,3.627227,0.006860,5.263319,5.263989,0.012913,89.586929,89.610901,0.053609,6.254194,6.248654,0.012386,-3.846154,-3.842197,0.008846,0.000000,0.000000,0.000000,562.980957,562.975830,0.009769,0.002673,0.002959,0.000472,272.144104,NaN,NaN,1.332022,1.330436,0.001738
4,TESTANMA_18716.LAB,6/3/2020,18:20:55.800,327.679334,333.431580,6.716734,20.043621,19.918301,0.379493,15.795014,20.456335,3.444378,0.758371,0.789161,0.017976,-0.138680,0.209308,0.284086,0.757282,-0.133574,1.027521,-0.552071,-3.072538,4.359301,3.312574,3.107169,0.227840,1.640936,1.817199,0.161403,6.366677,6.476842,0.103812,6.558589,6.545417,0.115517,107.445910,104.300331,5.483769,0.010940,0.010819,0.000563,1.325059,1.525543,0.295010,9.396146,8.733583,0.459558,1.450201,1.490153,0.513685,0.313426,0.410282,0.318340,0.549092,-0.331056,1.145466,-0.752865,-0.068228,1.366280,0.926536,0.070360,0.546521,0.880566,3.823110,1.874650,-2.758212,-3.017990,1.843226,0.002400,0.014640,0.016557,0.949538,0.704831,0.472316,-0.037924,0.143301,0.197448,0.355629,-0.207563,0.341307,190.638992,190.604218,0.044330,0.998077,0.994014,0.005180,20.043621,19.918301,0.379493,107.445910,104.300331,5.483769,0.313426,0.410282,0.318340,-0.138680,0.209308,0.284086,348.603521,357.172974,8.534645,111.126984,107.661049,5.894217,6.783274,6.755058,0.106609,338.905100,344.108398,6.123662,20.730357,20.556316,0.363052,360.546428,368.606873,7.942006,20.279322,19.453144,2.205919,19.934553,19.001835,1.898138,21.440283,19.138292,1.626065,0.758371,0.789161,0.017976,6.558588,6.545417,0.115517,22.460268,22.016869,2.379327,23.965998,22.153324,1.282606,3.624098,3.624149,0.000275,5.259740,5.267333,0.006884,89.586929,89.586929,0.000000,6.254194,6.254194,0.000000,-3.846154,-3.846154,0.000000,0.000000,0.000000,0.000000,562.983301,562.974976,0.008671,0.002938,0.002788,0.000110,296.311924,NaN,NaN,1.332390,1.331373,0.001004
5,TESTANMA_18717.LAB,6/3/2020,18:20:56.000,330.160524,330.918243,4.276851,20.042881,19.837322,0.263843,20.015824,19.624720,2.755483,0.504807,0.729344,0.126533,-0.088362,0.079943,0.226848,-2.042240,-0.294150,1.276177,-0.946649,-1.267190,2.038094,3.373843,3.226844,0.155822,0.952757,1.673901,0.426292,6.391831,6.432336,0.073348,6.580507,6.518369,0.074057,108.499849,106.858109,2.803266,0.010544,0.010937,0.000361,1.695499,1.535535,0.300878,10.602777,9.196016,0.876530,2.011913,1.738867,0.352641,0.686057,0.368137,0.242823,-1.133735,-0.133656,0.789759,0.286828,-0.414620,0.812001,0.129119,0.118116,0.537211,2.371887,3.179603,1.656272,-0.275517,-2.982788,1.905136,0.014644,0.009836,0.010051,0.786610,0.597433,0.338553,0.126772,0.085075,0.126352,0.408502,-0.019645,0.375588,190.638992,190.624557,0.025068,0.998077,0.996392,0.002929,20.042881,19.837322,0.263843,108.499849,106.858109,2.803266,0.686057,0.368137,0.242823,-0.088362,0.079943,0.226848,352.575292,353.935181,5.606316,112.288627,110.430138,3.044370,6.810243,6.735615,0.076470,341.687819,341.943756,3.931447,20.742803,20.498579,0.282640,364.886874,365.725983,5.255539,24.606760,19.953932,3.072024,23.852098,19.548983,2.827042,23.278442,20.378223,1.986738,0.504807,0.729344,0.126533,6.580506,6.518369,0.074057,26.122106,22.262363,2.780056,25.548451,23.091602,1.733860,3.623744,3.624145,0.000281,5.256238,5.263148,0.005669,89.586929,89.586929,0.000000,6.254194,6.254194,0.000000,-3.846154,-3.846154,0.000000,0.000000,0.000000,0.000000,562.985596,562.979675,0.005912,0.003197,0.002857,0.000217,319.962616,NaN,NaN,1.332749,1.331942,0.000736
6,TESTANMA_18718.LAB,6/3/2020,18:20:56.200,328.804234,329.173584,2.164220,19.914301,19.834114,0.262524,23.468923,19.760122,2.959134,0.441634,0.658356,0.171102,0.004650,0.001783,0.142671,0.840062,0.043810,1.315408,1.894018,0.075854,1.113409,3.328115,3.296866,0.072354,1.695562,1.643655,0.416204,6.435046,6.410807,0.041925,6.520495,6.507026,0.066778,109.138230,108.306252,0.620417,0.010829,0.010981,0.000322,-0.054719,1.178675,0.744415,9.608146,9.433604,0.767945,1.413485,1.722435,0.368371,0.656085,0.390465,0.267015,1.740572,0.355733,1.058548,-0.497619,-0.630261,0.596097,-0.335983,0.106845,0.548123,4.040004,2.983019,1.424971,-0.822206,-2.673830,2.140666,-0.000849,0.004863,0.006955,-0.037925,0.433268,0.416234,-0.049832,0.022460,0.087623,-0.350182,-0.008901,0.362384,190.638992,190.636139,0.006360,0.998077,0.997745,0.000743,19.914301,19.834114,0.262524,109.138230,108.306252,0.620417,0.656085,0.390465,0.267015,0.004650,0.001783,0.142671,352.758539,351.990753,2.965564,112.895421,112.000549,0.671314,6.744990,6.728866,0.073129,340.124320,340.393707,2.118133,20.600038,20.510439,0.286075,364.903555,363.988495,2.924361,14.420765,18.792629,3.922609,13.699072,18.363121,3.845532,14.694311,19.623644,3.224765,0.441634,0.658356,0.171102,6.520495,6.507027,0.066777,15.574412,20.768810,3.996309,16.569650,22.029331,3.444317,3.624244,3.624181,0.000280,5.258355,5.260581,0.003669,89.586929,89.586929,0.000000,6.254194,6.254194,0.000000,-3.846154,-3.846154,0.000000,0.000000,0.000000,0.000000,562.985479,562.982727,0.003103,0.003785,0.003058,0.000458,345.335505,NaN,NaN,1.333189,1.332415,0.000578
7,TESTANMA_18719.LAB,6/3/2020,18:20:56.400,327.638258,328.231018,1.279890,19.253220,19.801704,0.328798,19.884249,19.453732,2.820873,0.554660,0.611430,0.157878,0.346111,0.024370,0.189663,-2.251218,-0.314055,1.680199,1.295921,0.273534,1.244812,3.343705,3.329683,0.031632,1.276394,1.494227,0.378098,6.448779,6.406292,0.034296,6.553602,6.529886,0.056584,108.502779,108.395584,0.607410,0.010627,0.010853,0.000308,-0.788706,0.658285,1.040493,9.667692,9.657300,0.587665,2.496157,1.777740,0.468759,0.364225,0.424566,0.245638,3.546007,0.924625,1.797371,-0.603912,-0.580831,0.583321,0.572171,0.311044,0.474613,2.627477,2.616713,1.161802,3.389892,-1.141105,3.193454,-0.005992,0.001777,0.007791,-0.033173,0.377700,0.463563,-0.082662,-0.015931,0.081935,0.536666,0.153892,0.393188,190.638992,190.638992,0.000000,0.998077,0.998077,0.000000,19.253220,19.801704,0.328798,108.502779,108.395584,0.607410,0.364225,0.424566,0.245638,0.346111,0.024370,0.189663,349.518954,350.649414,1.894619,112.256078,112.129044,0.639465,6.780330,6.754813,0.060307,338.972263,339.536255,1.421013,19.919101,20.483816,0.340411,361.609329,362.727112,2.029991,16.112304,18.343039,4.108953,15.711657,17.876017,4.029571,16.919481,19.037678,3.432974,0.554660,0.611430,0.157878,6.553601,6.529886,0.056583,16.774657,19.884111,4.351362,17.982482,21.045774,3.815587,3.624525,3.624214,0.000313,5.259546,5.259439,0.002578,89.586929,89.586929,0.000000,6.254194,6.254194,0.000000,-3.846154,-3.846154,0.000000,0.000000,0.000000,0.000000,562.985413,562.984131,0.002025,0.004116,0.003342,0.000597,359.611786,318.673187,35.543961,1.333436,1.332757,0.000575
8,TESTANMA_18720.LAB,6/3/2020,18:20:56.600,330.471819,328.950806,1.335843,19.511170,19.753038,0.354532,19.318131,19.696428,2.726406,0.870909,0.626076,0.181156,0.111990,0.047142,0.192539,-0.920215,-0.723266,1.478947,-2.570820,-0.175920,1.797361,3.276111,3.326870,0.036305,1.105047,1.334139,0.326351,6.302271,6.388921,0.058570,6.580965,6.558832,0.024783,109.547939,108.626938,0.796252,0.009630,0.010514,0.000519,1.116173,0.658661,1.040699,9.869984,9.828950,0.464373,2.651642,2.004680,0.573829,0.454855,0.494930,0.168918,-0.780233,0.784340,1.918556,-0.359927,-0.385499,0.402464,0.948758,0.448120,0.550338,3.888462,2.761679,1.285719,0.970210,0.100833,2.277142,0.043548,0.010750,0.019846,-0.932075,0.146595,0.755684,0.329494,0.057170,0.172518,-0.278308,0.134461,0.415644,190.638992,190.638992,0.000000,0.998371,0.998136,0.000132,19.511170,19.753038,0.354532,109.547939,108.626938,0.796252,0.454855,0.494930,0.168918,0.111990,0.047142,0.192539,353.871451,351.465546,2.273337,113.258291,112.365074,0.810818,6.803866,6.784541,0.025581,341.664873,340.270874,1.371514,20.171984,20.432856,0.368959,365.856853,363.560608,2.330664,23.601197,19.804070,4.481042,23.100856,19.259647,4.466800,23.820710,20.030645,4.032855,0.870909,0.626076,0.181156,6.580964,6.558830,0.024783,23.656408,20.917570,4.546467,24.376263,21.688568,4.100228,3.624104,3.624143,0.000283,5.262873,5.259351,0.002413,89.586929,89.586929,0.000000,6.254194,6.254194,0.000000,-3.846154,-3.846154,0.000000,0.000000,0.000000,0.000000,562.984798,562.984924,0.000965,0.002931,0.003394,0.000533,365.120499,337.268463,28.796566,1.334035,1.333160,0.000633
9,TESTANMA_18721.LAB,6/3/2020,18:20:56.800,328.281293,329.071228,1.214187,20.041724,19.752659,0.354144,25.285102,21.594446,2.633109,0.331562,0.540714,0.202530,0.319542,0.138786,0.191025,-5.985406,-2.071803,2.507711,-8.582723,-1.782051,4.199899,3.399428,3.344241,0.046968,1.602959,1.326544,0.317755,6.369470,6.389480,0.058318,6.451349,6.537383,0.054105,108.830410,108.903847,0.447007,0.010724,0.010471,0.000482,-0.648536,0.263942,1.097484,6.693661,9.288451,1.503712,1.972497,2.109139,0.488915,0.846497,0.601544,0.192326,-0.911908,0.492140,2.068722,0.660315,-0.102863,0.549378,-1.849270,-0.107041,1.086231,-0.005796,2.584407,1.625999,-0.696222,0.513232,1.757292,0.002663,0.010803,0.019819,-0.014240,-0.046161,0.608196,0.195964,0.103947,0.171996,-0.034899,0.056356,0.400095,190.638992,190.638992,0.000000,0.998399,0.998200,0.000169,20.041724,19.752659,0.354144,108.830410,108.903847,0.447007,0.846497,0.601544,0.192326,0.319542,0.138786,0.191025,348.317221,351.408295,2.365192,112.660171,112.671715,0.422422,6.678367,6.763559,0.054055,339.833573,340.456604,1.191390,20.747034,20.436192,0.372380,360.574362,363.566193,2.321642,8.749389,17.498083,6.627805,7.818243,16.836384,6.724925,6.497612,17.042110,7.098501,0.331562,0.540714,0.202530,6.451348,6.537383,0.054105,10.442603,18.514038,6.347078,9.121973,18.719765,6.631574,3.624889,3.624301,0.000433,5.260099,5.259423,0.002432,89.586929,89.586929,0.000000,6.254194,6.254194,0.000000,-3.846154,-3.846154,0.000000,0.000000,0.000000,0.000000,562.991825,562.986633,0.002923,0.003506,0.003507,0.000468,314.484759,340.903015,22.872343,1.332377,1.333157,0.000637
