,Spectrum,Date,Time,"NO (350,3000) 191C","NO (350,3000) 191C average","NO (350,3000) 191C stdev",NO2 (150) 191C (1of2),NO2 (150) 191C (1of2) average,NO2 (150) 191C (1of2) stdev,NO2 (2000) 191C (2of2),NO2 (2000) 191C (2of2) average,NO2 (2000) 191C (2of2) stdev,"N2O (100,200,300) 191C (1of2)","N2O (100,200,300) 191C (1of2) average","N2O (100,200,300) 191C (1of2) stdev",NH3 (300) 191C (1of2),NH3 (300) 191C (1of2) average,NH3 (300) 191C (1of2) stdev,NH3 (3000) 191C (2of2),NH3 (3000) 191C (2of2) average,NH3 (3000) 191C (2of2) stdev,HNCO (400) 191C,HNCO (400) 191C average,HNCO (400) 191C stdev,H2O% (25) 191C,H2O% (25) 191C average,H2O% (25) 191C stdev,"Formaldehyde (70,500) 191C","Formaldehyde (70,500) 191C average","Formaldehyde (70,500) 191C stdev",CO2 low% (4) 191C (2of2),CO2 low% (4) 191C (2of2) average,CO2 low% (4) 191C (2of2) stdev,CO2% (20) 191C (1of2) R4,CO2% (20) 191C (1of2) R4 average,CO2% (20) 191C (1of2) R4 stdev,CO (500) 191C (1of3),CO (500) 191C (1of3) average,CO (500) 191C (1of3) stdev,CO% (1) 191C (2of3),CO% (1) 191C (2of3) average,CO% (1) 191C (2of3) stdev,"Propylene (200,1000) 191C","Propylene (200,1000) 191C average","Propylene (200,1000) 191C stdev",Diesel C1 (4500) 191C,Diesel C1 (4500) 191C average,Diesel C1 (4500) 191C stdev,"Ethylene (100,3000) 191C","Ethylene (100,3000) 191C average","Ethylene (100,3000) 191C stdev",CH4 (250) 191C (1of2),CH4 (250) 191C (1of2) average,CH4 (250) 191C (1of2) stdev,CH4 (3000) 191C (2of2),CH4 (3000) 191C (2of2) average,CH4 (3000) 191C (2of2) stdev,Ethane (1000) 191C,Ethane (1000) 191C average,Ethane (1000) 191C stdev,Acetylene (1000) 191C,Acetylene (1000) 191C average,Acetylene (1000) 191C stdev,HNO2 (20) 191C,HNO2 (20) 191C average,HNO2 (20) 191C stdev,N2O (1040) 191C (2of2),N2O (1040) 191C (2of2) average,N2O (1040) 191C (2of2) stdev,CO% (10) 191C (3of3),CO% (10) 191C (3of3) average,CO% (10) 191C (3of3) stdev,MeOH (1000) 191C,MeOH (1000) 191C average,MeOH (1000) 191C stdev,Formic Acid (100) 191C,Formic Acid (100) 191C average,Formic Acid (100) 191C stdev,SO2 (300) 191C,SO2 (300) 191C average,SO2 (300) 191C stdev,Temp (C),Temp (C) average,Temp (C) stdev,Pressure (Atm),Pressure (Atm) average,Pressure (Atm) stdev,NO2 autorange,NO2 autorange average,NO2 autorange stdev,CO autorange,CO autorange average,CO autorange stdev,CH4 autorange,CH4 autorange average,CH4 autorange stdev,NH3 autorange,NH3 autorange average,NH3 autorange stdev,NOx autorange,NOx autorange average,NOx autorange stdev,CO autorange dry,CO autorange dry average,CO autorange dry stdev,CO2% autorange dry,CO2% autorange dry average,CO2% autorange dry stdev,NO dry,NO dry average,NO dry stdev,NO2 autorange dry,NO2 autorange dry average,NO2 autorange dry stdev,NOx autorange dry,NOx autorange dry average,NOx autorange dry stdev,FIDeq THC ppmC,FIDeq THC ppmC average,FIDeq THC ppmC stdev,FIDeq NMHC ppmC,FIDeq NMHC ppmC average,FIDeq NMHC ppmC stdev,FIDeq NMNEHC ppmC,FIDeq NMNEHC ppmC average,FIDeq NMNEHC ppmC stdev,N2O autorange,N2O autorange average,N2O autorange stdev,CO2% autorange,CO2% autorange average,CO2% autorange stdev,FTIR NMHC ppmC,FTIR NMHC ppmC average,FTIR NMHC ppmC stdev,FTIR NMNEHC ppmC,FTIR NMNEHC ppmC average,FTIR NMNEHC ppmC stdev,Igram DC,Igram DC average,Igram DC stdev,Igram PP,Igram PP average,Igram PP stdev,phase Angle,phase Angle average,phase Angle stdev,laser PP,laser PP average,laser PP stdev,laser DC,laser DC average,laser DC stdev,Bad Scan counter,Bad Scan counter average,Bad Scan counter stdev,Centerburst Location,Centerburst Location average,Centerburst Location stdev,Linearizer Check,Linearizer Check average,Linearizer Check stdev,SNR 2500,SNR 2500 average,SNR 2500 stdev,sBeam @ 2500,sBeam @ 2500 average,sBeam @ 2500 stdev
0,TESTANMA_18049.LAB,6/3/2020,18:10:18.000,220.750515,193.226959,15.387632,17.375321,16.033230,0.771608,18.790535,16.690319,1.213662,0.848572,0.535361,0.179994,-0.015424,0.195868,0.162190,-1.887665,-2.544853,0.628771,-6.835360,-2.224909,2.598051,2.518120,3.055595,0.302479,3.065167,1.667820,0.786839,5.554819,5.549957,0.009090,5.764009,5.628585,0.084447,131.953221,162.668549,17.174868,0.014800,0.016164,0.000777,1.299431,0.562020,0.500615,9.489116,11.956575,1.436892,0.543886,2.940412,1.434419,1.092225,1.068800,0.316969,0.075436,2.120753,2.666354,1.247328,-0.722268,1.222926,0.837019,0.234625,0.353081,5.179174,3.767730,1.265650,4.176906,-0.401961,2.730423,0.033662,0.027854,0.008223,-0.350033,-0.389869,1.007506,-0.168300,0.119751,0.175408,2.163789,0.438778,1.005288,190.740738,190.740738,0.000000,1.002254,0.987859,0.008047,17.375321,16.033230,0.771608,131.953221,162.668549,17.174868,1.092225,1.068800,0.316969,-0.015424,0.195868,0.162190,243.305010,213.027924,16.951292,135.361793,167.840668,18.159664,5.912655,5.805764,0.072228,226.452869,199.279816,15.192071,17.824155,16.536961,0.744580,249.589984,219.700775,16.732954,23.252019,23.624157,0.991750,22.050571,22.448477,0.837705,19.555915,23.893017,2.696086,0.848572,0.535361,0.179994,5.763767,5.628476,0.084355,24.511901,24.130676,1.608241,22.017245,25.575211,2.272845,3.663388,3.669258,0.003281,5.246228,5.222371,0.013337,89.746758,89.906593,0.089349,6.236883,6.162103,0.041803,-3.782418,-3.784176,0.000983,0.000000,0.000000,0.000000,563.022400,563.022827,0.000246,0.001324,0.002862,0.000860,NaN,NaN,NaN,1.340504,1.332905,0.004248
1,TESTANMA_18049.LAB,6/3/2020,18:10:18.200,217.895956,199.584045,18.048336,16.948463,16.268665,0.847555,19.890102,17.500011,1.741567,0.887150,0.635531,0.212695,0.044453,0.184394,0.172226,-2.495771,-2.670576,0.511253,-2.977254,-2.714315,2.423631,2.777211,2.964527,0.304422,2.537752,1.903166,0.845899,5.608716,5.564948,0.024481,5.736982,5.651712,0.096887,141.424050,157.015427,18.855686,0.015106,0.015932,0.000902,1.018960,0.678561,0.530925,11.194198,11.810746,1.477533,1.073784,2.604404,1.666974,0.818398,0.924184,0.184786,1.838690,2.599642,2.247608,0.986284,-0.448753,1.450089,0.958080,0.389011,0.474481,4.515145,4.270868,0.802116,1.237289,-0.117284,2.830909,0.032229,0.027823,0.008202,0.560838,-0.493368,0.829900,-0.094717,0.085931,0.200805,1.641205,0.689121,1.137152,190.740738,190.740738,0.000000,1.002254,0.991458,0.009856,16.948463,16.268665,0.847555,141.424050,157.015427,18.855686,0.818398,0.924184,0.184786,0.044453,0.184394,0.172226,239.359564,220.123581,19.412216,145.501471,161.869263,19.895529,5.900660,5.824087,0.083939,224.111571,205.636520,17.954443,17.431146,16.763506,0.822139,246.184352,226.799118,19.289026,25.228590,23.879496,1.232382,24.328353,22.862894,1.166756,22.355784,23.760401,2.765254,0.887150,0.635531,0.212695,5.736829,5.651599,0.096795,27.209217,24.565243,2.124773,25.236648,25.462749,2.272917,3.663496,3.667812,0.003990,5.231714,5.225432,0.013382,89.746758,89.866638,0.109430,6.236883,6.180798,0.051199,-3.782418,-3.783736,0.001204,0.000000,0.000000,0.000000,563.028144,563.023865,0.002393,0.001682,0.002549,0.000963,NaN,NaN,NaN,1.339369,1.334578,0.004908
2,TESTANMA_18049.LAB,6/3/2020,18:10:18.400,215.067395,205.258591,17.432470,16.525492,16.381907,0.833596,20.979655,18.521084,2.023873,0.925375,0.727254,0.220465,0.103785,0.169092,0.176038,-3.098340,-2.742949,0.547259,0.845715,-2.326139,2.863333,3.033943,2.928069,0.276364,2.015141,2.015523,0.807661,5.662122,5.586842,0.048198,5.710201,5.665438,0.099906,150.808624,153.095612,17.352901,0.015408,0.015715,0.000862,0.741043,0.663031,0.526922,12.883751,11.781945,1.449008,1.598856,2.241845,1.644494,0.547064,0.802350,0.194125,3.585886,3.085394,2.116543,0.727618,-0.079042,1.471361,1.078038,0.623448,0.465576,3.857164,4.447252,0.477105,-1.675556,0.122388,2.578670,0.030809,0.026909,0.007361,1.463414,-0.196913,1.216485,-0.021805,0.030269,0.179102,1.123380,0.996249,0.958692,190.740738,190.740738,0.000000,1.002254,0.995057,0.009856,16.525492,16.381907,0.833596,150.808624,153.095612,17.352901,0.547064,0.802350,0.194125,0.103785,0.169092,0.176038,235.450051,226.087738,18.400356,155.548804,157.764938,18.285063,5.888774,5.836050,0.088922,221.791596,211.415009,17.473095,17.041717,16.873865,0.813220,242.809735,232.868622,18.404236,27.187160,24.275547,1.901934,26.585390,23.392963,2.046208,25.130154,23.551044,2.569241,0.925375,0.727254,0.220465,5.710137,5.665339,0.099821,29.881967,25.316099,3.204139,28.426732,25.474186,2.291267,3.663602,3.666388,0.003961,5.217332,5.225617,0.013232,89.746758,89.826675,0.109430,6.236883,6.199493,0.051199,-3.782418,-3.783297,0.001204,0.000000,0.000000,0.000000,563.033836,563.026062,0.004929,0.002037,0.002307,0.000894,NaN,NaN,NaN,1.338244,1.336025,0.004652
3,TESTANMA_18050.LAB,6/3/2020,18:10:18.600,214.348855,210.870453,13.972363,16.042081,16.484297,0.727507,18.551206,18.936813,1.682600,0.705417,0.770820,0.178861,0.124979,0.122823,0.141548,-0.517088,-2.223070,1.079529,3.135682,-1.432623,3.796243,3.136098,2.924181,0.272474,1.918343,2.153236,0.690379,5.745583,5.625103,0.080794,5.735454,5.700929,0.082137,154.881028,149.942596,14.576991,0.015061,0.015401,0.000720,0.733321,0.784123,0.434686,12.975569,11.842793,1.501142,1.987704,1.840116,1.322574,0.657412,0.778426,0.205087,3.540928,2.800884,1.883785,0.630983,0.382799,1.176849,0.794119,0.757861,0.372303,2.826515,4.144077,0.875605,-4.972894,-0.559521,3.442141,0.032147,0.029554,0.006029,1.056775,0.280320,1.125812,0.000322,-0.013283,0.145301,-0.035998,0.983762,0.974753,190.740738,190.740738,0.000000,1.002254,0.998656,0.008047,16.042081,16.484297,0.727507,154.881028,149.942596,14.576991,0.657412,0.778426,0.205087,0.124979,0.122823,0.141548,233.217451,231.498825,14.677310,159.895502,154.502777,15.399840,5.921149,5.872464,0.075560,221.288676,217.200851,14.037757,16.561472,16.978928,0.704618,240.768192,238.446381,14.681178,27.274625,25.159475,2.093992,26.551471,24.303207,2.271656,25.289506,23.537609,2.557586,0.705417,0.770820,0.178861,5.735457,5.700834,0.082079,29.518033,26.721964,3.195538,28.256067,25.956369,2.619082,3.663519,3.664946,0.003232,5.210687,5.224473,0.014421,89.746758,89.786720,0.089349,6.236883,6.218188,0.041803,-3.782418,-3.782857,0.000983,0.000000,0.000000,0.000000,563.031023,563.027710,0.004979,0.002456,0.002149,0.000743,NaN,NaN,NaN,1.335663,1.336957,0.003780
4,TESTANMA_18051.LAB,6/3/2020,18:10:18.800,215.273325,216.667206,2.648596,15.636439,16.505558,0.693402,14.645427,18.571386,2.397934,0.392761,0.751855,0.217298,0.101333,0.071825,0.057182,2.765144,-1.046744,2.335964,4.402138,-0.285816,4.612599,3.133830,2.919841,0.268003,2.132514,2.333784,0.472006,5.812664,5.676781,0.103586,5.790888,5.747506,0.030830,155.588120,146.931000,10.097587,0.014744,0.015024,0.000266,0.641687,0.886889,0.270468,12.040795,11.716685,1.439352,2.294589,1.499764,0.702640,1.005711,0.824162,0.228823,2.648418,2.337872,1.455088,0.515774,0.821597,0.294560,0.219347,0.777321,0.331015,2.247035,3.725007,1.198757,-6.956207,-1.638092,4.513499,0.037108,0.033191,0.002411,-0.088224,0.528554,0.759334,0.015895,-0.053721,0.076803,-1.444486,0.689578,1.444625,190.740738,190.740738,0.000000,1.002254,1.002254,0.000000,15.636439,16.505558,0.693402,155.588120,146.931000,10.097587,1.005711,0.824162,0.228823,0.101333,0.071825,0.057182,233.156800,236.897781,4.380313,160.621729,151.385864,10.798641,5.978262,5.920300,0.034635,222.237880,223.176544,2.119655,16.142312,17.000160,0.669850,240.699917,244.010452,3.833100,25.107865,25.610052,1.674522,24.001584,24.703472,1.912326,22.970035,23.060278,2.347278,0.392761,0.751855,0.217298,5.790913,5.747420,0.030839,26.299741,27.484171,2.247159,25.268193,25.840977,2.637850,3.663366,3.663474,0.000097,5.211999,5.223592,0.015153,89.746758,89.746758,0.000000,6.236883,6.236883,0.000000,-3.782418,-3.782418,0.000000,0.000000,0.000000,0.000000,563.022383,563.027527,0.005113,0.002731,0.002046,0.000568,325.827397,NaN,NaN,1.333236,1.337403,0.002940
5,TESTANMA_18052.LAB,6/3/2020,18:10:19.000,216.966112,215.910324,1.467297,15.893895,16.209274,0.524869,15.650473,17.943373,2.716250,0.509346,0.684010,0.232010,-0.000509,0.074808,0.051610,-1.043444,-0.877900,2.290045,5.289478,2.139152,3.312451,3.137340,3.043685,0.155355,2.329987,2.186748,0.249075,5.686791,5.703176,0.078521,5.810541,5.756813,0.042042,157.051027,151.950577,6.323478,0.016560,0.015376,0.000703,-0.505949,0.525812,0.593830,11.457947,12.110453,0.808788,2.661061,1.923199,0.615068,1.250674,0.855852,0.280390,3.052339,2.933252,0.722596,-0.286228,0.514886,0.480295,-0.269782,0.555960,0.567041,4.725529,3.634278,1.071606,-1.527176,-2.778908,3.208483,0.046482,0.035755,0.006458,-0.389536,0.520654,0.770879,0.145328,0.009005,0.087198,-1.505913,-0.044362,1.440600,190.740738,190.740738,0.000000,1.002254,1.002254,0.000000,15.893895,16.209274,0.524869,157.051027,151.950577,6.323478,1.250674,0.855852,0.280390,-0.000509,0.074808,0.051610,237.585537,235.753876,2.721511,162.137705,156.741043,6.743219,5.998627,5.937495,0.048469,223.993470,222.684616,1.293734,16.408719,16.717072,0.515980,245.280579,243.148529,2.526775,19.238097,24.807266,3.280064,17.862355,23.865829,3.566607,18.434811,22.836060,2.779472,0.509346,0.684010,0.232010,5.810433,5.756753,0.042048,20.246260,26.631046,3.876620,20.818717,25.601269,3.088199,3.663515,3.663499,0.000085,5.226251,5.219596,0.009129,89.746758,89.746758,0.000000,6.236883,6.236883,0.000000,-3.782418,-3.782418,0.000000,0.000000,0.000000,0.000000,563.014282,563.026001,0.007761,0.002079,0.002197,0.000405,343.340149,NaN,NaN,1.336540,1.336611,0.002375
6,TESTANMA_18052.LAB,6/3/2020,18:10:19.200,215.334896,215.398117,0.960271,16.387279,16.097036,0.362026,17.259207,17.417194,2.490284,0.536855,0.613951,0.206859,0.103461,0.086610,0.049643,1.194578,-0.139830,2.232216,2.245865,3.183775,1.751207,3.182126,3.124668,0.054561,1.325281,1.944253,0.378502,5.593723,5.700176,0.083179,5.753870,5.760190,0.040707,154.398526,154.545456,2.316416,0.015078,0.015370,0.000705,1.579697,0.637960,0.744166,11.384989,12.148610,0.757636,3.068826,2.322207,0.571873,1.545268,1.001226,0.413127,-2.266627,2.112189,2.477828,-1.085748,0.100480,0.775223,0.795793,0.523503,0.542378,1.048976,2.941044,1.422880,-4.953029,-4.016973,2.351085,0.012595,0.031828,0.012386,-0.236265,0.361233,0.839829,-0.029912,0.021966,0.071293,1.510574,-0.070489,1.403085,190.740738,190.740738,0.000000,1.002254,1.002254,0.000000,16.387279,16.097036,0.362026,154.398526,154.545456,2.316416,1.545268,1.001226,0.413127,0.103461,0.086610,0.049643,232.771151,234.436203,2.051881,159.473051,159.535355,2.448403,5.942774,5.945917,0.043913,222.412270,222.344772,1.019254,16.925904,16.616024,0.369999,240.421468,241.995972,2.068643,27.140845,25.189718,3.448623,25.441051,24.088369,3.636706,27.612546,23.887411,3.462634,0.536855,0.613951,0.206859,5.753669,5.760122,0.040706,26.725674,26.534336,3.864603,28.897169,26.333374,3.398456,3.663515,3.663504,0.000085,5.226251,5.218504,0.007497,89.746758,89.746758,0.000000,6.236883,6.236883,0.000000,-3.782418,-3.782418,0.000000,0.000000,0.000000,0.000000,563.014282,563.023132,0.009128,0.002079,0.002276,0.000306,343.340149,NaN,NaN,1.336540,1.336045,0.001828
7,TESTANMA_18053.LAB,6/3/2020,18:10:19.400,214.983360,215.381317,0.968210,16.344660,16.060871,0.314426,20.215401,17.264343,2.226437,0.864195,0.601715,0.184425,-0.100870,0.045679,0.095308,-0.341059,0.411627,1.557107,-3.019943,2.410644,3.251840,3.111332,3.140146,0.025772,2.121970,1.965619,0.386436,5.564164,5.680585,0.103449,5.614473,5.741045,0.076698,153.076014,154.998947,1.468861,0.015366,0.015362,0.000705,-0.687417,0.352268,0.942474,11.398816,11.851623,0.684982,2.999864,2.602409,0.461403,1.090000,1.109813,0.326098,0.821639,1.559339,2.372976,-0.823429,-0.209730,0.771855,0.487814,0.405458,0.447434,2.469327,2.663476,1.331951,-3.309760,-4.343813,2.036799,0.013513,0.028369,0.014902,0.633156,0.195181,0.620992,0.171443,0.060615,0.091227,1.567035,0.018242,1.507596,190.740738,190.740738,0.000000,1.002254,1.002254,0.000000,16.344660,16.060871,0.314426,153.076014,154.998947,1.468861,1.090000,1.109813,0.326098,-0.100870,0.045679,0.095308,233.797347,234.105667,1.979570,157.991836,160.023972,1.522728,5.794659,5.927094,0.079930,221.887056,222.363861,1.007124,16.869541,16.581589,0.325854,241.304970,241.695023,2.029751,19.851902,23.722668,3.915141,18.652903,22.501873,3.988322,20.299761,22.921331,3.695254,0.864195,0.601715,0.184425,5.614349,5.740964,0.076721,21.581220,24.874186,3.849897,23.228078,25.293646,3.393138,3.662867,3.663356,0.000281,5.216783,5.218394,0.007523,89.746758,89.746758,0.000000,6.236883,6.236883,0.000000,-3.782418,-3.782418,0.000000,0.000000,0.000000,0.000000,563.015881,563.019592,0.007218,0.003073,0.002483,0.000429,299.918719,NaN,NaN,1.330745,1.334545,0.002518
8,TESTANMA_18054.LAB,6/3/2020,18:10:19.600,218.824767,216.276489,1.622839,16.561803,16.164816,0.384712,19.342198,17.422541,2.364551,0.703877,0.601407,0.184210,0.074948,0.035673,0.087181,-1.543758,0.206292,1.764125,1.903805,2.164268,3.229766,3.154352,3.143796,0.026342,1.528860,1.887722,0.434602,5.794772,5.690423,0.113067,5.963687,5.786692,0.125150,155.479058,155.118561,1.481156,0.015630,0.015476,0.000690,1.480079,0.501620,1.068674,13.186699,11.893848,0.772506,1.924127,2.589694,0.482951,1.076879,1.193706,0.215978,-0.514874,0.748179,2.214149,-0.222128,-0.380352,0.618635,0.109503,0.268535,0.401118,0.011192,2.100412,1.769123,-2.059070,-3.761049,2.220385,0.008562,0.023652,0.016993,0.941296,0.172085,0.581851,0.115607,0.083672,0.086632,-0.450680,-0.064694,1.522657,190.660136,190.724625,0.036044,0.989527,0.999709,0.005692,16.561803,16.164816,0.384712,155.479058,155.118561,1.481156,1.076879,1.193706,0.215978,0.074948,0.035673,0.087181,235.397762,234.541718,1.975138,160.543582,160.153595,1.536579,6.157939,5.974452,0.129996,225.952727,223.296677,1.690441,17.101275,16.689548,0.398784,243.065118,242.154419,2.027468,26.679228,23.603588,3.787059,25.494661,22.290510,3.740355,25.938918,23.051214,3.808965,0.703877,0.601407,0.184210,5.963638,5.786601,0.125184,28.451047,24.660789,3.545694,28.895304,25.421492,3.541462,3.662748,3.663203,0.000368,5.215045,5.219266,0.006603,89.746758,89.746758,0.000000,6.236883,6.236883,0.000000,-3.782418,-3.782418,0.000000,0.000000,0.000000,0.000000,563.016174,563.016602,0.003358,0.003255,0.002643,0.000548,291.946838,320.874664,24.030687,1.329682,1.333349,0.003186
9,TESTANMA_18055.LAB,6/3/2020,18:10:19.800,219.982521,217.218338,2.169533,16.362472,16.310022,0.248231,19.164419,18.326340,1.844040,0.560163,0.634887,0.148573,0.064720,0.028350,0.081649,0.714780,-0.203780,1.153103,0.132306,1.310302,3.049593,3.210391,3.159108,0.038532,1.300889,1.721397,0.474775,5.788344,5.685559,0.106846,5.917433,5.812001,0.138314,158.082810,155.617493,2.006049,0.015954,0.015718,0.000572,1.686909,0.710664,1.197398,12.525415,11.990773,0.824223,2.136716,2.558119,0.511391,0.932596,1.179083,0.233642,0.090224,0.236540,1.944411,-0.903389,-0.664184,0.386833,0.242748,0.273215,0.400536,-0.303534,1.590298,2.060071,-0.512498,-2.472307,1.714657,0.018957,0.020022,0.015249,-0.138373,0.162055,0.587861,-0.005739,0.079345,0.091279,-0.836360,0.056931,1.404601,190.638992,190.704269,0.050493,0.986188,0.996496,0.007973,16.362472,16.310022,0.248231,158.082810,155.617493,2.006049,0.932596,1.179083,0.233642,0.064720,0.028350,0.081649,236.041459,235.118652,1.888891,163.326658,160.694565,2.111292,6.113622,6.001525,0.144295,227.279118,224.304932,2.295990,16.905138,16.842113,0.258235,243.870746,242.788574,1.953326,25.578436,23.697702,3.839276,24.552580,22.400709,3.810823,26.359358,23.729078,4.082664,0.560163,0.634887,0.148573,5.917381,5.811894,0.138357,26.078965,24.616634,3.521473,27.885743,25.945002,3.702922,3.663413,3.663212,0.000374,5.214738,5.219813,0.005928,89.746758,89.746758,0.000000,6.236883,6.236883,0.000000,-3.782418,-3.782418,0.000000,0.000000,0.000000,0.000000,563.012313,563.014526,0.001538,0.003384,0.002774,0.000644,309.759676,317.661102,24.275887,1.329598,1.332621,0.003606
