,Spectrum,Date,Time,"NO (350,3000) 191C","NO (350,3000) 191C average","NO (350,3000) 191C stdev",NO2 (150) 191C (1of2),NO2 (150) 191C (1of2) average,NO2 (150) 191C (1of2) stdev,NO2 (2000) 191C (2of2),NO2 (2000) 191C (2of2) average,NO2 (2000) 191C (2of2) stdev,"N2O (100,200,300) 191C (1of2)","N2O (100,200,300) 191C (1of2) average","N2O (100,200,300) 191C (1of2) stdev",NH3 (300) 191C (1of2),NH3 (300) 191C (1of2) average,NH3 (300) 191C (1of2) stdev,NH3 (3000) 191C (2of2),NH3 (3000) 191C (2of2) average,NH3 (3000) 191C (2of2) stdev,HNCO (400) 191C,HNCO (400) 191C average,HNCO (400) 191C stdev,H2O% (25) 191C,H2O% (25) 191C average,H2O% (25) 191C stdev,"Formaldehyde (70,500) 191C","Formaldehyde (70,500) 191C average","Formaldehyde (70,500) 191C stdev",CO2 low% (4) 191C (2of2),CO2 low% (4) 191C (2of2) average,CO2 low% (4) 191C (2of2) stdev,CO2% (20) 191C (1of2) R4,CO2% (20) 191C (1of2) R4 average,CO2% (20) 191C (1of2) R4 stdev,CO (500) 191C (1of3),CO (500) 191C (1of3) average,CO (500) 191C (1of3) stdev,CO% (1) 191C (2of3),CO% (1) 191C (2of3) average,CO% (1) 191C (2of3) stdev,"Propylene (200,1000) 191C","Propylene (200,1000) 191C average","Propylene (200,1000) 191C stdev",Diesel C1 (4500) 191C,Diesel C1 (4500) 191C average,Diesel C1 (4500) 191C stdev,"Ethylene (100,3000) 191C","Ethylene (100,3000) 191C average","Ethylene (100,3000) 191C stdev",CH4 (250) 191C (1of2),CH4 (250) 191C (1of2) average,CH4 (250) 191C (1of2) stdev,CH4 (3000) 191C (2of2),CH4 (3000) 191C (2of2) average,CH4 (3000) 191C (2of2) stdev,Ethane (1000) 191C,Ethane (1000) 191C average,Ethane (1000) 191C stdev,Acetylene (1000) 191C,Acetylene (1000) 191C average,Acetylene (1000) 191C stdev,HNO2 (20) 191C,HNO2 (20) 191C average,HNO2 (20) 191C stdev,N2O (1040) 191C (2of2),N2O (1040) 191C (2of2) average,N2O (1040) 191C (2of2) stdev,CO% (10) 191C (3of3),CO% (10) 191C (3of3) average,CO% (10) 191C (3of3) stdev,MeOH (1000) 191C,MeOH (1000) 191C average,MeOH (1000) 191C stdev,Formic Acid (100) 191C,Formic Acid (100) 191C average,Formic Acid (100) 191C stdev,SO2 (300) 191C,SO2 (300) 191C average,SO2 (300) 191C stdev,Temp (C),Temp (C) average,Temp (C) stdev,Pressure (Atm),Pressure (Atm) average,Pressure (Atm) stdev,NO2 autorange,NO2 autorange average,NO2 autorange stdev,CO autorange,CO autorange average,CO autorange stdev,CH4 autorange,CH4 autorange average,CH4 autorange stdev,NH3 autorange,NH3 autorange average,NH3 autorange stdev,NOx autorange,NOx autorange average,NOx autorange stdev,CO autorange dry,CO autorange dry average,CO autorange dry stdev,CO2% autorange dry,CO2% autorange dry average,CO2% autorange dry stdev,NO dry,NO dry average,NO dry stdev,NO2 autorange dry,NO2 autorange dry average,NO2 autorange dry stdev,NOx autorange dry,NOx autorange dry average,NOx autorange dry stdev,FIDeq THC ppmC,FIDeq THC ppmC average,FIDeq THC ppmC stdev,FIDeq NMHC ppmC,FIDeq NMHC ppmC average,FIDeq NMHC ppmC stdev,FIDeq NMNEHC ppmC,FIDeq NMNEHC ppmC average,FIDeq NMNEHC ppmC stdev,N2O autorange,N2O autorange average,N2O autorange stdev,CO2% autorange,CO2% autorange average,CO2% autorange stdev,FTIR NMHC ppmC,FTIR NMHC ppmC average,FTIR NMHC ppmC stdev,FTIR NMNEHC ppmC,FTIR NMNEHC ppmC average,FTIR NMNEHC ppmC stdev,Igram DC,Igram DC average,Igram DC stdev,Igram PP,Igram PP average,Igram PP stdev,phase Angle,phase Angle average,phase Angle stdev,laser PP,laser PP average,laser PP stdev,laser DC,laser DC average,laser DC stdev,Bad Scan counter,Bad Scan counter average,Bad Scan counter stdev,Centerburst Location,Centerburst Location average,Centerburst Location stdev,Linearizer Check,Linearizer Check average,Linearizer Check stdev,SNR 2500,SNR 2500 average,SNR 2500 stdev,sBeam @ 2500,sBeam @ 2500 average,sBeam @ 2500 stdev
0,TESTANMA_4472.LAB,6/3/2020,13:10:42.000,514.258696,687.650513,96.978668,25.481436,25.861502,0.293034,34.329203,27.723606,3.735124,0.745735,0.569955,0.115623,0.120197,0.244278,0.087450,-0.588380,0.007555,1.120238,-3.643666,-1.857128,2.204219,3.343800,3.874065,0.296518,2.414167,1.875806,0.372765,6.986044,7.936704,0.544364,7.123821,8.249897,0.631152,142.483442,150.379120,4.518348,0.014823,0.014827,0.000068,-1.279944,-0.903528,0.551650,15.382226,12.496760,1.702760,-0.940601,1.299699,1.264131,1.543595,1.650462,0.080583,3.571346,2.606261,2.039781,-1.061561,-0.303195,0.647904,0.689574,0.143687,0.433886,2.755750,2.757234,1.269815,5.696762,-1.426099,4.000896,0.044376,0.018981,0.016216,1.367502,0.081424,0.964103,0.374389,0.072002,0.185071,-2.237218,-0.625264,1.191159,190.740738,190.667114,0.044463,0.961447,0.973564,0.006958,25.481436,25.861502,0.293034,142.483442,150.379120,4.518348,1.543595,1.650462,0.080583,0.120197,0.244278,0.087450,542.495883,716.269165,97.163902,147.412626,156.451996,5.150354,7.370268,8.584044,0.680144,532.049364,715.616211,102.666161,26.362961,26.904516,0.368657,561.263410,745.389160,102.950439,16.560833,18.318966,2.982430,14.862879,16.503460,2.956092,16.986001,17.109850,2.473269,0.745735,0.569955,0.115623,7.123821,8.249897,0.631152,18.457056,18.469658,3.264054,20.580178,19.076048,2.825586,3.519327,3.491630,0.015506,5.200085,5.240393,0.022597,90.306175,89.954544,0.196567,6.444606,6.319973,0.069672,-3.868132,-3.871648,0.001966,0.000000,0.000000,0.000000,563.245605,563.249573,0.002345,0.002122,0.001833,0.000184,NaN,NaN,NaN,1.336706,1.345278,0.004812
1,TESTANMA_4472.LAB,6/3/2020,13:10:42.200,503.614003,642.213013,121.762199,25.420894,25.690577,0.234578,31.324860,28.584858,4.017705,0.664336,0.588785,0.123095,0.218816,0.239384,0.088201,-0.444218,0.220556,0.821031,-2.809144,-2.179334,2.201550,3.648592,3.802509,0.299759,1.951677,1.910033,0.369675,6.869778,7.647849,0.664094,7.127153,7.973371,0.775256,148.047434,149.639038,4.541104,0.015699,0.015023,0.000379,-0.667791,-0.963154,0.492456,15.228644,13.284225,1.904413,0.459578,0.965914,1.209745,2.158068,1.760723,0.235022,1.656340,2.709113,1.958855,-1.087862,-0.655862,0.422834,1.550205,0.506403,0.690618,3.182650,3.000572,1.194625,4.787111,0.298551,4.526374,0.030789,0.020285,0.016991,0.987861,0.116113,0.999538,0.249081,0.111831,0.199965,-0.736845,-0.635988,1.192052,190.740738,190.687454,0.051157,0.961447,0.970351,0.008266,25.420894,25.690577,0.234578,148.047434,149.639038,4.541104,2.158068,1.760723,0.235022,0.218816,0.239384,0.088201,532.217547,670.904175,121.982445,153.678303,155.571350,5.178437,7.397147,8.290480,0.829050,522.647605,667.885376,128.374390,26.383602,26.706812,0.316577,552.336165,697.712097,128.689621,23.447307,18.864389,3.695473,21.073432,16.927593,3.497857,23.249155,18.239317,3.726218,0.664336,0.588785,0.123095,7.127153,7.973371,0.775256,23.587759,18.815128,3.765541,25.763482,20.126850,4.155775,3.519050,3.498775,0.018637,5.223474,5.235293,0.023050,90.306175,90.042458,0.240744,6.444606,6.351131,0.085331,-3.868132,-3.870769,0.002408,0.000000,0.000000,0.000000,563.243594,563.247925,0.003099,0.002076,0.001897,0.000205,NaN,NaN,NaN,1.340221,1.343953,0.005171
2,TESTANMA_4472.LAB,6/3/2020,13:10:42.400,492.868704,593.586731,123.479927,25.359780,25.596254,0.257499,28.292122,29.051813,3.763624,0.582169,0.587775,0.123132,0.318368,0.235254,0.082681,-0.298693,0.147911,0.853706,-1.966734,-1.670505,1.781983,3.956264,3.794802,0.294020,1.484817,1.789962,0.395186,6.752412,7.345642,0.657701,7.130516,7.677415,0.753471,153.664013,149.592010,4.486851,0.016583,0.015369,0.000771,-0.049852,-0.730927,0.606858,15.073611,13.986467,1.752048,1.872989,0.967957,1.211646,2.778350,1.987166,0.496738,-0.276766,1.658448,1.844121,-1.114411,-0.848412,0.348506,2.418970,1.045467,0.935424,3.613585,3.444073,0.794738,3.868862,1.678728,4.303551,0.017073,0.022615,0.015142,0.604632,0.406182,0.849874,0.122589,0.119232,0.199435,0.777708,-0.238186,1.280651,190.740738,190.707794,0.047137,0.961447,0.967138,0.007900,25.359780,25.596254,0.257499,153.664013,149.592010,4.486851,2.778350,1.987166,0.496738,0.318368,0.235254,0.082681,521.842069,622.627075,124.057747,160.003199,155.511429,5.111309,7.424279,7.981623,0.800443,513.156989,617.191772,129.674683,26.404439,26.606441,0.317078,543.324546,647.379883,130.336884,30.398867,21.635883,5.997249,27.342682,19.450001,5.494878,29.571503,21.146826,5.731816,0.582169,0.587775,0.123132,7.130516,7.677415,0.753471,28.766953,21.334349,5.409052,30.995774,23.031172,5.737985,3.518771,3.505580,0.018445,5.247084,5.234727,0.022631,90.306175,90.130363,0.240744,6.444606,6.382289,0.085331,-3.868132,-3.869890,0.002408,0.000000,0.000000,0.000000,563.241563,563.246216,0.003805,0.002030,0.001943,0.000204,NaN,NaN,NaN,1.343770,1.343248,0.004830
3,TESTANMA_4473.LAB,6/3/2020,13:10:42.600,490.609885,545.791565,102.073242,24.885247,25.424490,0.387748,26.741122,29.256384,3.559389,0.641879,0.613002,0.117477,-0.110726,0.150489,0.162065,1.852525,0.240947,1.029743,-1.984676,-1.894314,1.724984,3.992430,3.790946,0.290570,1.135814,1.709308,0.489166,6.683164,7.063918,0.551268,7.008825,7.377909,0.628933,156.213774,150.354782,5.328734,0.016027,0.015595,0.000764,1.596473,-0.128899,1.073729,13.395608,14.356349,1.223603,2.712582,1.179318,1.433491,2.834930,2.212120,0.586503,-1.564017,0.659416,1.990895,-1.200676,-0.957828,0.357807,1.255592,1.278033,0.769113,2.380976,3.335155,0.912201,1.860386,2.686669,3.370270,-0.014272,0.018662,0.021831,0.008263,0.538414,0.677940,0.150278,0.158436,0.176890,2.053401,0.132874,1.653244,190.659598,190.711929,0.039975,0.963241,0.964283,0.005395,24.885247,25.424490,0.387748,156.213774,150.354782,5.328734,2.834930,2.212120,0.586503,-0.110726,0.150489,0.162065,517.876108,574.551147,103.177757,162.709735,156.299637,5.970786,7.300296,7.669315,0.664190,511.011662,567.379028,106.904099,25.920134,26.426462,0.407919,539.411915,597.273499,108.085800,31.518419,24.839367,6.176247,28.399996,22.406036,5.549673,30.801347,24.321692,5.821078,0.641879,0.613002,0.117477,7.008825,7.377909,0.628933,29.702844,24.399578,4.787379,32.104195,26.315235,5.150480,3.518105,3.512098,0.015024,5.245959,5.233247,0.021312,90.306175,90.218277,0.196567,6.444606,6.413447,0.069672,-3.868132,-3.869011,0.001966,0.000000,0.000000,0.000000,563.240115,563.244263,0.003838,0.002366,0.002043,0.000269,NaN,NaN,NaN,1.342191,1.342074,0.004011
4,TESTANMA_4474.LAB,6/3/2020,13:10:42.800,499.098865,500.090027,9.436254,26.017771,25.433025,0.403065,27.393932,29.616247,3.165818,0.573282,0.641480,0.069929,0.041400,0.117611,0.164695,-0.505648,0.003117,1.039257,2.247811,-1.631282,2.276062,4.005501,3.789317,0.289029,1.486075,1.694510,0.495883,6.941784,6.846637,0.127107,7.145698,7.107203,0.055628,158.069835,151.695709,6.385382,0.014723,0.015571,0.000795,0.104577,-0.059307,1.075728,16.258132,15.067644,1.041379,1.969554,1.214821,1.454504,2.812572,2.425503,0.568163,0.579109,0.793202,1.950016,-0.110079,-0.914918,0.452944,0.965662,1.376000,0.665618,4.824819,3.351556,0.944021,-2.122091,2.818206,3.106063,0.013149,0.018223,0.021937,-0.650544,0.463543,0.800067,0.086087,0.196485,0.116404,-1.230513,-0.274693,1.696043,190.638992,190.704163,0.050614,0.963696,0.962256,0.001119,26.017771,25.433025,0.403065,158.069835,151.695709,6.385382,2.812572,2.425503,0.568163,0.041400,0.117611,0.164695,529.941454,528.874634,9.595278,164.665559,157.693893,7.087402,7.443867,7.387171,0.055955,519.924689,519.758118,8.359536,27.103433,26.434916,0.424457,552.054343,549.678040,8.554150,31.179934,26.621073,6.525338,28.086104,23.953018,5.900646,28.306263,25.782852,5.694537,0.573282,0.641480,0.069929,7.145698,7.107203,0.055628,28.834099,25.869741,4.796594,29.054258,27.699575,4.651211,3.517953,3.518642,0.000595,5.244275,5.232175,0.020397,90.306175,90.306175,0.000000,6.444606,6.444606,0.000001,-3.868132,-3.868132,0.000000,0.000000,0.000000,0.000000,563.239868,563.242187,0.002435,0.002454,0.002210,0.000188,291.195587,NaN,NaN,1.341580,1.340894,0.002665
5,TESTANMA_4476.LAB,6/3/2020,13:10:43.000,500.455060,497.329285,5.418639,25.215117,25.379763,0.412553,26.910985,28.132603,1.883491,0.440365,0.580406,0.087305,0.153178,0.124207,0.165483,-1.448776,-0.168962,1.217609,2.758521,-0.350844,2.633672,4.034499,3.927457,0.158403,1.518783,1.515433,0.289927,6.909845,6.831397,0.109572,7.139360,7.110311,0.057200,159.519510,155.102921,4.510909,0.015406,0.015688,0.000694,0.308809,0.258443,0.832089,16.217362,15.234671,1.164182,2.045117,1.811964,0.825073,2.623191,2.641422,0.282599,3.918191,0.862571,2.075672,0.175357,-0.667534,0.648428,0.969866,1.432059,0.602130,5.186044,3.837615,1.161227,-3.118249,1.055204,3.535712,0.025394,0.014427,0.017466,-0.729914,0.044059,0.756273,0.044005,0.130408,0.077410,-1.197856,-0.066821,1.439698,190.638992,190.683807,0.052644,0.963696,0.962706,0.001164,25.215117,25.379763,0.412553,159.519510,155.102921,4.510909,2.623191,2.641422,0.282599,0.153178,0.124207,0.165483,530.856221,526.546692,6.316005,166.226266,161.456604,4.930311,7.439500,7.401018,0.059199,521.494899,517.647095,5.224649,26.274919,26.417307,0.429979,553.173898,548.060181,6.277063,32.223169,29.753540,3.585857,29.337659,26.847973,3.306446,28.986945,28.183041,2.906374,0.440365,0.580406,0.087305,7.139360,7.110311,0.057200,30.033420,28.185017,2.627505,29.682705,29.520084,2.408879,3.517996,3.518375,0.000502,5.227166,5.237592,0.011322,90.306175,90.306175,0.000000,6.444606,6.444606,0.000001,-3.868132,-3.868132,0.000000,0.000000,0.000000,0.000000,563.234772,563.239929,0.003282,0.002099,0.002205,0.000191,294.169083,NaN,NaN,1.338937,1.341340,0.001851
6,TESTANMA_4477.LAB,6/3/2020,13:10:43.200,493.151510,495.236816,4.286906,25.511402,25.397863,0.416773,25.601877,26.988007,0.981546,0.508219,0.549183,0.077105,0.213725,0.123189,0.164770,2.513890,0.422660,1.680933,-4.257101,-0.640436,3.022465,4.009043,3.999547,0.028598,1.452671,1.415632,0.158161,6.681910,6.793823,0.124337,6.994959,7.083871,0.075191,156.605466,156.814529,2.192208,0.016176,0.015783,0.000728,-0.514696,0.289062,0.791303,10.556206,14.300183,2.394940,3.426849,2.405418,0.659724,2.672044,2.744217,0.092090,-4.139595,-0.296616,2.954094,0.889776,-0.272006,0.887153,1.167130,1.355444,0.607684,3.099370,3.820959,1.173503,2.827308,0.663243,3.100407,0.010648,0.010399,0.014880,-0.044656,-0.162444,0.545821,-0.004222,0.079748,0.061601,2.291586,0.538865,1.700720,190.638992,190.663452,0.044110,0.963696,0.963155,0.000975,25.511402,25.397863,0.416773,156.605466,156.814529,2.192208,2.672044,2.744217,0.092090,0.213725,0.123189,0.164770,521.762282,524.455627,5.666502,163.146066,163.350174,2.326812,7.287103,7.379008,0.078354,513.747858,515.867249,4.570203,26.576892,26.455963,0.434852,543.553617,546.303589,6.004254,26.814917,30.427059,2.123220,23.875669,27.408422,2.100541,22.096118,27.952435,3.399616,0.508219,0.549183,0.077105,6.994959,7.083871,0.075191,25.078091,28.483082,1.980475,23.298539,29.027094,3.412885,3.518731,3.518311,0.000406,5.280725,5.249042,0.019483,90.306175,90.306175,0.000000,6.444606,6.444606,0.000001,-3.868132,-3.868132,0.000000,0.000000,0.000000,0.000000,563.250000,563.241272,0.005528,0.002418,0.002274,0.000195,316.091919,NaN,NaN,1.350456,1.343387,0.004319
7,TESTANMA_4478.LAB,6/3/2020,13:10:43.400,494.376181,495.538269,4.128817,24.759815,25.277868,0.507066,25.968814,26.523346,0.726674,0.524133,0.537576,0.075244,0.366102,0.132736,0.179620,3.548517,1.192102,2.097175,1.954685,0.143848,3.100051,3.987431,4.005781,0.018374,0.867946,1.292258,0.282456,6.746690,6.792679,0.124839,6.901751,7.038119,0.103851,156.264199,157.334564,1.435972,0.016072,0.015681,0.000614,1.159208,0.530874,0.844773,14.311370,14.147736,2.357365,2.449216,2.520663,0.590122,2.330073,2.654562,0.202536,2.915965,0.341930,3.285889,-0.232357,-0.095596,0.755726,2.449635,1.361577,0.621108,-0.049949,3.088252,2.107431,-6.648725,-1.440274,3.857300,0.014525,0.009889,0.014636,-0.493897,-0.382150,0.343434,-0.129124,0.029405,0.105236,1.489877,0.681299,1.754689,190.638992,190.643097,0.009212,0.964929,0.963852,0.000633,24.759815,25.277868,0.507066,156.264199,157.334564,1.435972,2.330073,2.654562,0.202536,0.366102,0.132736,0.179620,519.086048,523.904419,6.101624,162.753893,163.900299,1.524494,7.188382,7.331830,0.109221,514.907728,516.217346,4.373480,25.788097,26.332693,0.530047,540.643836,545.767517,6.440597,35.255094,31.398306,3.025920,32.692014,28.478291,3.155869,33.156727,28.669479,4.126804,0.524133,0.537576,0.075244,6.901750,7.038119,0.103851,32.375888,29.204868,2.653187,32.840601,29.396057,3.760904,3.518595,3.518276,0.000361,5.277257,5.255076,0.023068,90.306175,90.306175,0.000000,6.444606,6.444606,0.000001,-3.868132,-3.868132,0.000000,0.000000,0.000000,0.000000,563.249195,563.242798,0.006589,0.002388,0.002345,0.000142,318.302335,NaN,NaN,1.349673,1.344567,0.005173
8,TESTANMA_4479.LAB,6/3/2020,13:10:43.600,489.988029,495.413971,4.319358,24.726876,25.246197,0.541500,31.924328,27.559988,2.542748,0.183004,0.445800,0.154414,0.118872,0.178656,0.121890,-1.489591,0.523679,2.351273,-3.213913,-0.101999,3.349739,3.998208,4.006937,0.017484,1.760930,1.417281,0.330209,6.864580,6.828961,0.110604,6.931929,7.022739,0.114429,155.785140,157.248840,1.529367,0.015282,0.015532,0.000600,0.719989,0.355577,0.632689,15.677831,14.604181,2.395959,2.516773,2.481502,0.580622,1.609359,2.409448,0.480519,4.194826,1.493699,3.455704,0.591864,0.262912,0.472559,1.638766,1.438212,0.628358,3.453444,3.302745,2.071723,-1.868987,-2.186149,3.392007,0.014354,0.015614,0.005683,0.152904,-0.353221,0.387770,0.172003,0.033750,0.111723,-1.128607,0.044897,1.709078,190.638992,190.638992,0.000000,0.976870,0.966578,0.005778,24.726876,25.246197,0.541500,155.785140,157.248840,1.529367,1.609359,2.409448,0.480519,0.118872,0.178656,0.121890,518.168348,523.962891,6.030427,162.273185,163.813004,1.619282,7.220627,7.315897,0.120228,510.394786,516.093994,4.561697,25.756691,26.300007,0.565693,539.748719,545.834900,6.358751,34.885971,32.071815,3.409768,33.115676,29.421423,3.771265,31.931949,28.895599,4.300152,0.183004,0.445800,0.154414,6.931929,7.022739,0.114429,34.905682,30.245438,3.707931,33.721955,29.719610,4.105896,3.517294,3.518114,0.000576,5.240940,5.254073,0.023666,90.306175,90.306175,0.000000,6.444606,6.444606,0.000001,-3.868132,-3.868132,0.000000,0.000000,0.000000,0.000000,563.240583,563.242859,0.006543,0.002031,0.002278,0.000197,332.331453,310.418060,17.378756,1.341530,1.344435,0.005256
9,TESTANMA_4480.LAB,6/3/2020,13:10:43.800,493.577242,494.309631,3.818519,25.026207,25.047882,0.327611,26.816859,27.444574,2.565167,0.525188,0.436182,0.145742,0.051993,0.180774,0.118965,0.581997,0.741207,2.281514,-5.421886,-1.635939,3.738240,4.017715,4.009379,0.018077,1.230200,1.366106,0.336647,6.762766,6.793158,0.092434,6.997307,6.993061,0.091515,156.464645,156.927811,1.481674,0.015791,0.015745,0.000395,2.880698,0.910802,1.262245,12.183159,13.789186,2.385748,3.041940,2.695979,0.540945,2.178195,2.282572,0.428391,2.008007,1.779479,3.420061,-0.818995,0.121129,0.675303,0.326167,1.310313,0.792288,2.218627,2.781507,1.914961,-1.865842,-2.134899,3.395151,0.011314,0.015247,0.005935,-0.664349,-0.355982,0.390456,0.075024,0.031537,0.110530,-0.669466,0.157107,1.620531,190.638992,190.638992,0.000000,0.976870,0.969212,0.007009,25.026207,25.047882,0.327611,156.464645,156.927811,1.481674,2.178195,2.282572,0.428391,0.051993,0.180774,0.118965,520.822076,522.138977,5.073274,163.014167,163.482712,1.569566,7.290209,7.285164,0.096670,514.238053,514.956665,4.047809,26.073786,26.094076,0.344121,542.623370,543.948669,5.375374,31.977765,32.231384,3.376098,29.581751,29.720554,3.697464,31.219741,29.478296,4.396643,0.525188,0.436182,0.145742,6.997307,6.993061,0.091515,30.828457,30.644308,3.624484,32.466447,30.402050,4.248745,3.517396,3.518002,0.000662,5.222933,5.249804,0.027490,90.306175,90.306175,0.000000,6.444606,6.444606,0.000001,-3.868132,-3.868132,0.000000,0.000000,0.000000,0.000000,563.234755,563.241882,0.007470,0.001666,0.002120,0.000306,263.136098,304.806183,27.003231,1.337601,1.343639,0.006039
