,Spectrum,Date,Time,"NO (350,3000) 191C","NO (350,3000) 191C average","NO (350,3000) 191C stdev",NO2 (150) 191C (1of2),NO2 (150) 191C (1of2) average,NO2 (150) 191C (1of2) stdev,NO2 (2000) 191C (2of2),NO2 (2000) 191C (2of2) average,NO2 (2000) 191C (2of2) stdev,"N2O (100,200,300) 191C (1of2)","N2O (100,200,300) 191C (1of2) average","N2O (100,200,300) 191C (1of2) stdev",NH3 (300) 191C (1of2),NH3 (300) 191C (1of2) average,NH3 (300) 191C (1of2) stdev,NH3 (3000) 191C (2of2),NH3 (3000) 191C (2of2) average,NH3 (3000) 191C (2of2) stdev,HNCO (400) 191C,HNCO (400) 191C average,HNCO (400) 191C stdev,H2O% (25) 191C,H2O% (25) 191C average,H2O% (25) 191C stdev,"Formaldehyde (70,500) 191C","Formaldehyde (70,500) 191C average","Formaldehyde (70,500) 191C stdev",CO2 low% (4) 191C (2of2),CO2 low% (4) 191C (2of2) average,CO2 low% (4) 191C (2of2) stdev,CO2% (20) 191C (1of2) R4,CO2% (20) 191C (1of2) R4 average,CO2% (20) 191C (1of2) R4 stdev,CO (500) 191C (1of3),CO (500) 191C (1of3) average,CO (500) 191C (1of3) stdev,CO% (1) 191C (2of3),CO% (1) 191C (2of3) average,CO% (1) 191C (2of3) stdev,"Propylene (200,1000) 191C","Propylene (200,1000) 191C average","Propylene (200,1000) 191C stdev",Diesel C1 (4500) 191C,Diesel C1 (4500) 191C average,Diesel C1 (4500) 191C stdev,"Ethylene (100,3000) 191C","Ethylene (100,3000) 191C average","Ethylene (100,3000) 191C stdev",CH4 (250) 191C (1of2),CH4 (250) 191C (1of2) average,CH4 (250) 191C (1of2) stdev,CH4 (3000) 191C (2of2),CH4 (3000) 191C (2of2) average,CH4 (3000) 191C (2of2) stdev,Ethane (1000) 191C,Ethane (1000) 191C average,Ethane (1000) 191C stdev,Acetylene (1000) 191C,Acetylene (1000) 191C average,Acetylene (1000) 191C stdev,HNO2 (20) 191C,HNO2 (20) 191C average,HNO2 (20) 191C stdev,N2O (1040) 191C (2of2),N2O (1040) 191C (2of2) average,N2O (1040) 191C (2of2) stdev,CO% (10) 191C (3of3),CO% (10) 191C (3of3) average,CO% (10) 191C (3of3) stdev,MeOH (1000) 191C,MeOH (1000) 191C average,MeOH (1000) 191C stdev,Formic Acid (100) 191C,Formic Acid (100) 191C average,Formic Acid (100) 191C stdev,SO2 (300) 191C,SO2 (300) 191C average,SO2 (300) 191C stdev,Temp (C),Temp (C) average,Temp (C) stdev,Pressure (Atm),Pressure (Atm) average,Pressure (Atm) stdev,NO2 autorange,NO2 autorange average,NO2 autorange stdev,CO autorange,CO autorange average,CO autorange stdev,CH4 autorange,CH4 autorange average,CH4 autorange stdev,NH3 autorange,NH3 autorange average,NH3 autorange stdev,NOx autorange,NOx autorange average,NOx autorange stdev,CO autorange dry,CO autorange dry average,CO autorange dry stdev,CO2% autorange dry,CO2% autorange dry average,CO2% autorange dry stdev,NO dry,NO dry average,NO dry stdev,NO2 autorange dry,NO2 autorange dry average,NO2 autorange dry stdev,NOx autorange dry,NOx autorange dry average,NOx autorange dry stdev,FIDeq THC ppmC,FIDeq THC ppmC average,FIDeq THC ppmC stdev,FIDeq NMHC ppmC,FIDeq NMHC ppmC average,FIDeq NMHC ppmC stdev,FIDeq NMNEHC ppmC,FIDeq NMNEHC ppmC average,FIDeq NMNEHC ppmC stdev,N2O autorange,N2O autorange average,N2O autorange stdev,CO2% autorange,CO2% autorange average,CO2% autorange stdev,FTIR NMHC ppmC,FTIR NMHC ppmC average,FTIR NMHC ppmC stdev,FTIR NMNEHC ppmC,FTIR NMNEHC ppmC average,FTIR NMNEHC ppmC stdev,Igram DC,Igram DC average,Igram DC stdev,Igram PP,Igram PP average,Igram PP stdev,phase Angle,phase Angle average,phase Angle stdev,laser PP,laser PP average,laser PP stdev,laser DC,laser DC average,laser DC stdev,Bad Scan counter,Bad Scan counter average,Bad Scan counter stdev,Centerburst Location,Centerburst Location average,Centerburst Location stdev,Linearizer Check,Linearizer Check average,Linearizer Check stdev,SNR 2500,SNR 2500 average,SNR 2500 stdev,sBeam @ 2500,sBeam @ 2500 average,sBeam @ 2500 stdev
0,TESTANMA_5641.LAB,6/3/2020,11:27:04.000,219.211418,198.198761,11.759629,11.773125,12.066910,0.228514,14.294306,13.342802,1.211427,0.270106,0.521764,0.194267,0.055468,0.142226,0.088419,-2.295377,-0.770225,0.904207,-0.686489,0.493206,1.439892,2.687792,3.226028,0.301871,1.622923,1.838053,0.283258,6.195641,6.026835,0.101781,6.556369,6.273565,0.170253,117.505879,133.390228,8.881203,0.013214,0.013095,0.000576,0.234302,0.225479,0.387620,9.802717,11.320966,1.371627,0.873586,2.558180,0.976417,1.216694,1.291198,0.168487,5.242132,1.360853,2.923569,-0.417149,0.273401,0.396278,-0.049206,0.676121,0.595116,2.525400,1.614832,0.820777,0.433824,-1.053803,2.850794,0.022227,0.016461,0.008495,1.946771,0.843314,0.671371,0.325999,0.195611,0.204498,-2.235939,-0.039456,1.367741,190.638992,190.638992,0.000000,0.996471,0.991072,0.003018,11.773125,12.066910,0.228514,117.505879,133.390228,8.881203,1.216694,1.291198,0.168487,0.055468,0.142226,0.088419,233.509942,211.880524,12.114951,120.751426,137.860580,9.565356,6.737455,6.482332,0.156701,225.266101,204.777496,11.469116,12.098302,12.469694,0.263503,239.959555,218.914642,11.793618,15.947212,24.376268,5.021962,14.608848,22.955950,4.970070,15.443146,22.409147,4.195929,0.270106,0.521764,0.194267,6.556366,6.273553,0.170260,18.646727,25.852118,4.300056,19.481025,25.305317,3.517874,3.621729,3.630592,0.004961,5.812272,5.830226,0.015195,88.707840,89.315208,0.339528,6.292276,6.311664,0.010838,-3.916483,-3.923517,0.003932,0.000000,0.000000,0.000000,563.515686,563.526245,0.006008,0.003639,0.002512,0.000672,NaN,NaN,NaN,1.382318,1.381019,0.001305
1,TESTANMA_5641.LAB,6/3/2020,11:27:04.200,219.738037,203.461914,14.626831,11.754374,12.036031,0.263048,15.268083,14.111765,0.856713,0.445720,0.535351,0.183771,0.071320,0.127979,0.093921,-1.107023,-0.871054,0.908976,-0.392330,0.321993,1.494147,3.012333,3.150121,0.297430,1.165997,1.682700,0.400301,6.261120,6.077625,0.144086,6.597152,6.355940,0.211500,127.351384,131.436234,8.929713,0.013211,0.012938,0.000320,0.282993,0.162984,0.334622,9.848511,11.316777,1.377189,1.792824,2.284430,0.956628,1.275157,1.270370,0.161151,2.981388,2.458864,1.988333,0.040490,0.210760,0.405069,0.188198,0.662824,0.607500,1.597543,1.466065,0.717021,-2.045354,-1.928244,2.135371,0.027949,0.018037,0.009940,1.483834,0.952391,0.732237,0.139350,0.145589,0.173461,-1.617855,-0.460659,1.483978,190.638992,190.638992,0.000000,0.988307,0.990789,0.003235,11.754374,12.036031,0.263048,127.351384,131.436234,8.929713,1.275157,1.270370,0.161151,0.071320,0.127979,0.093921,233.089954,216.964020,14.916517,131.350886,135.743668,9.609223,6.802321,6.562312,0.201397,226.568283,210.048538,14.502142,12.119541,12.428209,0.304699,240.331024,223.988129,14.753867,19.443714,23.492273,5.500921,18.041042,22.094868,5.451695,17.960062,21.673346,4.661480,0.445720,0.535351,0.183771,6.597150,6.355931,0.211508,20.976674,24.863308,4.817635,20.895694,24.441788,4.037625,3.622190,3.628429,0.005912,5.817674,5.824427,0.012674,88.707840,89.163368,0.415836,6.292276,6.306817,0.013274,-3.916483,-3.921758,0.004815,0.000000,0.000000,0.000000,563.520882,563.524414,0.005970,0.003473,0.002711,0.000796,NaN,NaN,NaN,1.382239,1.381620,0.000910
2,TESTANMA_5641.LAB,6/3/2020,11:27:04.400,220.265441,209.024567,14.681673,11.735595,11.956591,0.285536,16.243310,14.730698,1.076604,0.621596,0.546883,0.187779,0.087196,0.108372,0.089089,0.083102,-0.869853,0.910545,-0.097733,0.036389,1.385781,3.337358,3.142889,0.291011,0.708390,1.497234,0.594989,6.326697,6.155657,0.153890,6.637996,6.456210,0.200078,137.211558,131.403763,8.902974,0.013207,0.012966,0.000339,0.331757,0.233328,0.323326,9.894372,10.797262,1.311425,2.713432,2.208213,0.888722,1.333706,1.231174,0.090782,0.717276,2.646792,1.694211,0.498811,0.211996,0.406153,0.425957,0.508027,0.530101,0.668304,1.298662,0.798630,-4.528227,-2.822331,2.091865,0.033680,0.024085,0.007811,1.020208,1.017643,0.717844,-0.047578,0.080195,0.172034,-0.998850,-0.915720,1.123103,190.638992,190.638992,0.000000,0.980131,0.988871,0.005829,11.735595,11.956591,0.285536,137.211558,131.403763,8.902974,1.333706,1.231174,0.090782,0.087196,0.108372,0.089089,232.669341,222.279831,14.808283,141.966139,135.702942,9.575554,6.867283,6.665590,0.198254,227.872406,215.788696,14.797655,12.140811,12.345067,0.317387,240.703047,229.471512,14.876363,22.945426,22.434446,4.828438,21.478349,21.080154,4.854136,20.480727,20.656160,4.123370,0.621596,0.546883,0.187779,6.637995,6.456204,0.200084,23.310092,23.727835,4.236620,22.312471,23.303843,3.556420,3.622652,3.626360,0.005721,5.823084,5.820144,0.006116,88.707840,89.011520,0.415836,6.292276,6.301970,0.013274,-3.916483,-3.920000,0.004815,0.000000,0.000000,0.000000,563.526086,563.523804,0.005423,0.003308,0.002882,0.000818,NaN,NaN,NaN,1.382160,1.382036,0.000295
3,TESTANMA_5642.LAB,6/3/2020,11:27:04.600,216.351361,213.828156,11.422828,11.595000,11.842945,0.295632,12.160884,14.484607,1.511916,0.870471,0.574000,0.227338,0.203547,0.095823,0.061401,0.282730,-0.673429,1.051528,0.827644,0.416230,1.260822,3.445002,3.166471,0.313572,1.227358,1.402786,0.592310,6.305135,6.224509,0.117715,6.549845,6.529689,0.129376,138.715879,131.627838,9.109479,0.014104,0.013284,0.000512,0.966747,0.483789,0.305439,9.556471,10.214587,0.990432,3.398339,2.381008,1.039235,1.763480,1.366065,0.226457,0.624679,2.251834,1.922769,-0.894743,-0.040573,0.620763,0.709426,0.382462,0.315491,0.076796,1.087437,0.973864,-0.859962,-2.080577,1.971902,0.021381,0.025856,0.005052,-0.402284,0.865032,0.939343,0.041881,0.111436,0.138864,1.373766,-0.776633,1.382884,190.638992,190.638992,0.000000,0.978156,0.986558,0.007471,11.595000,11.842945,0.295632,138.715879,131.627838,9.109479,1.763480,1.366065,0.226457,0.203547,0.095823,0.061401,228.023157,226.758545,11.539111,143.665069,135.969772,9.821836,6.783527,6.743254,0.130255,224.070225,220.812180,11.563336,12.008687,12.230436,0.313977,236.158414,234.161896,11.606883,23.966272,22.031839,4.533909,22.026444,20.529169,4.470153,23.815931,20.610315,4.077286,0.870471,0.574000,0.227338,6.549843,6.529686,0.129380,23.094475,23.066105,3.963912,24.883962,23.147251,3.441750,3.622353,3.624263,0.004556,5.840924,5.822605,0.010948,88.707840,88.859680,0.339528,6.292276,6.297123,0.010838,-3.916483,-3.918242,0.003932,0.000000,0.000000,0.000000,563.527860,563.523621,0.005254,0.002633,0.003012,0.000679,NaN,NaN,NaN,1.382175,1.382101,0.000279
4,TESTANMA_5643.LAB,6/3/2020,11:27:04.800,216.833674,218.479980,1.771079,11.815773,11.734774,0.083596,14.017504,14.396817,1.526632,0.662707,0.574120,0.227397,0.111869,0.105880,0.058437,3.937212,0.180129,2.340967,-6.334463,-1.336674,2.850950,3.535165,3.203530,0.349551,1.744562,1.293846,0.410780,6.254002,6.268519,0.050750,6.438083,6.555889,0.074765,140.413985,132.239746,9.675488,0.014588,0.013665,0.000645,0.038621,0.370884,0.351199,12.658710,10.352157,1.295995,3.063558,2.368348,1.028205,1.056431,1.329094,0.263913,4.675707,2.848236,2.154839,-1.758195,-0.506157,0.871106,0.893320,0.433539,0.381053,1.951755,1.363960,0.986120,-1.518877,-1.703719,1.830966,0.005611,0.022170,0.010497,-0.016778,0.806350,0.992927,-0.033306,0.085269,0.153677,1.862264,-0.323323,1.833518,190.638992,190.638992,0.000000,0.978156,0.984244,0.008016,11.815773,11.734774,0.083596,140.413985,132.239746,9.675488,1.056431,1.329094,0.263913,0.111869,0.105880,0.058437,230.601202,231.578735,2.280376,145.559993,136.658707,10.460705,6.674009,6.772919,0.072323,224.780226,225.711456,1.513526,12.248818,12.123232,0.086366,239.052545,239.240921,1.828926,22.809742,21.022472,3.309410,21.647669,19.560469,3.199332,25.164058,20.572784,4.023238,0.662707,0.574120,0.227397,6.438080,6.555887,0.074766,23.296968,21.864986,2.049198,26.813358,22.877300,2.970678,3.622230,3.622231,0.000334,5.845900,5.827971,0.014710,88.707840,88.707840,0.000000,6.292276,6.292276,0.000000,-3.916483,-3.916483,0.000000,0.000000,0.000000,0.000000,563.528015,563.523743,0.005327,0.002442,0.003099,0.000530,254.899078,NaN,NaN,1.382185,1.382215,0.000065
5,TESTANMA_5645.LAB,6/3/2020,11:27:05.000,217.301566,218.098022,1.779824,11.579014,11.695951,0.103932,12.538626,14.045682,1.742721,0.651051,0.650309,0.151085,0.216795,0.138145,0.067482,1.897926,1.018789,1.951054,-1.956830,-1.590742,2.835082,3.458510,3.357674,0.205530,1.453010,1.259863,0.382828,6.364533,6.302297,0.046110,6.542289,6.553073,0.075007,139.977253,136.734009,5.390972,0.013790,0.013780,0.000594,0.157582,0.355540,0.360218,11.830021,10.757616,1.394509,2.655205,2.724672,0.600409,0.983460,1.282447,0.306002,4.772792,2.754368,2.031160,-0.834871,-0.589702,0.880417,-0.284895,0.386401,0.461736,2.802525,1.419385,1.071786,-2.925124,-2.375509,1.420913,0.015882,0.020901,0.010865,0.616038,0.540204,0.762415,0.113147,0.042699,0.084011,0.134054,0.150676,1.489536,190.638992,190.638992,0.000000,0.978156,0.980581,0.004403,11.579014,11.695951,0.103932,139.977253,136.734009,5.390972,0.983460,1.282447,0.306002,0.216795,0.138145,0.067482,231.683105,231.213348,2.025725,144.992566,141.506927,5.843599,6.776557,6.780740,0.069592,225.086141,225.675446,1.528826,11.994083,12.102388,0.104549,239.982590,239.245529,1.831217,20.192842,21.871597,1.945104,19.111036,20.460909,1.772878,20.780777,21.640310,2.862594,0.651051,0.650309,0.151085,6.542287,6.553071,0.075008,21.696347,22.474911,1.073318,23.366088,23.654316,2.290479,3.622087,3.622302,0.000217,5.840486,5.833613,0.012415,88.707840,88.707840,0.000000,6.292276,6.292276,0.000000,-3.916483,-3.916483,0.000000,0.000000,0.000000,0.000000,563.528595,563.526245,0.003159,0.002821,0.002935,0.000440,282.085770,NaN,NaN,1.384027,1.382557,0.000822
6,TESTANMA_5646.LAB,6/3/2020,11:27:05.200,220.163386,218.183105,1.884875,11.765372,11.698152,0.105581,15.872912,14.166647,1.865452,0.533164,0.667798,0.124141,0.218131,0.167508,0.062922,-1.249255,0.990343,1.990436,0.218774,-1.468521,2.911796,3.393669,3.433941,0.074031,1.765584,1.379781,0.436254,6.297368,6.309546,0.040530,6.464645,6.526572,0.078850,141.243741,139.512482,1.577560,0.013559,0.013850,0.000527,0.311401,0.361221,0.359010,10.837527,10.955420,1.300279,3.247064,3.015520,0.325405,0.941217,1.215659,0.342283,-0.733260,2.011439,2.542377,-0.265286,-0.650857,0.835156,-0.071244,0.334513,0.502367,1.249979,1.349872,1.068609,-5.230672,-3.012573,1.876811,0.022557,0.019822,0.010240,-0.214519,0.200533,0.597368,0.146194,0.044068,0.086012,-0.447806,0.384686,1.207430,190.638992,190.638992,0.000000,0.978156,0.978551,0.000884,11.765372,11.698152,0.105581,141.243741,139.512482,1.577560,0.941217,1.215659,0.342283,0.218131,0.167508,0.062922,233.178737,231.231110,2.046570,146.205560,144.477875,1.687474,6.691739,6.758624,0.078073,227.897677,225.941330,1.812243,12.178660,12.114212,0.110166,241.370126,239.453339,2.033047,22.021356,22.387127,1.408250,20.986017,21.049902,1.146495,21.516589,22.351618,2.044449,0.533164,0.667798,0.124141,6.464643,6.526570,0.078850,23.083190,22.896215,0.679310,23.613762,24.197929,1.724766,3.622252,3.622315,0.000211,5.831912,5.836462,0.009012,88.707840,88.707840,0.000000,6.292276,6.292276,0.000000,-3.916483,-3.916483,0.000000,0.000000,0.000000,0.000000,563.526917,563.527466,0.000989,0.002728,0.002786,0.000323,309.407776,NaN,NaN,1.382213,1.382552,0.000825
7,TESTANMA_5647.LAB,6/3/2020,11:27:05.400,216.615277,217.453049,1.554677,11.936579,11.738348,0.151622,14.991772,13.916339,1.579136,0.618466,0.667172,0.124439,0.249496,0.199967,0.052058,0.814293,1.136581,1.933153,-0.343041,-1.517583,2.884867,3.402195,3.446908,0.056483,1.835591,1.605221,0.256978,6.213552,6.286918,0.056857,6.474605,6.493894,0.049535,139.507974,139.971771,0.949455,0.013571,0.013922,0.000433,0.333771,0.361624,0.358969,9.801290,10.936804,1.319788,2.721296,3.017092,0.323594,0.892559,1.127429,0.360613,-3.401057,1.187772,3.538462,-0.547699,-0.860159,0.561206,0.345264,0.318374,0.499986,2.979336,1.812078,1.192701,-0.676926,-2.242312,1.889525,0.011187,0.015324,0.007085,-0.364162,-0.076341,0.415665,0.094954,0.072574,0.070213,2.002458,0.984947,1.087772,190.603991,190.631989,0.015654,0.978045,0.978133,0.000049,11.936579,11.738348,0.151622,139.507974,139.971771,0.949455,0.892559,1.127429,0.360613,0.249496,0.199967,0.052058,231.531192,231.003464,1.905010,144.421463,144.968933,0.984754,6.702643,6.725695,0.050714,224.244690,225.215775,1.553576,12.356933,12.157436,0.156053,239.685796,239.249908,1.924736,20.068503,21.811743,1.683869,19.086688,20.571569,1.395031,20.182087,22.291889,2.115885,0.618466,0.667172,0.124439,6.474602,6.493891,0.049536,20.837162,22.401627,1.082956,21.932560,24.121944,1.833531,3.622600,3.622304,0.000190,5.837706,5.839386,0.005116,88.707840,88.707840,0.000000,6.292276,6.292276,0.000000,-3.916483,-3.916483,0.000000,0.000000,0.000000,0.000000,563.527504,563.527771,0.000609,0.002654,0.002656,0.000140,302.275632,NaN,NaN,1.383032,1.382726,0.000813
8,TESTANMA_5648.LAB,6/3/2020,11:27:05.600,217.606397,217.704071,1.428536,11.689433,11.757235,0.134180,15.204875,14.525137,1.294238,0.614562,0.615990,0.050695,0.001857,0.159630,0.102395,-0.880089,0.904017,2.122251,-4.030696,-2.489251,2.710387,3.436646,3.445237,0.056676,2.138405,1.787430,0.244773,6.297291,6.285349,0.056335,6.604831,6.504890,0.067799,138.763391,139.981277,0.933852,0.013079,0.013718,0.000552,-0.197467,0.128781,0.218385,8.829647,10.791439,1.532686,3.031715,2.943768,0.248412,0.854247,0.945583,0.078890,-1.813654,0.700106,3.794247,0.595348,-0.562140,0.856306,0.145713,0.205632,0.450910,1.500812,2.096881,0.769783,-3.516322,-2.773584,1.773568,0.012213,0.013490,0.006264,0.901362,0.184388,0.547922,0.147167,0.093631,0.074372,0.166564,0.743507,1.113564,190.537247,190.611649,0.044264,0.977834,0.978069,0.000140,11.689433,11.757235,0.134180,138.763391,139.981277,0.933852,0.854247,0.945583,0.078890,0.001857,0.159630,0.102395,230.796643,231.558182,1.017141,143.701975,144.976303,0.972599,6.839882,6.736966,0.069545,225.350883,225.471924,1.417066,12.105456,12.176790,0.137943,239.010660,239.820343,0.960645,19.597579,20.938005,1.395088,18.657907,19.897861,1.328579,17.467211,21.022144,2.774952,0.614562,0.615990,0.050695,6.604829,6.504888,0.067799,22.060107,22.194754,1.014124,20.869411,23.319036,2.248463,3.624043,3.622642,0.000805,5.832837,5.837769,0.005747,88.707840,88.707840,0.000000,6.292276,6.292276,0.000000,-3.916483,-3.916483,0.000000,0.000000,0.000000,0.000000,563.527786,563.527771,0.000608,0.001853,0.002500,0.000387,287.017915,287.137238,21.154068,1.382782,1.382848,0.000753
9,TESTANMA_5649.LAB,6/3/2020,11:27:05.800,219.320028,218.201340,1.481573,11.597677,11.713615,0.145375,13.636200,14.448877,1.341981,0.591926,0.601834,0.043803,0.048016,0.146859,0.113248,-1.506035,-0.184632,1.474626,-3.218590,-1.866077,1.815857,3.419406,3.422085,0.026216,1.987771,1.836072,0.257936,6.425045,6.319558,0.079649,6.651095,6.547493,0.080970,139.060398,139.710571,0.972451,0.013422,0.013484,0.000262,-0.224127,0.076232,0.270821,9.189138,10.097525,1.231826,3.170207,2.965097,0.265276,0.659398,0.866176,0.125481,0.754999,-0.084036,3.110806,0.429693,-0.124563,0.618235,0.824077,0.191783,0.424818,-0.364036,1.633723,1.353951,-0.755669,-2.620943,1.934126,0.021791,0.016726,0.005278,0.693519,0.326448,0.574177,0.076087,0.115510,0.031329,-0.806437,0.209766,1.082406,190.537247,190.591278,0.051365,0.977834,0.978005,0.000162,11.597677,11.713615,0.145375,139.060398,139.710571,0.972451,0.659398,0.866176,0.125481,0.048016,0.146859,0.113248,230.553670,231.548676,1.028480,143.983655,144.661041,0.991402,6.886585,6.779481,0.084751,227.084808,225.932831,1.507734,12.008300,12.128687,0.148108,238.716275,239.753098,1.036605,21.352475,20.646551,1.003587,20.627138,19.693758,1.039497,19.767752,19.942883,1.532601,0.591926,0.601834,0.043803,6.651094,6.547491,0.080970,23.338286,22.203018,1.025456,22.478899,22.452145,1.113595,3.624907,3.623178,0.001237,5.815183,5.831625,0.009841,88.707840,88.707840,0.000000,6.292276,6.292276,0.000000,-3.916483,-3.916483,0.000000,0.000000,0.000000,0.000000,563.526855,563.527527,0.000700,0.001124,0.002236,0.000732,285.179657,293.193359,11.949158,1.380773,1.382565,0.001198
