,Spectrum,Date,Time,"NO (350,3000) 191C","NO (350,3000) 191C average","NO (350,3000) 191C stdev",NO2 (150) 191C (1of2),NO2 (150) 191C (1of2) average,NO2 (150) 191C (1of2) stdev,NO2 (2000) 191C (2of2),NO2 (2000) 191C (2of2) average,NO2 (2000) 191C (2of2) stdev,"N2O (100,200,300) 191C (1of2)","N2O (100,200,300) 191C (1of2) average","N2O (100,200,300) 191C (1of2) stdev",NH3 (300) 191C (1of2),NH3 (300) 191C (1of2) average,NH3 (300) 191C (1of2) stdev,NH3 (3000) 191C (2of2),NH3 (3000) 191C (2of2) average,NH3 (3000) 191C (2of2) stdev,HNCO (400) 191C,HNCO (400) 191C average,HNCO (400) 191C stdev,H2O% (25) 191C,H2O% (25) 191C average,H2O% (25) 191C stdev,"Formaldehyde (70,500) 191C","Formaldehyde (70,500) 191C average","Formaldehyde (70,500) 191C stdev",CO2 low% (4) 191C (2of2),CO2 low% (4) 191C (2of2) average,CO2 low% (4) 191C (2of2) stdev,CO2% (20) 191C (1of2) R4,CO2% (20) 191C (1of2) R4 average,CO2% (20) 191C (1of2) R4 stdev,CO (500) 191C (1of3),CO (500) 191C (1of3) average,CO (500) 191C (1of3) stdev,CO% (1) 191C (2of3),CO% (1) 191C (2of3) average,CO% (1) 191C (2of3) stdev,"Propylene (200,1000) 191C","Propylene (200,1000) 191C average","Propylene (200,1000) 191C stdev",Diesel C1 (4500) 191C,Diesel C1 (4500) 191C average,Diesel C1 (4500) 191C stdev,"Ethylene (100,3000) 191C","Ethylene (100,3000) 191C average","Ethylene (100,3000) 191C stdev",CH4 (250) 191C (1of2),CH4 (250) 191C (1of2) average,CH4 (250) 191C (1of2) stdev,CH4 (3000) 191C (2of2),CH4 (3000) 191C (2of2) average,CH4 (3000) 191C (2of2) stdev,Ethane (1000) 191C,Ethane (1000) 191C average,Ethane (1000) 191C stdev,Acetylene (1000) 191C,Acetylene (1000) 191C average,Acetylene (1000) 191C stdev,HNO2 (20) 191C,HNO2 (20) 191C average,HNO2 (20) 191C stdev,N2O (1040) 191C (2of2),N2O (1040) 191C (2of2) average,N2O (1040) 191C (2of2) stdev,CO% (10) 191C (3of3),CO% (10) 191C (3of3) average,CO% (10) 191C (3of3) stdev,MeOH (1000) 191C,MeOH (1000) 191C average,MeOH (1000) 191C stdev,Formic Acid (100) 191C,Formic Acid (100) 191C average,Formic Acid (100) 191C stdev,SO2 (300) 191C,SO2 (300) 191C average,SO2 (300) 191C stdev,Temp (C),Temp (C) average,Temp (C) stdev,Pressure (Atm),Pressure (Atm) average,Pressure (Atm) stdev,NO2 autorange,NO2 autorange average,NO2 autorange stdev,CO autorange,CO autorange average,CO autorange stdev,CH4 autorange,CH4 autorange average,CH4 autorange stdev,NH3 autorange,NH3 autorange average,NH3 autorange stdev,NOx autorange,NOx autorange average,NOx autorange stdev,CO autorange dry,CO autorange dry average,CO autorange dry stdev,CO2% autorange dry,CO2% autorange dry average,CO2% autorange dry stdev,NO dry,NO dry average,NO dry stdev,NO2 autorange dry,NO2 autorange dry average,NO2 autorange dry stdev,NOx autorange dry,NOx autorange dry average,NOx autorange dry stdev,FIDeq THC ppmC,FIDeq THC ppmC average,FIDeq THC ppmC stdev,FIDeq NMHC ppmC,FIDeq NMHC ppmC average,FIDeq NMHC ppmC stdev,FIDeq NMNEHC ppmC,FIDeq NMNEHC ppmC average,FIDeq NMNEHC ppmC stdev,N2O autorange,N2O autorange average,N2O autorange stdev,CO2% autorange,CO2% autorange average,CO2% autorange stdev,FTIR NMHC ppmC,FTIR NMHC ppmC average,FTIR NMHC ppmC stdev,FTIR NMNEHC ppmC,FTIR NMNEHC ppmC average,FTIR NMNEHC ppmC stdev,Igram DC,Igram DC average,Igram DC stdev,Igram PP,Igram PP average,Igram PP stdev,phase Angle,phase Angle average,phase Angle stdev,laser PP,laser PP average,laser PP stdev,laser DC,laser DC average,laser DC stdev,Bad Scan counter,Bad Scan counter average,Bad Scan counter stdev,Centerburst Location,Centerburst Location average,Centerburst Location stdev,Linearizer Check,Linearizer Check average,Linearizer Check stdev,SNR 2500,SNR 2500 average,SNR 2500 stdev,sBeam @ 2500,sBeam @ 2500 average,sBeam @ 2500 stdev
0,TESTANMA_18938.LAB,6/3/2020,18:23:53.000,248.475115,316.718567,38.149246,19.257368,19.743961,0.272013,25.457720,24.109827,0.753495,0.696737,0.381321,0.176323,0.279016,-0.051064,0.184520,-3.898430,1.509433,3.023087,-8.012911,-0.750107,4.060031,2.684937,3.242568,0.311725,1.574329,1.614506,0.022460,6.698649,6.521225,0.099183,6.979177,6.734183,0.136956,155.860097,116.222206,22.158255,0.016424,0.011456,0.002777,-0.941662,0.286122,0.686352,8.165599,9.179808,0.566960,6.480606,2.212051,2.386195,1.707570,0.676548,0.576359,3.113915,-0.460891,1.998378,-0.752653,-1.074009,0.179643,-0.722714,0.057638,0.436230,2.341342,0.540959,1.006445,1.994144,2.743858,0.419102,0.046314,0.029411,0.009449,-0.739578,-0.129040,0.341301,0.426463,0.172816,0.141793,-2.948534,-0.886823,1.152532,190.740738,190.740738,0.000000,0.990687,0.995057,0.002443,19.257368,19.743961,0.272013,155.860097,116.222206,22.158255,1.707570,0.676548,0.576359,0.279016,-0.051064,0.184520,270.073824,337.003479,37.414818,160.160301,120.059303,22.417135,7.171733,6.959556,0.118611,255.330581,327.436432,40.308395,19.788681,20.406517,0.345381,277.525202,348.399353,39.619865,19.291481,16.145601,1.758600,17.413154,15.401398,1.124606,18.918460,17.549417,0.765319,0.696737,0.381321,0.176323,6.979177,6.734183,0.136956,19.470265,17.300751,1.212795,20.975571,19.448767,0.853509,3.604855,3.617329,0.006974,5.277582,5.269427,0.004559,89.546967,89.834671,0.160830,6.319973,6.253501,0.037159,-3.852747,-3.849231,0.001966,0.000000,0.000000,0.000000,562.956055,562.981445,0.014194,0.003569,0.002846,0.000404,NaN,NaN,NaN,1.325476,1.326944,0.000821
1,TESTANMA_18938.LAB,6/3/2020,18:23:53.200,248.626015,299.687866,46.681793,19.722250,19.715290,0.263404,22.563277,23.867910,1.031585,0.567682,0.434364,0.186282,0.253773,0.026407,0.219259,-0.745167,0.788119,3.050007,-7.130587,-2.389343,4.741141,3.061029,3.178379,0.308873,1.668500,1.623296,0.033339,6.804971,6.586845,0.155212,7.008927,6.801382,0.176197,170.015405,128.962738,31.415991,0.016810,0.012775,0.003510,-0.384149,0.090679,0.715607,8.403889,8.973913,0.634739,5.309348,3.044938,2.634467,1.502662,0.893322,0.653802,3.279862,0.466000,2.493639,-0.962346,-1.035609,0.178696,0.372700,0.081632,0.452635,2.062492,0.935284,1.160467,0.484587,2.254518,1.069404,0.037726,0.031919,0.009708,-0.050923,-0.143943,0.334530,0.217579,0.194451,0.137898,-2.246195,-1.261783,1.244244,190.740738,190.740738,0.000000,0.984202,0.992667,0.005291,19.722250,19.715290,0.263404,170.015405,128.962738,31.415991,1.502662,0.893322,0.653802,0.253773,0.026407,0.219259,270.410757,320.338470,45.731487,175.451027,133.142700,32.101295,7.230505,7.024354,0.162696,256.481895,309.640228,49.053886,20.347468,20.363815,0.334538,278.955756,330.966949,48.135113,20.960905,17.265957,2.676908,19.307977,16.283302,2.011131,21.232668,18.354519,1.771377,0.567682,0.434364,0.186282,7.008927,6.801382,0.176197,21.467365,18.242548,2.151457,23.392056,20.313766,1.908968,3.604280,3.614096,0.008701,5.270531,5.270055,0.004422,89.546967,89.762741,0.196976,6.319973,6.270119,0.045510,-3.852747,-3.850110,0.002408,0.000000,0.000000,0.000000,562.961039,562.976074,0.016111,0.003734,0.003060,0.000543,NaN,NaN,NaN,1.326124,1.326706,0.000859
2,TESTANMA_18938.LAB,6/3/2020,18:23:53.400,248.776371,282.687256,46.640663,20.185459,19.779261,0.337465,19.679257,23.049191,2.147147,0.439093,0.461689,0.171534,0.228620,0.098848,0.212927,2.396741,0.695188,2.977254,-6.251440,-3.852750,4.532800,3.435766,3.189137,0.318523,1.762332,1.650852,0.070673,6.910911,6.673654,0.194685,7.038570,6.874509,0.185205,184.119734,144.524139,36.284790,0.017194,0.014171,0.003623,0.171357,0.006337,0.664628,8.641320,8.815505,0.588565,4.142308,3.644417,2.426876,1.298493,1.069262,0.611155,3.445211,1.425960,2.540987,-1.171283,-1.038996,0.181645,1.464170,0.323921,0.775907,1.784647,1.274041,1.097876,-1.019535,1.464354,1.711294,0.029169,0.032716,0.009165,0.635251,-0.021612,0.487824,0.009448,0.174460,0.158948,-1.546386,-1.496781,1.140686,190.740738,190.740738,0.000000,0.977740,0.988986,0.007982,20.185459,19.779261,0.337465,184.119734,144.524139,36.284790,1.298493,1.069262,0.611155,0.228620,0.098848,0.212927,270.746477,303.740570,45.639900,190.686684,149.273224,37.410912,7.289065,7.100865,0.182205,257.629062,292.073456,48.744431,20.904243,20.432468,0.411487,280.381158,313.819580,47.752300,22.624317,18.718994,3.285682,21.195975,17.542805,2.759684,23.538541,19.620796,2.742784,0.439093,0.461689,0.171534,7.038570,6.874509,0.185205,23.457273,19.582331,2.938137,25.799839,21.660318,2.917762,3.603707,3.610748,0.008865,5.263505,5.269279,0.005268,89.546967,89.690819,0.196976,6.319973,6.286737,0.045510,-3.852747,-3.850989,0.002408,0.000000,0.000000,0.000000,562.966006,562.971741,0.015070,0.003899,0.003306,0.000597,NaN,NaN,NaN,1.326770,1.326598,0.000795
3,TESTANMA_18939.LAB,6/3/2020,18:23:53.600,245.741552,265.079712,38.424767,19.978614,19.801861,0.348304,18.393886,21.973400,2.906995,0.371385,0.475473,0.157757,0.100092,0.145583,0.170593,-0.223898,0.078129,2.725097,-1.074532,-4.280775,4.024843,3.436030,3.199948,0.327496,2.391261,1.804195,0.335381,6.727734,6.723826,0.160641,6.931132,6.926148,0.147008,180.627790,159.387161,31.643166,0.017624,0.015653,0.003073,0.481700,-0.015937,0.641513,12.634434,9.455721,1.839751,3.687562,4.152947,2.001264,1.515282,1.288560,0.507298,1.536967,2.004272,2.027011,-1.028355,-1.013797,0.170009,0.655201,0.404416,0.787466,0.808785,1.417626,0.940052,3.004690,1.479034,1.727265,0.003891,0.028457,0.015965,0.938792,0.161427,0.652822,0.070791,0.166737,0.163764,2.170184,-0.988465,2.005796,190.740738,190.740738,0.000000,0.976870,0.985130,0.008307,19.978614,19.801861,0.348304,180.627790,159.387161,31.643166,1.515282,1.288560,0.507298,0.100092,0.145583,0.170593,266.528952,286.299164,37.736462,187.055816,164.677567,32.785847,7.177777,7.155118,0.146816,254.486200,273.878113,40.034660,20.689551,20.458183,0.425311,276.013445,295.798676,39.343212,26.618282,20.970825,4.151482,24.951472,19.553408,3.812695,27.008182,21.581003,3.860934,0.371385,0.475473,0.157757,6.931131,6.926147,0.147008,28.531247,21.936905,4.441814,30.587958,23.964497,4.485669,3.604528,3.607563,0.007215,5.267174,5.269236,0.005288,89.546967,89.618889,0.160830,6.319973,6.303355,0.037159,-3.852747,-3.851868,0.001966,0.000000,0.000000,0.000000,562.985228,562.971191,0.014417,0.003765,0.003526,0.000495,NaN,NaN,NaN,1.332940,1.327724,0.002996
4,TESTANMA_18940.LAB,6/3/2020,18:23:53.800,244.565699,247.236938,1.949625,19.643082,19.757355,0.352316,22.941597,21.807148,2.800163,0.380822,0.491144,0.139059,0.061792,0.184659,0.097289,-0.526053,-0.599362,2.237638,-0.002134,-4.494321,3.684173,3.429653,3.209483,0.334735,2.079118,1.895108,0.336120,6.723900,6.773233,0.086645,6.744935,6.940548,0.116329,180.612448,174.247101,11.561671,0.016664,0.016943,0.000472,-0.187184,-0.171988,0.543791,7.308991,9.030847,2.076300,5.418143,5.007593,1.109119,0.570976,1.318997,0.442494,-2.975092,1.680173,2.712102,-0.076545,-0.798236,0.430687,0.878994,0.529670,0.806874,5.054868,2.410427,1.587117,-1.446587,0.603460,1.907278,0.011305,0.025681,0.017780,-1.120707,-0.067433,0.875741,-0.012629,0.142330,0.182470,1.491339,-0.615919,2.300411,190.740738,190.740738,0.000000,0.976870,0.981274,0.006092,19.643082,19.757355,0.352316,180.612448,174.247101,11.561671,0.570976,1.318997,0.442494,0.061792,0.184659,0.097289,269.263649,269.404724,1.699269,187.026828,180.076141,12.526416,6.984477,7.170712,0.114364,253.251338,255.435822,1.702158,20.340695,20.414127,0.423406,278.826452,278.340393,1.647636,22.212702,22.341537,2.720115,21.584628,20.890640,2.813491,21.737719,22.487116,3.017287,0.380822,0.491144,0.139059,6.744935,6.940548,0.116329,22.692550,23.123739,3.377490,22.845641,24.720213,3.704605,3.604758,3.604425,0.000459,5.268358,5.269430,0.005221,89.546967,89.546967,0.000000,6.319973,6.319973,0.000000,-3.852747,-3.852747,0.000000,0.000000,0.000000,0.000000,562.989990,562.971619,0.015067,0.003724,0.003738,0.000118,291.310059,NaN,NaN,1.334501,1.329162,0.004223
5,TESTANMA_18942.LAB,6/3/2020,18:23:54.000,246.923315,246.926590,1.822626,19.886498,19.883181,0.214498,19.888022,20.693209,1.969499,0.346577,0.421112,0.088682,0.088724,0.146600,0.087918,-3.807067,-0.581089,2.204084,0.871778,-2.717383,3.705386,3.458290,3.364154,0.169802,2.482920,2.076827,0.363807,6.764271,6.786357,0.076950,6.863432,6.917399,0.118221,181.223557,179.319794,5.399469,0.017254,0.017109,0.000381,0.726067,0.161558,0.458442,10.165016,9.430730,2.060476,4.921560,4.695785,0.753672,1.026551,1.182793,0.395279,0.913558,1.240101,2.597390,-0.201928,-0.688091,0.508629,0.841118,0.842437,0.401123,4.198070,2.781773,1.773215,-2.185023,-0.232374,2.055443,0.029376,0.022293,0.014098,-1.178658,-0.155249,0.976240,0.059673,0.068972,0.089966,-0.410937,-0.108399,1.902670,190.740738,190.740738,0.000000,0.976870,0.978511,0.003204,19.886498,19.883181,0.214498,181.223557,179.319794,5.399469,1.026551,1.182793,0.395279,0.088724,0.146600,0.087918,271.007883,269.591553,1.836978,187.715458,185.587158,5.863143,7.109332,7.158231,0.117585,255.769275,255.523560,1.706678,20.598949,20.576181,0.239144,280.716293,278.978607,1.857583,27.887062,24.060654,3.011200,26.757857,22.759581,3.021983,27.161712,24.135763,2.825881,0.346577,0.421112,0.088682,6.863432,6.917399,0.118221,28.386411,24.906971,3.319565,28.790266,26.283152,3.362495,3.603777,3.604210,0.000460,5.267776,5.267469,0.002552,89.546967,89.546967,0.000000,6.319973,6.319973,0.000000,-3.852747,-3.852747,0.000000,0.000000,0.000000,0.000000,562.979370,562.976379,0.012398,0.003333,0.003691,0.000212,279.533386,NaN,NaN,1.332080,1.330483,0.003792
6,TESTANMA_18943.LAB,6/3/2020,18:23:54.200,247.712539,246.743896,1.647014,20.121158,19.962961,0.213861,22.973874,20.775326,2.072816,0.582110,0.423997,0.094675,0.221458,0.140137,0.078783,-2.101793,-0.852414,2.310274,-3.772676,-2.045801,2.928383,3.467944,3.445537,0.016605,1.019457,1.947018,0.590862,6.828981,6.791159,0.079121,6.862224,6.888059,0.107549,182.208109,181.758331,1.471029,0.017186,0.017185,0.000342,0.889813,0.416351,0.432619,10.233870,9.796727,1.993935,3.818939,4.397702,0.745020,0.961360,1.074532,0.358154,4.185369,1.421203,2.798916,-0.672899,-0.630202,0.485560,1.153396,0.998576,0.315336,6.587500,3.686774,2.368978,-2.192264,-0.767744,2.167569,0.026821,0.020112,0.011764,0.664889,-0.012086,1.045399,-0.231372,-0.020818,0.122665,-0.985134,0.143813,1.609429,190.740738,190.740738,0.000000,0.976870,0.977044,0.000389,20.121158,19.962961,0.213861,182.208109,181.758331,1.471029,0.961360,1.074532,0.358154,0.221458,0.140137,0.078783,274.421197,270.393616,2.869481,188.754082,188.247772,1.532932,7.108741,7.133878,0.111316,256.611139,255.549408,1.725694,20.844022,20.675495,0.222977,284.279130,280.043304,3.009559,26.087525,25.085978,2.525501,25.030029,23.903992,2.409488,26.375827,25.164394,2.410493,0.582110,0.423997,0.094675,6.862224,6.888059,0.107549,26.537011,25.920898,2.727817,27.882809,27.181301,2.974583,3.602865,3.603927,0.000750,5.268198,5.267002,0.002008,89.546967,89.546967,0.000000,6.319973,6.319973,0.000000,-3.852747,-3.852747,0.000000,0.000000,0.000000,0.000000,562.970629,562.978210,0.009946,0.002734,0.003491,0.000473,261.747132,NaN,NaN,1.329439,1.331146,0.003058
7,TESTANMA_18944.LAB,6/3/2020,18:23:54.400,244.505371,245.889694,1.421476,20.102502,19.946369,0.194639,17.348571,20.309189,2.580753,0.426988,0.421576,0.094347,0.064247,0.107263,0.065867,2.464628,-0.838837,2.334219,-0.339581,-0.863429,1.770273,3.517148,3.461813,0.034680,-0.089088,1.576734,1.098014,6.643641,6.737705,0.067407,6.797252,6.839795,0.071085,181.902726,181.314926,0.727544,0.017518,0.017249,0.000374,1.384654,0.659010,0.577020,8.768067,9.822075,1.976302,3.977104,4.364662,0.762633,1.027040,1.020242,0.335581,-5.831407,-0.434121,3.956904,-1.047339,-0.605413,0.453110,0.899934,0.885729,0.178204,4.848140,4.299473,2.139036,1.911392,-0.181559,2.459153,0.029411,0.020161,0.011811,0.689598,-0.001217,1.054059,0.136137,0.004520,0.142035,1.913969,0.835884,1.435524,190.740738,190.740738,0.000000,0.976784,0.976853,0.000039,20.102502,19.946369,0.194639,181.902726,181.314926,0.727544,1.027040,1.020242,0.335581,0.064247,0.107263,0.065867,269.456014,270.135559,2.887786,188.533959,187.817230,0.807196,7.045035,7.085073,0.073255,253.418419,254.707275,1.464778,20.835323,20.661709,0.206847,279.278803,279.822815,3.018983,24.534561,25.468027,2.181003,23.404816,24.345760,1.946956,25.499495,25.556589,2.232808,0.426988,0.421576,0.094347,6.797252,6.839795,0.071085,24.386899,26.106823,2.543364,26.481578,27.317652,2.910361,3.603372,3.603860,0.000789,5.270389,5.268379,0.001213,89.546967,89.546967,0.000000,6.319973,6.319973,0.000000,-3.852747,-3.852747,0.000000,0.000000,0.000000,0.000000,562.981130,562.981323,0.007216,0.002190,0.003149,0.000677,253.306273,NaN,NaN,1.329878,1.331767,0.002118
8,TESTANMA_18945.LAB,6/3/2020,18:23:54.600,245.953602,245.932098,1.419112,20.056467,19.961941,0.200877,22.387796,21.107973,2.454746,0.368524,0.421004,0.094735,0.016527,0.090549,0.077683,-1.167379,-1.027533,2.310090,-4.212846,-1.491092,2.331292,3.496428,3.473893,0.033966,1.268977,1.352277,1.000237,6.672378,6.726634,0.073706,6.894381,6.832445,0.060373,181.021062,181.393585,0.652026,0.018145,0.017353,0.000540,1.259215,0.814513,0.620425,7.359935,8.767176,1.432810,3.771058,4.381361,0.744806,0.947927,0.906771,0.191209,-2.925452,-1.326605,3.904077,0.190938,-0.361555,0.494771,0.708045,0.896298,0.161938,3.183547,4.774425,1.248439,0.077705,-0.766955,1.760065,0.008305,0.021043,0.010367,0.828179,-0.023340,1.030291,0.011049,-0.007428,0.137507,1.228742,0.647596,1.268822,190.740738,190.740738,0.000000,0.976549,0.976789,0.000139,20.056467,19.961941,0.200877,181.021062,181.393585,0.652026,0.947927,0.906771,0.191209,0.016527,0.090549,0.077683,269.193616,270.668457,2.225815,187.579814,187.922028,0.712033,7.144185,7.078354,0.063521,254.864904,254.783005,1.460273,20.783143,20.680426,0.214104,278.946941,280.409515,2.290845,23.813588,24.907087,2.171860,22.770869,23.909639,2.020207,22.388993,24.632748,2.429036,0.368524,0.421004,0.094735,6.894381,6.832445,0.060373,25.161843,25.432943,2.157510,24.779967,26.156052,2.391609,3.603641,3.603683,0.000695,5.264389,5.267822,0.002168,89.546967,89.546967,0.000000,6.319973,6.319973,0.000000,-3.852747,-3.852747,0.000000,0.000000,0.000000,0.000000,562.982334,562.980713,0.006932,0.002876,0.002972,0.000586,290.122533,275.203888,17.038992,1.332086,1.331597,0.002032
9,TESTANMA_18946.LAB,6/3/2020,18:23:54.800,247.398295,246.498627,1.297447,20.196777,20.072681,0.115722,18.042938,20.128239,2.516743,0.334739,0.411787,0.101614,-0.078249,0.062541,0.109410,-0.811288,-1.084580,2.298101,-0.519682,-1.594601,2.259025,3.490479,3.486058,0.023414,2.386070,1.413667,1.063423,6.779796,6.737813,0.077337,6.950035,6.873465,0.055534,183.171697,181.905426,0.857629,0.018048,0.017630,0.000444,0.702636,0.992477,0.312439,7.213007,8.747979,1.457658,3.849737,4.067680,0.483392,0.797518,0.952079,0.093752,2.197391,-0.292108,4.040958,-0.523928,-0.451031,0.470186,1.480743,1.016647,0.305676,2.170323,4.197516,1.678763,-0.980602,-0.673759,1.727110,0.018914,0.022565,0.009056,-0.035962,0.193609,0.837647,-0.091233,-0.023149,0.142648,-0.421288,0.265070,1.238811,190.740738,190.740738,0.000000,0.976549,0.976725,0.000164,20.196777,20.072681,0.115722,183.171697,181.905426,0.857629,0.797518,0.952079,0.093752,-0.078249,0.062541,0.109410,269.765395,270.768829,2.156889,189.796487,188.475983,0.895261,7.201436,7.121745,0.057144,256.346114,255.401947,1.295308,20.927227,20.797733,0.122528,279.522527,280.548737,2.189499,22.437770,24.952101,2.103307,21.560499,23.904814,2.027166,22.608356,24.806875,2.188963,0.334739,0.411787,0.101614,6.950035,6.873465,0.055534,23.717446,25.637924,1.860275,24.765303,26.539984,1.810905,3.602883,3.603307,0.000422,5.261171,5.266385,0.003620,89.546967,89.546967,0.000000,6.319973,6.319973,0.000000,-3.852747,-3.852747,0.000000,0.000000,0.000000,0.000000,562.966919,562.976074,0.006881,0.002963,0.002819,0.000415,286.737000,274.289246,16.052492,1.329747,1.330646,0.001321
