,Spectrum,Date,Time,"NO (350,3000) 191C","NO (350,3000) 191C average","NO (350,3000) 191C stdev",NO2 (150) 191C (1of2),NO2 (150) 191C (1of2) average,NO2 (150) 191C (1of2) stdev,NO2 (2000) 191C (2of2),NO2 (2000) 191C (2of2) average,NO2 (2000) 191C (2of2) stdev,"N2O (100,200,300) 191C (1of2)","N2O (100,200,300) 191C (1of2) average","N2O (100,200,300) 191C (1of2) stdev",NH3 (300) 191C (1of2),NH3 (300) 191C (1of2) average,NH3 (300) 191C (1of2) stdev,NH3 (3000) 191C (2of2),NH3 (3000) 191C (2of2) average,NH3 (3000) 191C (2of2) stdev,HNCO (400) 191C,HNCO (400) 191C average,HNCO (400) 191C stdev,H2O% (25) 191C,H2O% (25) 191C average,H2O% (25) 191C stdev,"Formaldehyde (70,500) 191C","Formaldehyde (70,500) 191C average","Formaldehyde (70,500) 191C stdev",CO2 low% (4) 191C (2of2),CO2 low% (4) 191C (2of2) average,CO2 low% (4) 191C (2of2) stdev,CO2% (20) 191C (1of2) R4,CO2% (20) 191C (1of2) R4 average,CO2% (20) 191C (1of2) R4 stdev,CO (500) 191C (1of3),CO (500) 191C (1of3) average,CO (500) 191C (1of3) stdev,CO% (1) 191C (2of3),CO% (1) 191C (2of3) average,CO% (1) 191C (2of3) stdev,"Propylene (200,1000) 191C","Propylene (200,1000) 191C average","Propylene (200,1000) 191C stdev",Diesel C1 (4500) 191C,Diesel C1 (4500) 191C average,Diesel C1 (4500) 191C stdev,"Ethylene (100,3000) 191C","Ethylene (100,3000) 191C average","Ethylene (100,3000) 191C stdev",CH4 (250) 191C (1of2),CH4 (250) 191C (1of2) average,CH4 (250) 191C (1of2) stdev,CH4 (3000) 191C (2of2),CH4 (3000) 191C (2of2) average,CH4 (3000) 191C (2of2) stdev,Ethane (1000) 191C,Ethane (1000) 191C average,Ethane (1000) 191C stdev,Acetylene (1000) 191C,Acetylene (1000) 191C average,Acetylene (1000) 191C stdev,HNO2 (20) 191C,HNO2 (20) 191C average,HNO2 (20) 191C stdev,N2O (1040) 191C (2of2),N2O (1040) 191C (2of2) average,N2O (1040) 191C (2of2) stdev,CO% (10) 191C (3of3),CO% (10) 191C (3of3) average,CO% (10) 191C (3of3) stdev,MeOH (1000) 191C,MeOH (1000) 191C average,MeOH (1000) 191C stdev,Formic Acid (100) 191C,Formic Acid (100) 191C average,Formic Acid (100) 191C stdev,SO2 (300) 191C,SO2 (300) 191C average,SO2 (300) 191C stdev,Temp (C),Temp (C) average,Temp (C) stdev,Pressure (Atm),Pressure (Atm) average,Pressure (Atm) stdev,NO2 autorange,NO2 autorange average,NO2 autorange stdev,CO autorange,CO autorange average,CO autorange stdev,CH4 autorange,CH4 autorange average,CH4 autorange stdev,NH3 autorange,NH3 autorange average,NH3 autorange stdev,NOx autorange,NOx autorange average,NOx autorange stdev,CO autorange dry,CO autorange dry average,CO autorange dry stdev,CO2% autorange dry,CO2% autorange dry average,CO2% autorange dry stdev,NO dry,NO dry average,NO dry stdev,NO2 autorange dry,NO2 autorange dry average,NO2 autorange dry stdev,NOx autorange dry,NOx autorange dry average,NOx autorange dry stdev,FIDeq THC ppmC,FIDeq THC ppmC average,FIDeq THC ppmC stdev,FIDeq NMHC ppmC,FIDeq NMHC ppmC average,FIDeq NMHC ppmC stdev,FIDeq NMNEHC ppmC,FIDeq NMNEHC ppmC average,FIDeq NMNEHC ppmC stdev,N2O autorange,N2O autorange average,N2O autorange stdev,CO2% autorange,CO2% autorange average,CO2% autorange stdev,FTIR NMHC ppmC,FTIR NMHC ppmC average,FTIR NMHC ppmC stdev,FTIR NMNEHC ppmC,FTIR NMNEHC ppmC average,FTIR NMNEHC ppmC stdev,Igram DC,Igram DC average,Igram DC stdev,Igram PP,Igram PP average,Igram PP stdev,phase Angle,phase Angle average,phase Angle stdev,laser PP,laser PP average,laser PP stdev,laser DC,laser DC average,laser DC stdev,Bad Scan counter,Bad Scan counter average,Bad Scan counter stdev,Centerburst Location,Centerburst Location average,Centerburst Location stdev,Linearizer Check,Linearizer Check average,Linearizer Check stdev,SNR 2500,SNR 2500 average,SNR 2500 stdev,sBeam @ 2500,sBeam @ 2500 average,sBeam @ 2500 stdev
0,TESTANMA_13226.LAB,6/3/2020,16:29:13.000,296.208145,274.086670,12.366272,15.483078,15.760950,0.155335,20.223769,19.736134,0.272597,0.585313,0.719394,0.074953,0.342840,0.233222,0.061279,5.807858,0.904008,2.741335,-9.147466,0.143431,5.193769,2.909074,3.398260,0.273463,1.782691,1.926084,0.080159,6.790879,6.691719,0.055432,7.169748,6.951701,0.121892,108.036888,133.772919,14.386884,0.010828,0.013105,0.001273,1.372172,-0.027136,0.782236,9.892727,10.661940,0.430003,-0.819594,1.798162,1.463370,0.922769,0.985919,0.035302,-0.056794,3.847404,2.182513,0.988509,0.478604,0.285045,-0.772817,-0.262004,0.285553,0.136255,1.558189,0.794886,0.709080,-2.001545,1.515285,0.010089,0.016945,0.003833,1.308668,-0.018363,0.741833,-0.150077,0.106846,0.143624,-0.797252,-0.087726,0.396637,190.740738,190.740738,0.000000,0.980726,0.974043,0.003736,15.483078,15.760950,0.155335,108.036888,133.772919,14.386884,0.922769,0.985919,0.035302,0.342840,0.233222,0.061279,311.827478,291.405823,11.416066,111.273930,138.513275,15.227260,7.384571,7.196009,0.105409,305.083244,283.701447,11.952796,15.946988,16.315857,0.206204,321.170569,301.632141,10.922299,16.845944,19.145700,1.285603,15.830898,18.061192,1.246771,13.853881,17.103981,1.816861,0.585313,0.719394,0.074953,7.169748,6.951701,0.121892,19.205173,20.356304,0.643502,17.228155,19.399097,1.213593,3.595103,3.600050,0.002766,5.146677,5.128083,0.010395,89.586929,89.986511,0.223375,6.261117,6.226497,0.019353,-3.800000,-3.796484,0.001966,0.000000,0.000000,0.000000,563.145508,563.120667,0.013894,0.002315,0.002382,0.000037,NaN,NaN,NaN,1.334925,1.332104,0.001577
1,TESTANMA_13226.LAB,6/3/2020,16:29:13.200,291.337462,278.642914,13.918580,15.423791,15.679625,0.207544,18.318319,19.476952,0.699409,0.603894,0.689590,0.086959,0.327847,0.257628,0.071143,1.574612,1.283321,2.659277,-7.499649,-1.849730,5.938416,3.129541,3.320057,0.285396,1.229664,1.779631,0.317086,6.795049,6.717342,0.069048,7.192067,7.010676,0.155599,115.003532,128.732254,15.904254,0.011349,0.012640,0.001429,0.940440,0.236345,0.853565,9.287467,10.348585,0.724715,0.535348,1.414712,1.499754,0.811990,0.947975,0.083349,3.279746,3.538662,2.118160,0.337995,0.475978,0.286570,0.247355,-0.185673,0.367481,-0.293035,1.116848,1.101604,-0.054518,-1.476609,1.668702,0.012361,0.015685,0.004150,0.758895,0.203440,0.782519,-0.084393,0.055752,0.159613,-0.053731,-0.116403,0.385637,190.740738,190.740738,0.000000,0.982633,0.976095,0.005142,15.423791,15.679625,0.207544,115.003532,128.732254,15.904254,0.811990,0.947975,0.083349,0.327847,0.257628,0.071143,306.468219,295.439392,12.656710,118.744871,133.197632,16.812296,7.424556,7.251147,0.140762,300.734416,288.177124,13.535755,15.921992,16.218639,0.259543,316.352362,305.553131,12.177251,18.398327,18.881237,1.273716,17.505138,17.838465,1.221477,16.829148,16.886509,1.759460,0.603894,0.689590,0.086959,7.192067,7.010676,0.155599,19.504962,20.128479,0.713936,18.828973,19.176525,1.191010,3.595525,3.598897,0.003275,5.127137,5.128823,0.010109,89.586929,89.886612,0.273577,6.261117,6.235152,0.023703,-3.800000,-3.797363,0.002408,0.000000,0.000000,0.000000,563.140993,563.125977,0.015860,0.002900,0.002482,0.000236,NaN,NaN,NaN,1.334630,1.332750,0.001854
2,TESTANMA_13226.LAB,6/3/2020,16:29:13.400,286.450724,282.221771,12.943028,15.364309,15.586403,0.226678,16.406589,18.835424,1.525384,0.622537,0.663514,0.082665,0.312805,0.279025,0.067668,-2.672588,0.813194,3.172311,-5.846400,-3.512241,5.580903,3.350733,3.286092,0.264941,0.674815,1.522207,0.560853,6.799233,6.743804,0.070239,7.214459,7.074130,0.162297,121.993139,125.089493,14.655884,0.011871,0.012280,0.001326,0.507286,0.413195,0.783450,8.680212,9.913778,0.959601,1.894756,1.303143,1.421974,0.700846,0.887803,0.130260,6.627284,3.899429,2.509210,-0.314663,0.342819,0.460804,1.270889,0.095365,0.752361,-0.723739,0.589365,1.246572,-0.820633,-1.104895,1.535536,0.014641,0.014882,0.003805,0.207309,0.314926,0.721246,-0.018493,0.017838,0.147420,0.692241,0.004114,0.532374,190.740738,190.740738,0.000000,0.984545,0.978530,0.005781,15.364309,15.586403,0.226678,121.993139,125.089493,14.655884,0.700846,0.887803,0.130260,0.312805,0.279025,0.067668,301.091294,298.397552,11.677310,126.240438,129.381088,15.485142,7.464673,7.314307,0.153657,296.371254,291.780182,12.635719,15.896914,16.116407,0.266841,311.518272,308.507263,11.264459,19.955827,18.928274,1.316101,19.184896,17.951693,1.333036,19.814223,17.266052,2.189358,0.622537,0.663514,0.082665,7.214459,7.074130,0.162297,19.805740,19.960810,0.658894,20.435066,19.275171,1.286818,3.595948,3.597830,0.003170,5.107533,5.125643,0.013986,89.586929,89.786720,0.273577,6.261117,6.243808,0.023703,-3.800000,-3.798242,0.002408,0.000000,0.000000,0.000000,563.136464,563.130371,0.014889,0.003486,0.002700,0.000497,NaN,NaN,NaN,1.334334,1.333337,0.001782
3,TESTANMA_13227.LAB,6/3/2020,16:29:13.600,285.553646,285.621246,10.448230,15.354165,15.491152,0.196570,14.653120,17.843204,2.305961,0.600921,0.633116,0.068262,0.261190,0.290100,0.056261,-3.612647,0.155056,3.754597,-2.932946,-4.592062,4.564817,3.480010,3.277983,0.256455,0.637088,1.257238,0.611812,6.861432,6.782704,0.070878,7.228132,7.140318,0.137717,124.167211,121.881546,12.041994,0.012161,0.011977,0.001077,0.292145,0.547016,0.662559,8.208691,9.384667,1.037593,2.541884,1.320999,1.440457,0.455689,0.778600,0.213303,6.458789,4.226496,2.754368,-0.013269,0.269940,0.487220,1.294886,0.381203,0.900247,0.783542,0.363339,1.030077,-1.209393,-0.810933,1.277879,0.014096,0.013969,0.003166,-0.178379,0.349274,0.684826,-0.002226,-0.016823,0.120254,0.207881,0.027759,0.539698,190.740738,190.740738,0.000000,0.985546,0.981164,0.005251,15.354165,15.491152,0.196570,124.167211,121.881546,12.041994,0.455689,0.778600,0.213303,0.261190,0.290100,0.056261,301.691353,301.475739,9.520626,128.643587,126.045189,12.746696,7.488742,7.382282,0.136378,295.849749,295.278900,10.170938,15.907763,16.016346,0.219783,312.569836,311.671692,9.161019,20.326374,19.049419,1.430205,19.825115,18.192963,1.571751,19.851654,17.653082,2.484272,0.600921,0.633116,0.068262,7.228132,7.140318,0.137717,20.061655,19.844322,0.550459,20.088193,19.304443,1.307276,3.596764,3.596925,0.002514,5.104185,5.121793,0.017058,89.586929,89.686813,0.223375,6.261117,6.252463,0.019353,-3.800000,-3.799121,0.001966,0.000000,0.000000,0.000000,563.135176,563.134583,0.011938,0.003532,0.002926,0.000578,336.365293,NaN,NaN,1.333386,1.333735,0.001428
4,TESTANMA_13227.LAB,6/3/2020,16:29:13.800,289.033317,289.716675,4.278732,15.398146,15.404696,0.051807,13.073260,16.535011,2.842923,0.535142,0.589561,0.033171,0.169453,0.282827,0.070443,-0.924698,0.034507,3.783308,1.362996,-4.812693,4.145815,3.508452,3.275562,0.253635,1.166658,1.098183,0.469674,6.987278,6.846774,0.083690,7.232240,7.207330,0.026218,121.058535,118.051857,6.549109,0.012194,0.011681,0.000585,0.316169,0.685643,0.463521,7.886072,8.791034,0.810946,2.407627,1.312004,1.431738,0.063517,0.590962,0.341877,2.433119,3.748429,2.831223,1.334745,0.466663,0.686158,0.222365,0.452536,0.862529,4.416847,0.863974,2.062672,-1.184186,-0.511930,0.826706,0.010452,0.012328,0.002062,-0.382077,0.342883,0.693085,-0.040406,-0.059119,0.059476,-1.626185,-0.315409,0.909392,190.740738,190.740738,0.000000,0.985546,0.983799,0.002089,15.398146,15.404696,0.051807,121.058535,118.051857,6.549109,0.063517,0.590962,0.341877,0.169453,0.282827,0.070443,308.848311,305.985321,4.608424,125.460243,122.072617,7.065936,7.495205,7.451550,0.046573,299.542633,299.516235,3.735314,15.958026,15.926336,0.025789,320.078110,316.337830,4.323519,19.394807,18.984257,1.399060,19.324938,18.334198,1.649389,16.655448,17.400871,2.514670,0.535142,0.589561,0.033171,7.232240,7.207330,0.026218,20.268355,19.769176,0.425431,17.598865,18.835852,1.435333,3.598010,3.596270,0.001150,5.118670,5.120841,0.017076,89.586929,89.586929,0.000000,6.261117,6.261117,0.000000,-3.800000,-3.800000,0.000000,0.000000,0.000000,0.000000,563.137443,563.139099,0.004169,0.002985,0.003044,0.000497,332.110432,NaN,NaN,1.331725,1.333800,0.001296
5,TESTANMA_13228.LAB,6/3/2020,16:29:14.000,288.828355,288.240723,2.290625,15.225703,15.353223,0.076458,16.158215,15.721901,1.972191,0.581047,0.588708,0.033362,0.302605,0.274780,0.063865,0.320979,-1.062868,2.120318,0.690338,-2.845132,3.901530,3.544094,3.402566,0.169166,0.501622,0.841969,0.332221,7.015078,6.891614,0.103881,7.239046,7.221189,0.018592,123.006686,121.045822,3.570536,0.011527,0.011820,0.000376,0.722853,0.555779,0.276200,9.877660,8.788019,0.805841,2.789208,2.033765,0.899059,0.676095,0.541627,0.296860,2.342709,4.228330,2.145232,0.901086,0.449179,0.670470,0.551792,0.717458,0.532275,4.744365,1.785596,2.612441,-0.448985,-0.743543,0.494633,0.014118,0.013133,0.001729,-0.831156,-0.085081,0.602355,0.050603,-0.018983,0.049651,-0.732128,-0.302384,0.901195,190.740738,190.740738,0.000000,0.985546,0.984763,0.001267,15.225703,15.353223,0.076458,123.006686,121.045822,3.570536,0.676095,0.541627,0.296860,0.302605,0.274780,0.063865,308.798424,305.379547,3.771540,127.526744,125.323181,3.873469,7.505033,7.475642,0.032203,299.440796,298.387756,2.148088,15.785110,15.893961,0.065073,320.144658,316.132629,4.052695,24.564646,20.527996,2.370769,23.820942,19.932205,2.342629,22.018770,19.033848,2.275139,0.581047,0.588708,0.033362,7.239046,7.221189,0.018592,23.708644,20.669872,1.722571,21.906472,19.771513,1.636109,3.597989,3.596847,0.001142,5.124033,5.116312,0.010081,89.586929,89.586929,0.000000,6.261117,6.261117,0.000000,-3.800000,-3.800000,0.000000,0.000000,0.000000,0.000000,563.130189,563.136047,0.003926,0.002649,0.003111,0.000385,344.697757,NaN,NaN,1.334893,1.333794,0.001289
6,TESTANMA_13229.LAB,6/3/2020,16:29:14.200,287.318061,287.436829,1.501506,15.371165,15.342697,0.067400,17.588450,15.575926,1.746011,0.538174,0.575564,0.038443,0.357695,0.280750,0.071055,-0.164421,-1.410675,1.675489,-0.959283,-1.537059,2.925079,3.561541,3.488966,0.083478,0.692427,0.734522,0.252890,7.024561,6.937517,0.101218,7.186074,7.219991,0.020978,123.238445,122.692795,1.196923,0.011445,0.011840,0.000348,0.745916,0.516874,0.215502,11.046492,9.139826,1.306707,2.514410,2.429577,0.330022,1.182910,0.615811,0.407165,1.554821,3.883344,2.452593,0.251555,0.431891,0.675152,0.724061,0.812799,0.465528,4.149966,2.674196,2.480971,2.203377,-0.291964,1.429039,0.017665,0.014194,0.002563,-0.599982,-0.356857,0.398385,0.100005,0.017897,0.056877,0.863219,-0.118994,1.046094,190.740738,190.740738,0.000000,0.985546,0.985346,0.000447,15.371165,15.342697,0.067400,123.238445,122.692795,1.196923,1.182910,0.615811,0.407165,0.357695,0.280750,0.071055,306.839193,305.453735,3.801839,127.789752,127.132156,1.271121,7.451463,7.481023,0.022239,297.928962,297.826691,1.701971,15.938827,15.897328,0.067284,318.171038,316.496399,4.157603,25.358061,21.919943,2.810189,24.056860,21.242550,2.474305,23.553750,20.378769,2.609108,0.538174,0.575564,0.038443,7.186074,7.219991,0.020978,24.323014,21.633480,2.191730,23.819903,20.769699,2.303617,3.597500,3.597242,0.000883,5.113146,5.113513,0.008065,89.586929,89.586929,0.000000,6.261117,6.261117,0.000000,-3.800000,-3.800000,0.000000,0.000000,0.000000,0.000000,563.133241,563.134521,0.002884,0.002286,0.002988,0.000537,331.659949,NaN,NaN,1.334141,1.333696,0.001227
7,TESTANMA_13230.LAB,6/3/2020,16:29:14.400,284.737273,287.094147,1.920030,15.783077,15.426453,0.210098,17.150826,15.724774,1.862374,0.405739,0.532204,0.076068,0.309376,0.280064,0.070684,-2.255358,-1.327229,1.605872,-3.524098,-1.072599,2.151956,3.556901,3.530200,0.034929,1.678174,0.935194,0.485124,7.017482,6.981166,0.068421,7.088741,7.194846,0.062839,121.939276,122.682030,1.205010,0.011909,0.011847,0.000349,0.382986,0.492014,0.223891,11.192151,9.642214,1.546670,1.628677,2.376361,0.440712,1.475740,0.770790,0.564643,0.242326,2.606353,2.325679,-0.514388,0.391946,0.733731,0.701449,0.698911,0.388769,2.490518,3.317048,1.661502,5.784798,1.029122,3.003740,0.020903,0.015447,0.003976,0.344895,-0.329340,0.448673,0.091741,0.039944,0.060494,2.741342,0.290826,1.662897,190.740738,190.740738,0.000000,0.985235,0.985484,0.000139,15.783077,15.426453,0.210098,121.939276,122.682030,1.205010,1.475740,0.770790,0.564643,0.309376,0.280064,0.070684,303.010868,305.837646,3.317224,126.436436,127.171349,1.239372,7.350177,7.458124,0.063659,295.238603,297.600159,1.994369,16.365180,15.990980,0.219738,314.186213,317.029968,3.473989,21.573413,22.243460,2.613793,19.950099,21.395590,2.334959,20.978876,20.611698,2.598072,0.405739,0.532204,0.076068,7.088741,7.194846,0.062839,22.004645,22.073261,1.939382,23.033421,21.289371,2.494432,3.596617,3.597376,0.000660,5.087971,5.109601,0.014145,89.586929,89.586929,0.000000,6.261117,6.261117,0.000000,-3.800000,-3.800000,0.000000,0.000000,0.000000,0.000000,563.145624,563.136353,0.005838,0.001968,0.002684,0.000609,296.610215,328.288727,18.466084,1.329894,1.332808,0.002008
8,TESTANMA_13230.LAB,6/3/2020,16:29:14.600,285.312010,287.045807,1.970865,15.437980,15.443214,0.206196,16.707938,16.135738,1.792168,0.358392,0.483699,0.096008,0.131799,0.254186,0.097804,-1.617606,-0.928221,1.046476,-4.763548,-1.438719,2.646490,3.537637,3.541725,0.020931,1.261399,1.060056,0.469300,7.040138,7.016908,0.019234,7.180968,7.185414,0.060073,124.076173,122.663818,1.177328,0.011431,0.011701,0.000337,0.393032,0.512191,0.205136,10.537211,10.107918,1.344470,1.794637,2.226912,0.494024,0.992552,0.878163,0.540262,1.212235,1.557042,0.898910,-0.285282,0.337543,0.779917,0.562508,0.552435,0.200442,0.426163,3.245572,1.799679,-0.857764,1.099448,2.941704,0.022885,0.017205,0.005032,0.889845,-0.115695,0.714253,-0.006620,0.039065,0.061287,0.479395,0.345128,1.663944,190.740738,190.740738,0.000000,0.982298,0.984834,0.001424,15.437980,15.443214,0.206196,124.076173,122.663818,1.177328,0.992552,0.878163,0.540262,0.131799,0.254186,0.097804,301.176154,305.734589,3.482117,128.626359,127.167908,1.234270,7.444315,7.449239,0.061377,295.775435,297.585266,2.010889,16.004174,16.010263,0.214784,312.221550,316.960327,3.587411,20.626449,22.303474,2.561696,19.534642,21.337498,2.386838,20.105206,20.662409,2.581953,0.358392,0.483699,0.096008,7.180968,7.185414,0.060073,21.692682,22.399467,1.628730,22.263246,21.724380,2.421167,3.596791,3.597381,0.000654,5.095184,5.107800,0.015513,89.586929,89.586929,0.000000,6.261117,6.261117,0.000000,-3.800000,-3.800000,0.000000,0.000000,0.000000,0.000000,563.139230,563.137085,0.005917,0.002287,0.002435,0.000391,318.045355,324.624756,18.279476,1.333260,1.332783,0.001999
9,TESTANMA_13231.LAB,6/3/2020,16:29:14.800,287.347506,286.708649,1.666556,15.266905,15.416966,0.221177,15.780920,16.677271,0.729436,0.353737,0.447418,0.105513,0.024803,0.225256,0.140992,-0.385836,-0.820448,1.074307,-3.999923,-2.511303,2.289848,3.505563,3.541147,0.022087,1.480817,1.122888,0.506682,7.064415,7.032335,0.020426,7.230673,7.185100,0.059771,125.395227,123.531166,1.290990,0.011662,0.011595,0.000198,0.359005,0.520758,0.195575,9.840993,10.498901,0.632595,1.678492,2.081085,0.533389,0.983914,1.062242,0.293957,3.927888,1.855996,1.381909,-0.272998,0.015994,0.568873,0.607747,0.629511,0.079243,0.195748,2.401352,2.080948,-3.744694,0.587347,3.590055,0.022121,0.019539,0.003627,0.608816,0.082483,0.757993,-0.042204,0.038705,0.061872,-0.110757,0.648214,1.316937,190.740738,190.740738,0.000000,0.981369,0.983999,0.002008,15.266905,15.416966,0.221177,125.395227,123.531166,1.290990,0.983914,1.062242,0.293957,0.024803,0.225256,0.140992,302.810159,304.526978,3.164880,129.950489,128.065948,1.312237,7.493350,7.448867,0.061034,297.785895,297.233948,1.715116,15.821565,15.982971,0.231129,313.810151,315.706726,3.309964,19.492542,22.323023,2.534178,18.410236,21.154552,2.604761,18.956233,21.122566,1.765114,0.353737,0.447418,0.105513,7.230673,7.185100,0.059771,20.436266,22.433048,1.574637,20.982263,22.401060,1.082773,3.596846,3.597148,0.000577,5.097466,5.103560,0.014674,89.586929,89.586929,0.000000,6.261117,6.261117,0.000000,-3.800000,-3.800000,0.000000,0.000000,0.000000,0.000000,563.137207,563.137085,0.005915,0.002388,0.002315,0.000244,324.828064,323.168274,17.818220,1.334325,1.333302,0.001994
