Spectrum,Date,Time,"NO (350,3000) 191C","NO (350,3000) 191C average","NO (350,3000) 191C stdev",NO2 (150) 191C (1of2),NO2 (150) 191C (1of2) average,NO2 (150) 191C (1of2) stdev,NO2 (2000) 191C (2of2),NO2 (2000) 191C (2of2) average,NO2 (2000) 191C (2of2) stdev,"N2O (100,200,300) 191C (1of2)","N2O (100,200,300) 191C (1of2) average","N2O (100,200,300) 191C (1of2) stdev",NH3 (300) 191C (1of2),NH3 (300) 191C (1of2) average,NH3 (300) 191C (1of2) stdev,NH3 (3000) 191C (2of2),NH3 (3000) 191C (2of2) average,NH3 (3000) 191C (2of2) stdev,HNCO (400) 191C,HNCO (400) 191C average,HNCO (400) 191C stdev,H2O% (25) 191C,H2O% (25) 191C average,H2O% (25) 191C stdev,"Formaldehyde (70,500) 191C","Formaldehyde (70,500) 191C average","Formaldehyde (70,500) 191C stdev",CO2 low% (4) 191C (2of2),CO2 low% (4) 191C (2of2) average,CO2 low% (4) 191C (2of2) stdev,CO2% (20) 191C (1of2) R4,CO2% (20) 191C (1of2) R4 average,CO2% (20) 191C (1of2) R4 stdev,CO (500) 191C (1of3),CO (500) 191C (1of3) average,CO (500) 191C (1of3) stdev,CO% (1) 191C (2of3),CO% (1) 191C (2of3) average,CO% (1) 191C (2of3) stdev,"Propylene (200,1000) 191C","Propylene (200,1000) 191C average","Propylene (200,1000) 191C stdev",Diesel C1 (4500) 191C,Diesel C1 (4500) 191C average,Diesel C1 (4500) 191C stdev,"Ethylene (100,3000) 191C","Ethylene (100,3000) 191C average","Ethylene (100,3000) 191C stdev",CH4 (250) 191C (1of2),CH4 (250) 191C (1of2) average,CH4 (250) 191C (1of2) stdev,CH4 (3000) 191C (2of2),CH4 (3000) 191C (2of2) average,CH4 (3000) 191C (2of2) stdev,Ethane (1000) 191C,Ethane (1000) 191C average,Ethane (1000) 191C stdev,Acetylene (1000) 191C,Acetylene (1000) 191C average,Acetylene (1000) 191C stdev,HNO2 (20) 191C,HNO2 (20) 191C average,HNO2 (20) 191C stdev,N2O (1040) 191C (2of2),N2O (1040) 191C (2of2) average,N2O (1040) 191C (2of2) stdev,CO% (10) 191C (3of3),CO% (10) 191C (3of3) average,CO% (10) 191C (3of3) stdev,MeOH (1000) 191C,MeOH (1000) 191C average,MeOH (1000) 191C stdev,Formic Acid (100) 191C,Formic Acid (100) 191C average,Formic Acid (100) 191C stdev,SO2 (300) 191C,SO2 (300) 191C average,SO2 (300) 191C stdev,Temp (C),Temp (C) average,Temp (C) stdev,Pressure (Atm),Pressure (Atm) average,Pressure (Atm) stdev,NO2 autorange,NO2 autorange average,NO2 autorange stdev,CO autorange,CO autorange average,CO autorange stdev,CH4 autorange,CH4 autorange average,CH4 autorange stdev,NH3 autorange,NH3 autorange average,NH3 autorange stdev,NOx autorange,NOx autorange average,NOx autorange stdev,CO autorange dry,CO autorange dry average,CO autorange dry stdev,CO2% autorange dry,CO2% autorange dry average,CO2% autorange dry stdev,NO dry,NO dry average,NO dry stdev,NO2 autorange dry,NO2 autorange dry average,NO2 autorange dry stdev,NOx autorange dry,NOx autorange dry average,NOx autorange dry stdev,FIDeq THC ppmC,FIDeq THC ppmC average,FIDeq THC ppmC stdev,FIDeq NMHC ppmC,FIDeq NMHC ppmC average,FIDeq NMHC ppmC stdev,FIDeq NMNEHC ppmC,FIDeq NMNEHC ppmC average,FIDeq NMNEHC ppmC stdev,N2O autorange,N2O autorange average,N2O autorange stdev,CO2% autorange,CO2% autorange average,CO2% autorange stdev,FTIR NMHC ppmC,FTIR NMHC ppmC average,FTIR NMHC ppmC stdev,FTIR NMNEHC ppmC,FTIR NMNEHC ppmC average,FTIR NMNEHC ppmC stdev,Igram DC,Igram DC average,Igram DC stdev,Igram PP,Igram PP average,Igram PP stdev,phase Angle,phase Angle average,phase Angle stdev,laser PP,laser PP average,laser PP stdev,laser DC,laser DC average,laser DC stdev,Bad Scan counter,Bad Scan counter average,Bad Scan counter stdev,Centerburst Location,Centerburst Location average,Centerburst Location stdev,Linearizer Check,Linearizer Check average,Linearizer Check stdev,SNR 2500,SNR 2500 average,SNR 2500 stdev,sBeam @ 2500,sBeam @ 2500 average,sBeam @ 2500 stdev
TESTANMA_17091.LAB,6/3/2020,00:16.0,140.896453,118.094315,12.748955,17.610962,16.465872,0.643272,21.161176,20.020025,1.52842,0.889063,0.867388,0.09446,0.018679,0.043219,0.120167,-1.229032,-0.621504,0.34428,-0.208827,-4.183572,3.094125,2.40273,3.062225,0.370439,1.537948,1.505665,0.048998,5.101046,4.592816,0.295723,4.972055,4.525054,0.255939,138.499095,148.477478,5.589083,0.016581,0.014847,0.001209,0.009212,0.888521,0.491588,15.712209,19.206224,1.954044,1.975233,3.161515,0.717163,1.305723,1.758059,0.279335,2.513555,5.273666,1.78332,1.397997,-0.186739,0.886073,0.613523,0.706904,0.407873,3.405756,2.175864,0.809043,-1.001073,-1.715891,1.640171,0.036953,0.016995,0.011958,0.914489,0.204222,0.426107,-0.048138,0.067166,0.132489,0.276377,0.134419,0.721842,190.740738,190.740738,0,0.982333,0.989787,0.004167,17.610962,16.465872,0.643272,138.499095,148.477478,5.589083,1.305723,1.758059,0.279335,0.018679,0.043219,0.120167,161.91317,136.736053,14.075016,141.908779,153.18689,6.311966,5.118961,4.71025,0.242939,144.365157,121.786583,12.625057,18.044523,16.984249,0.597057,165.899282,141.013138,13.912016,30.695423,37.724522,4.127767,29.259128,35.790657,3.908592,26.463133,36.164135,5.608499,0.889063,0.867388,0.09446,4.995966,4.566653,0.25243,31.616923,37.734383,3.642639,28.820928,38.107857,5.349464,3.685727,3.693909,0.004586,5.203046,5.199778,0.010204,89.546967,89.770737,0.12509,6.250731,6.234113,0.00929,-3.843956,-3.843956,0,0,0,0,563.045227,563.033813,0.006909,0.003381,0.00286,0.000338,NaN,NaN,NaN,1.336631,1.331826,0.002687
TESTANMA_17091.LAB,6/3/2020,00:16.2,138.638796,123.414284,14.950268,16.961464,16.641409,0.632603,18.740901,19.402481,1.204427,0.741745,0.871588,0.086434,0.130157,0.023385,0.084728,-0.739297,-0.658415,0.345224,-0.337384,-3.86483,3.446228,2.737752,2.975261,0.388649,1.949818,1.609845,0.191519,5.002519,4.724911,0.303123,5.038868,4.666858,0.311199,148.234343,147.824265,5.332432,0.016273,0.015001,0.001354,0.622264,0.789432,0.483712,15.234095,18.254274,2.544581,3.063077,3.000188,0.599021,1.339252,1.687468,0.338474,1.576143,4.665758,2.455193,0.967721,0.128752,0.974254,0.114987,0.461885,0.280498,3.625508,2.398711,1.043895,-3.302804,-2.477162,1.167835,0.021416,0.020175,0.010115,0.572954,0.266852,0.458129,0.053627,0.093594,0.106867,0.413876,-0.018916,0.487435,190.740738,190.740738,0,0.989978,0.989453,0.004046,16.961464,16.641409,0.632603,148.234343,147.824265,5.332432,1.339252,1.687468,0.338474,0.130157,0.023385,0.084728,159.225768,142.454407,16.564116,152.454502,152.384918,6.040338,5.186492,4.85083,0.279596,142.532945,127.151184,14.892617,17.436149,17.149326,0.581891,163.697733,146.769821,16.476311,31.843916,35.815754,4.216012,30.370739,33.959538,3.865346,28.435296,33.702034,5.793414,0.741745,0.871588,0.086434,5.044202,4.707224,0.288692,33.30079,36.163506,3.48899,31.365347,35.906002,5.419468,3.685973,3.692014,0.00563,5.190989,5.20121,0.007567,89.546967,89.714798,0.153203,6.250731,6.238268,0.011378,-3.843956,-3.843956,0,0,0,0,563.048581,563.036499,0.009621,0.003262,0.003018,0.000293,NaN,NaN,NaN,1.335582,1.332837,0.003008
TESTANMA_17091.LAB,6/3/2020,00:16.4,136.360251,128.221771,14.344512,16.305956,16.670513,0.607804,16.298235,18.631424,1.72498,0.593064,0.823456,0.153657,0.242665,0.054848,0.130393,-0.245032,-0.610093,0.389367,-0.46713,-3.052652,3.718612,3.075874,2.947197,0.371594,2.365498,1.786173,0.369594,4.90308,4.817323,0.26267,5.1063,4.808795,0.318876,158.059662,149.220673,7.038606,0.015962,0.015267,0.001393,1.240988,0.815586,0.508303,14.751558,17.192076,2.704507,4.160987,3.124303,0.776836,1.373091,1.595015,0.350886,0.630059,3.652951,2.924568,0.533465,0.353102,0.893681,-0.388161,0.213809,0.379878,3.847294,2.768776,1.18439,-5.625831,-3.319335,1.635156,0.005735,0.01918,0.011437,0.228259,0.297847,0.446863,0.156334,0.112642,0.108106,0.552648,0.028563,0.537149,190.740738,190.740738,0,0.997695,0.990662,0.005506,16.305956,16.670513,0.607804,158.059662,149.220673,7.038606,1.373091,1.595015,0.350886,0.242665,0.054848,0.130393,156.513501,147.661041,15.939031,163.097794,153.784882,7.699382,5.254647,4.985124,0.280156,140.68378,132.076828,14.368963,16.822147,17.174255,0.559951,161.475816,152.101761,15.946029,33.003035,34.443764,3.647551,31.492635,32.689243,3.266925,30.425706,31.983042,5.04793,0.593064,0.823456,0.153657,5.092883,4.838655,0.283737,35.000237,35.235149,2.899832,33.933308,34.528946,4.683992,3.686221,3.690088,0.005636,5.178821,5.197787,0.012688,89.546967,89.658852,0.153203,6.250731,6.242423,0.011378,-3.843956,-3.843956,0,0,0,0,563.051965,563.040588,0.011219,0.003142,0.00311,0.000223,NaN,NaN,NaN,1.334524,1.333621,0.002783
TESTANMA_17092.LAB,6/3/2020,00:16.6,137.612367,133.2229,11.644259,16.076698,16.638433,0.639789,13.161442,17.568033,3.006056,0.630674,0.76025,0.155275,0.067196,0.080013,0.114147,0.048693,-0.516644,0.489917,1.047791,-1.418102,3.247441,3.176254,2.930485,0.355552,1.923316,1.863076,0.344399,4.943991,4.898124,0.213581,5.143813,4.944882,0.27706,161.284299,151.346512,8.930925,0.016133,0.015742,0.001131,1.76758,0.948555,0.665004,16.484426,16.462711,2.148227,4.122644,3.30661,0.899564,1.609153,1.521145,0.282106,2.60603,2.819657,2.350796,-0.272496,0.41197,0.824989,-0.612609,0.018418,0.511529,2.371211,2.946486,0.994633,-1.219425,-2.896523,1.884842,0.018436,0.019688,0.01131,-0.124159,0.295662,0.449396,0.030833,0.07867,0.099896,-0.547938,0.028984,0.536582,190.740738,190.740738,0,1.000005,0.992332,0.006957,16.076698,16.638433,0.639789,161.284299,151.346512,8.930925,1.609153,1.521145,0.282106,0.067196,0.080013,0.114147,156.060276,152.807831,12.784968,166.575148,155.953583,9.661867,5.298289,5.10823,0.247399,142.126659,137.221939,11.71302,16.604086,17.138227,0.595957,161.179752,157.394119,12.81866,34.879415,33.752003,2.993696,33.109347,32.078743,2.69003,33.654338,31.254801,4.296666,0.630674,0.76025,0.155275,5.130002,4.958633,0.244815,35.861782,34.781727,2.481281,36.406773,33.957787,4.100213,3.686452,3.688126,0.004554,5.178248,5.191829,0.013629,89.546967,89.602905,0.12509,6.250731,6.246577,0.00929,-3.843956,-3.843956,0,0,0,0,563.037223,563.042297,0.009425,0.003141,0.003162,0.000184,NaN,NaN,NaN,1.331204,1.333725,0.002652
TESTANMA_17093.LAB,6/3/2020,00:16.8,138.101377,138.321854,1.668001,15.97976,16.586967,0.688632,13.945736,16.661499,3.328991,0.636828,0.698275,0.120109,-0.095621,0.072615,0.125966,-0.389862,-0.510906,0.491518,0.609912,0.128872,0.663789,3.135471,2.905616,0.330204,1.532258,1.861767,0.345948,5.035539,4.997235,0.077414,5.177727,5.087752,0.082701,161.598449,153.535172,9.996483,0.016151,0.01622,0.00023,1.373722,1.002753,0.691236,17.470014,15.930461,1.072319,3.489515,3.362291,0.900791,1.9007,1.505584,0.251002,1.855342,1.836226,0.802219,-0.694512,0.386435,0.863916,-0.231696,-0.100791,0.479187,1.543337,2.958621,0.972431,-0.789322,-2.387691,2.071553,0.030791,0.022666,0.012003,-0.417326,0.234843,0.531622,-0.121788,0.014174,0.105371,-1.35172,-0.131351,0.805328,190.740738,190.740738,0,1.000005,0.994003,0.007715,15.97976,16.586967,0.688632,161.598449,153.535172,9.996483,1.9007,1.505584,0.251002,-0.095621,0.072615,0.125966,155.624473,157.867447,2.661906,166.829307,158.173096,10.805176,5.337033,5.239084,0.087374,142.572097,142.456131,1.314679,16.497059,17.080791,0.64999,160.662342,162.582977,2.186564,34.275379,32.93943,1.716687,32.184609,31.283295,1.510023,33.573634,30.510422,3.16075,0.636828,0.698275,0.120109,5.169702,5.086551,0.068632,33.825441,33.921032,1.630487,35.214466,33.148163,3.058104,3.686559,3.686187,0.000342,5.18034,5.186289,0.010709,89.546967,89.546967,0,6.250731,6.250731,0,-3.843956,-3.843956,0,0,0,0,563.026489,563.04187,0.010196,0.003165,0.003218,0.000104,330.015747,NaN,NaN,1.329159,1.33342,0.003133
TESTANMA_17094.LAB,6/3/2020,00:17.0,136.565247,137.455597,0.979041,16.079874,16.28075,0.398933,20.290424,16.487347,3.045451,0.589453,0.638353,0.061631,-0.044803,0.059919,0.135593,-0.381327,-0.341365,0.284484,-1.809606,-0.191284,1.106077,3.112377,3.047546,0.176971,1.757763,1.90573,0.306192,5.035607,4.984147,0.05876,5.130616,5.119465,0.051915,160.535349,157.942413,5.601752,0.01593,0.01609,0.000142,1.233399,1.24759,0.411575,16.651519,16.118322,1.106267,3.41441,3.650127,0.477031,1.801599,1.604759,0.250255,0.912099,1.515934,0.783665,-0.111993,0.084437,0.6623,0.882688,-0.046958,0.583304,2.697926,2.817055,0.942114,-4.167557,-3.020988,2.025167,0.022093,0.019694,0.00906,-0.373307,-0.022716,0.420337,-0.0399,0.015821,0.104211,-0.20116,-0.226859,0.772534,190.740738,190.740738,0,1.000005,0.997538,0.004343,16.079874,16.28075,0.398933,160.535349,157.942413,5.601752,1.801599,1.604759,0.250255,-0.044803,0.059919,0.135593,155.343048,156.553421,1.55838,165.69195,162.929733,6.039129,5.288462,5.272985,0.056567,140.95203,141.773499,0.894644,16.596477,16.791183,0.379594,160.333387,161.469803,1.322053,36.35834,34.072014,1.734047,34.376582,32.306782,1.529233,34.600567,32.137909,2.601275,0.589453,0.638353,0.061631,5.123887,5.112135,0.046789,35.894514,34.776554,1.178992,36.1185,34.607677,2.052742,3.686415,3.686324,0.000231,5.180718,5.181824,0.005226,89.546967,89.546967,0,6.250731,6.250731,0,-3.843956,-3.843956,0,0,0,0,563.032692,563.039429,0.010697,0.002863,0.003114,0.000149,330.017337,NaN,NaN,1.329181,1.33193,0.002993
TESTANMA_17095.LAB,6/3/2020,00:17.2,136.075592,136.942963,0.869568,16.326192,16.153696,0.153761,20.438766,16.826921,3.429933,0.67282,0.624568,0.034429,0.172239,0.068335,0.142188,0.386698,-0.116166,0.332369,-1.934649,-0.510737,1.360271,3.12827,3.125649,0.036462,1.912534,1.898274,0.305303,4.960098,4.975663,0.058506,5.034407,5.118573,0.053656,159.669782,160.229523,1.42317,0.015892,0.016013,0.00012,1.564274,1.435992,0.228777,17.230944,16.517693,1.066992,4.01754,3.841019,0.36,1.471422,1.631193,0.220398,1.968701,1.594446,0.810413,0.10776,-0.087555,0.454701,1.00619,0.131282,0.755815,2.69725,2.631404,0.827457,-2.701075,-2.900642,2.02211,0.011325,0.017676,0.009683,0.138307,-0.109645,0.291571,0.067588,0.018613,0.105654,1.040892,-0.101455,0.936116,190.740738,190.740738,0,1.000005,0.999543,0.001033,16.326192,16.153696,0.153761,159.669782,160.229523,1.42317,1.471422,1.631193,0.220398,0.172239,0.068335,0.142188,155.099034,155.728058,0.566112,164.825838,165.404007,1.511527,5.186973,5.273081,0.056383,140.469808,141.36087,0.931816,16.853413,16.674637,0.155194,160.107819,160.751831,0.571209,39.602223,35.623676,2.530225,37.983659,33.829369,2.561325,37.768138,34.004478,2.628512,0.67282,0.624568,0.034429,5.02471,5.108237,0.054104,40.336007,36.183594,2.469357,40.120486,36.358707,2.313161,3.685717,3.686273,0.000334,5.180848,5.179795,0.001183,89.546967,89.546967,0,6.250731,6.250731,0,-3.843956,-3.843956,0,0,0,0,563.043851,563.038452,0.009853,0.002933,0.003049,0.00014,308.447508,NaN,NaN,1.330136,1.330841,0.002223
TESTANMA_17096.LAB,6/3/2020,00:17.4,137.017728,137.074463,0.80687,16.328334,16.158171,0.159518,13.817567,16.330786,3.694716,0.690833,0.644122,0.039459,0.310109,0.081824,0.164335,-0.036738,-0.074507,0.325155,-0.238734,-0.465057,1.365925,3.117442,3.133963,0.025309,1.733659,1.771906,0.159527,4.972112,4.98947,0.043253,5.063433,5.11,0.059241,160.456804,160.708939,0.757598,0.015938,0.016009,0.000123,1.096788,1.407152,0.265626,17.613218,17.090025,0.499254,3.988065,3.806435,0.328506,1.438455,1.644266,0.202471,0.530568,1.574548,0.840668,-0.409874,-0.276223,0.303009,0.255134,0.259941,0.697814,2.744005,2.410746,0.507341,-0.991611,-1.973798,1.438598,0.019607,0.02045,0.00703,0.526868,-0.049923,0.391533,0.078668,0.00308,0.083792,-0.133108,-0.238607,0.863764,190.740738,190.740738,0,0.999166,0.999837,0.000375,16.328334,16.158171,0.159518,160.456804,160.708939,0.757598,1.438455,1.644266,0.202471,0.310109,0.081824,0.164335,156.090066,155.643387,0.43595,165.619876,165.908417,0.805396,5.215859,5.265323,0.061947,141.426696,141.50946,0.852732,16.85374,16.680954,0.16314,161.112985,160.67926,0.470391,35.855889,36.194252,2.071627,34.273588,34.385559,2.204077,35.093336,34.938004,1.707114,0.690833,0.644122,0.039459,5.053254,5.100311,0.059545,37.074055,36.598362,2.393915,37.893803,37.150806,1.919616,3.684922,3.686013,0.000695,5.17796,5.179623,0.001403,89.546967,89.546967,0,6.250731,6.250731,0,-3.843956,-3.843956,0,0,0,0,563.044222,563.036865,0.007549,0.003671,0.003154,0.000317,276.348917,NaN,NaN,1.331471,1.33023,0.001089
TESTANMA_17097.LAB,6/3/2020,00:17.6,138.25345,137.202682,0.95166,16.107385,16.164309,0.156155,16.159129,16.930325,3.27075,0.604187,0.638824,0.043307,0.230761,0.114537,0.176523,-1.756802,-0.435606,0.804033,0.346342,-0.605347,1.197315,3.149662,3.128644,0.014821,1.744394,1.736122,0.1353,5.000641,5.0008,0.034993,5.125751,5.106387,0.057179,160.344347,160.52095,0.693001,0.016114,0.016005,0.000118,0.636509,1.180938,0.350124,15.56033,16.905207,0.836577,3.574213,3.696749,0.28524,1.571624,1.63676,0.204781,2.045036,1.462349,0.693064,-0.147038,-0.251131,0.308538,0.824265,0.547316,0.522487,5.063281,2.94916,1.285935,1.881019,-1.353709,2.271907,0.021981,0.021159,0.006954,0.308651,0.036639,0.417969,0.146292,0.026172,0.106252,-0.991765,-0.327372,0.924192,190.740738,190.740738,0,0.997756,0.999387,0.000982,16.107385,16.164309,0.156155,160.344347,160.52095,0.693001,1.571624,1.63676,0.204781,0.230761,0.114537,0.176523,159.424116,156.316147,1.776043,165.559024,165.705185,0.718628,5.283044,5.262275,0.060272,142.749756,141.634064,0.998543,16.631116,16.686361,0.160381,164.608583,161.365021,1.852214,33.024448,35.823254,2.48984,31.295661,34.02282,2.583248,31.589738,34.525082,2.256519,0.604187,0.638824,0.043307,5.11664,5.097639,0.058163,33.61819,36.149643,2.750247,33.912267,36.651901,2.420214,3.684948,3.685712,0.000778,5.177516,5.179476,0.001606,89.546967,89.546967,0,6.250731,6.250731,0,-3.843956,-3.843956,0,0,0,0,563.037214,563.036926,0.007549,0.003484,0.003223,0.000349,268.628655,302.69162,29.071705,1.331244,1.330238,0.001098
TESTANMA_17098.LAB,6/3/2020,00:17.8,138.346687,137.25174,1.013863,15.742203,16.116796,0.239982,21.111436,18.363464,3.205296,0.770108,0.66548,0.072768,0.119053,0.157472,0.13349,-4.183772,-1.194388,1.854304,0.265651,-0.674199,1.117177,3.178239,3.137198,0.027045,1.526492,1.734968,0.137479,4.965354,4.986762,0.031473,5.131869,5.097215,0.045323,160.813401,160.363937,0.424928,0.016082,0.015991,0.0001,-0.422689,0.821656,0.771263,16.418563,16.694916,0.789959,3.477118,3.694269,0.287536,1.853212,1.627262,0.19005,3.857126,1.862706,1.29426,-0.354127,-0.183054,0.207143,0.945526,0.782761,0.302701,3.52104,3.3447,1.022614,6.289916,0.062139,4.145166,0.002567,0.015515,0.008471,-0.198204,0.080463,0.36683,-0.080958,0.034338,0.092748,0.325868,0.008145,0.746843,190.740738,190.740738,0,0.997756,0.998938,0.001132,15.742203,16.116796,0.239982,160.813401,160.363937,0.424928,1.853212,1.627262,0.19005,0.119053,0.157472,0.13349,157.609931,156.713242,1.804463,166.092267,165.557785,0.459152,5.288328,5.252533,0.047818,142.888314,141.697311,1.079537,16.258902,16.638729,0.244147,162.783981,161.789352,1.893554,31.166461,35.201469,3.246304,29.127928,33.411488,3.369161,29.836182,33.777592,3.108631,0.770108,0.66548,0.072768,5.120243,5.087747,0.045717,30.281355,35.440823,3.767565,30.98961,35.806931,3.530412,3.685394,3.685479,0.000619,5.185202,5.180449,0.003067,89.546967,89.546967,0,6.250731,6.250731,0,-3.843956,-3.843956,0,0,0,0,563.03479,563.038574,0.005249,0.002753,0.003141,0.000409,261.345642,288.957611,29.156576,1.330497,1.330506,0.000917
